parameter_id,parameter_or_rule,value_or_status,param_role,tier,source_ids,reasoning,update_trigger,runtime_status
"WS-P001","FSim flame-length probability bins","FLP1–FLP6 source layers mapped exactly to six canonical class IDs","axis_bridge","T2_public_lab_standard_or_physics","USFS_FSIM_RDS_2023;FINNEY_2011_FSIM","Official product semantics; no midpoint reconstruction.","FSim product/version change","RETAINED_INPUT_CONTRACT"
"WS-P002","FLP normalization","six probabilities sum to 1 conditional on burning","axis_bridge","T2_public_lab_standard_or_physics","USFS_FSIM_RDS_2023","Conditional severity distribution; burn probability remains outside M3.","FSim semantic change","RETAINED_VALIDATION_RULE"
"WS-P003","Continuous FIL/FLI-to-component exposure converter","WITHHELD","axis_bridge","T4_placeholder_or_expert_judgment","LEGACY_DIVI_WILDFIRE_SOLAR_2026;USFS_FARSITE_1998;COHEN_USDA_2000","No validated universal converter from landscape kW/m or FIL class to equipment kW/m²/time.","Validated site/local transfer model with independent data","NO_RUNTIME_EFFECT"
"WS-P004","Incident heat flux at component zone","measured or qualified model required; no default","exposure_or_value","T2_public_lab_standard_or_physics","NIST_TN_1796;COHEN_USDA_2000","Delivered load must be separate from landscape hazard and vulnerability.","Approved measurement/model protocol","REQUIRED_FUTURE_INPUT"
"WS-P005","Exposure duration at component zone","measured or qualified model required; no default","exposure_or_value","T2_public_lab_standard_or_physics","NIST_TN_1796;COHEN_USDA_2000;YANG_2015_PV_IGNITION;ZHANG_2022_XLPE","Ignition and thermal failure depend on time as well as flux.","Approved measurement/model protocol","REQUIRED_FUTURE_INPUT"
"WS-P006","PV thermal-failure laboratory range","8–15 kW/m² and 61–84 °C for tested shielded specimens","boundary_or_cap","T2_public_lab_standard_or_physics","WANG_2025_PV_THERMAL","Test-specific glass-fracture/pyrolysis constraint; geometry and BOM transfer remain unresolved.","Representative utility-module test matrix","EVIDENCE_CONSTRAINT_ONLY"
"WS-P007","PV module ignition CHF","26 kW/m² for tested 2014 small module specimens","boundary_or_cap","T2_public_lab_standard_or_physics","YANG_2015_PV_IGNITION","Sustained-flame ignition endpoint, not functional damage or replacement.","Representative modern BOM/full-size testing","EVIDENCE_CONSTRAINT_ONLY"
"WS-P008","PV ignition-time observations","913/636/218/133/83 s at 28/30/35/40/45 kW/m²","curve_fit_shape","T2_public_lab_standard_or_physics","YANG_2015_PV_IGNITION","Direct test data demonstrate flux/time dependence but do not define economic DR.","Representative modern BOM/full-size testing","EVIDENCE_CONSTRAINT_ONLY"
"WS-P009","XLPE cable ignition CHF/time observations","16.24 kW/m²; 83.5/25/13.3 s at 20/30/40 kW/m²","boundary_or_cap","T2_public_lab_standard_or_physics","ZHANG_2022_XLPE","Direct test data for one 9 mm cable construction; installed-condition transfer unresolved.","PV cable/conduit/burial test program","EVIDENCE_CONSTRAINT_ONLY"
"WS-P010","Module construction/front-glass condition direction","selector candidate; numeric effect withheld","selector_default","T2_public_lab_standard_or_physics","ZHAO_2026_PV_POOL_FIRE;WANG_2025_PV_THERMAL","Laboratory response changes with glass integrity, construction and tilt.","Population-calibrated selector response","SELECTOR_CAPTURE_ONLY"
"WS-P011","Grass height 100 mm and firebreak width 10 m","regulatory control values only; no DR credit","conditioner_adjustment","T2_public_lab_standard_or_physics","ENERGY_SAFE_VICTORIA_SOLAR;PLANNING_VICTORIA_SOLAR_GUIDE","Official jurisdictional controls are auditable site fields, not universal efficacy coefficients.","Solar-specific effectiveness study or local code selection","CONTROL_CHECK_ONLY"
"WS-P012","Fence material/fuel accumulation direction","categorical; numeric effect withheld","conditioner_adjustment","T3_engineering_proxy_or_adjacent_empirical","NIST_TN_2228","Combustible fence/mulch/parallel-fence findings transfer qualitatively from WUI experiments.","Solar-site fence/fire experiment or validated model","ADAPTER_FIELD_ONLY"
"WS-P013","Solid wall/barrier mitigation credit","disabled without geometry and bypass model","conditioner_adjustment","T4_placeholder_or_expert_judgment","DOE_FEMP_PV_WILDFIRE;COHEN_USDA_2000","Possible line-of-sight interruption is source-supported direction; no universal coefficient is supported.","Validated view-factor/CFD plus ember/gap model","NO_CREDIT"
"WS-P014","Chain-link/open-metal radiant shield credit","disabled","conditioner_adjustment","T4_placeholder_or_expert_judgment","NIST_TN_2228","Open fencing is not treated as a solid radiant barrier; this is a fail-closed policy, not a physical zero.","Qualified geometry model","NO_CREDIT"
"WS-P015","Whole-site exposure default","prohibited","exposure_or_value","T4_placeholder_or_expert_judgment","NIST_TN_1796;VALUE_SOLAR_WORKBOOK","A coarse burned pixel cannot establish component attack or exposed value.","Approved spatial component-zone adapter","FAIL_CLOSED"
"WS-P016","Cable exposed/buried/protected allocation","site split required; no default","exposure_or_value","T2_public_lab_standard_or_physics","DOE_FEMP_PV_WILDFIRE;NREL_PV_OM_2018;VALUE_SOLAR_WORKBOOK","Installation state changes exposure; pooled value cannot inherit an exposed-specimen response.","As-built routing/value inventory","FAIL_CLOSED"
"WS-P017","Reference installed/physical/excluded value basis","1120.000000 / 877.795702 / 242.204298 USD/kWdc","exposure_or_value","T2_public_lab_standard_or_physics","NREL_NLR_Q1_2025_PV_BENCHMARK;VALUE_SOLAR_WORKBOOK","Generic valuation/reconciliation proxy only.","Site appraisal or benchmark vintage change","RETAINED_REFERENCE_ONLY"
"WS-P018","Replacement fieldwork/support-cost allocation","allocate once after damaged units are known","exposure_or_value","T4_placeholder_or_expert_judgment","VALUE_SOLAR_WORKBOOK","Support costs are not independent failure units and must not receive a separate DR.","Claims-supported allocation rule","FAIL_CLOSED"
"WS-P019","Legacy q = 0.35·I/d and d = 10 m","REJECTED","axis_bridge","T4_placeholder_or_expert_judgment","LEGACY_DIVI_WILDFIRE_SOLAR_2026;COHEN_USDA_2000","No exact calibrated locator; omits flame/view/wind/contact/duration state; severe simple models can overestimate measured heat flux.","Independent calibrated converter with applicability domain","NO_RUNTIME_EFFECT"
"WS-P020","Legacy six logistic L/k/x0 sets and DR tables","REJECTED","curve_fit_shape","T4_placeholder_or_expert_judgment","LEGACY_DIVI_WILDFIRE_SOLAR_2026","No target observations or fit objective; equations contradict displayed tables and imply 5.8–9.8% DR at zero intensity.","Target field/lab/claims calibration","NO_RUNTIME_EFFECT"
"WS-P021","Legacy component/BOM/civil weights","REJECTED","exposure_or_value","T4_placeholder_or_expert_judgment","LEGACY_DIVI_WILDFIRE_SOLAR_2026;VALUE_SOLAR_WORKBOOK","Material fractions are not replacement-cost failure-unit weights; source cells are largely unlocated.","Audited BOM plus replacement-unit/value rule","NO_RUNTIME_EFFECT"
"WS-P022","Legacy ±35–60% parameter bands and factor-of-two claim","REJECTED","curve_fit_shape","T4_placeholder_or_expert_judgment","LEGACY_DIVI_WILDFIRE_SOLAR_2026","No elicitation, sample, distribution, coverage target, or calibration supports the bounds.","Documented statistical model or structured expert elicitation","NO_RUNTIME_EFFECT"
"WS-P023","Failure-unit economic DR curves","WITHHELD","curve_fit_shape","T4_placeholder_or_expert_judgment","SOURCE_REVIEW_2026_07_09","No public paired local-exposure/component-replacement dataset was located in the bounded review.","Reviewed calibration satisfying promotion gates","NO_RUNTIME_CURVE"
