parameter,pathway_id,curve_id,value,param_role,tier,source_ids,reasoning,status,update_trigger
runtime_curve_count,tropical_cyclone_wind,none,0,capability,T4_placeholder_or_expert_judgment,GOVERNANCE_CONTRACT,"No economic DR record passed the seven-step audit.",adopt,"Reviewed model v1.0 release."
nhc_source_averaging_period_s,tropical_cyclone_wind,none,60,source_axis,T2_public_lab_standard_or_physics,TCWW-S001,"Official maximum-sustained-wind definition.",adopt,"NHC definition changes."
nhc_source_height_m,tropical_cyclone_wind,none,10,source_axis,T2_public_lab_standard_or_physics,TCWW-S001,"Official maximum-sustained-wind definition.",adopt,"NHC definition changes."
runtime_axis,tropical_cyclone_wind,none,WITHHELD_PENDING_QUALIFIED_TC_BRIDGE,axis,T3_engineering_proxy_or_adjacent_empirical,"TCWW-S003;TCWW-S005;TCWW-S007;TCWW-S012","Incompatible source-native axes and material duration/direction effects.",withhold,"One target curve and bridge pass validation."
jaimes_valid_range_kmh,tropical_cyclone_wind,JAIMES_DS3_CANDIDATE_ONLY,"[108,252]",source_range,T3_engineering_proxy_or_adjacent_empirical,TCWW-S005,"Twenty simulated intensity levels span 30-70 m/s at 10 m.",audit_only,"Source revision or independent validation."
jaimes_1mw_ds3_mu_ln_kmh,tropical_cyclone_wind,JAIMES_DS3_CANDIDATE_ONLY,5.3165,fragility_location,T3_engineering_proxy_or_adjacent_empirical,TCWW-S005,"Table 3; exact 1-MW/44-m model only.",defer_candidate_only,"Exact-archetype verification plus economic bridge."
jaimes_1mw_ds3_sigma_ln_kmh,tropical_cyclone_wind,JAIMES_DS3_CANDIDATE_ONLY,0.0485,fragility_dispersion,T3_engineering_proxy_or_adjacent_empirical,TCWW-S005,"Table 3 model-response fit; not total epistemic spread.",defer_candidate_only,"Population validation and model-form uncertainty."
jaimes_2p5mw_ds3_mu_ln_kmh,tropical_cyclone_wind,JAIMES_DS3_CANDIDATE_ONLY,5.2276,fragility_location,T3_engineering_proxy_or_adjacent_empirical,TCWW-S005,"Table 3; exact 2.5-MW/80-m model only.",defer_candidate_only,"Exact-archetype verification plus economic bridge."
jaimes_2p5mw_ds3_sigma_ln_kmh,tropical_cyclone_wind,JAIMES_DS3_CANDIDATE_ONLY,0.0516,fragility_dispersion,T3_engineering_proxy_or_adjacent_empirical,TCWW-S005,"Table 3 model-response fit; not total epistemic spread.",defer_candidate_only,"Population validation and model-form uncertainty."
jaimes_3p3mw_ds3_mu_ln_kmh,tropical_cyclone_wind,JAIMES_DS3_CANDIDATE_ONLY,5.1642,fragility_location,T3_engineering_proxy_or_adjacent_empirical,TCWW-S005,"Table 3; exact 3.3-MW/100-m model only.",defer_candidate_only,"Exact-archetype verification plus economic bridge."
jaimes_3p3mw_ds3_sigma_ln_kmh,tropical_cyclone_wind,JAIMES_DS3_CANDIDATE_ONLY,0.0567,fragility_dispersion,T3_engineering_proxy_or_adjacent_empirical,TCWW-S005,"Table 3 model-response fit; not total epistemic spread.",defer_candidate_only,"Population validation and model-form uncertainty."
rose_active_yaw_alpha_knots,tropical_cyclone_wind,ROSE_TOWER_BUCKLING_VALIDATION_ONLY,174,fragility_location,T3_engineering_proxy_or_adjacent_empirical,TCWW-S003,"Table 1 aligned active-yaw NREL 5-MW case.",audit_only,"Qualified onshore control-state validation."
rose_active_yaw_beta,tropical_cyclone_wind,ROSE_TOWER_BUCKLING_VALIDATION_ONLY,19.3,fragility_shape,T3_engineering_proxy_or_adjacent_empirical,TCWW-S003,"Table 1 native log-logistic exponent.",audit_only,"Qualified onshore control-state validation."
rose_perpendicular_non_yaw_alpha_knots,tropical_cyclone_wind,ROSE_TOWER_BUCKLING_VALIDATION_ONLY,140,fragility_location,T3_engineering_proxy_or_adjacent_empirical,TCWW-S003,"Table 1 perpendicular non-yaw NREL 5-MW case.",audit_only,"Qualified onshore control-state validation."
rose_perpendicular_non_yaw_beta,tropical_cyclone_wind,ROSE_TOWER_BUCKLING_VALIDATION_ONLY,18.6,fragility_shape,T3_engineering_proxy_or_adjacent_empirical,TCWW-S003,"Table 1 native log-logistic exponent.",audit_only,"Qualified onshore control-state validation."
reference_equipment_value_usd_per_kw,tropical_cyclone_wind,none,1090,value_denominator,T2_public_lab_standard_or_physics,TCWW-S010,"CWER 2024 reference rows 2-9.",adopt_with_limits,"New value vintage or site appraisal."
reference_physical_value_usd_per_kw,tropical_cyclone_wind,none,1623,reporting_denominator,T2_public_lab_standard_or_physics,TCWW-S010,"Equipment plus withheld other direct plus support.",adopt_with_limits,"Value boundary changes."
reference_installed_value_usd_per_kw,tropical_cyclone_wind,none,1968,reporting_denominator,T2_public_lab_standard_or_physics,TCWW-S010,"Physical plus excluded soft/sunk reference rows.",adopt_with_limits,"Value boundary changes."
unknown_conditioner_credit,tropical_cyclone_wind,none,NO_CREDIT,governance_rule,T4_placeholder_or_expert_judgment,GOVERNANCE_CONTRACT,"Unknown protective state cannot be silently favorable.",adopt,"Validated default-state model."
