value_source_id,source_location,row_or_bucket_id,row_or_bucket_label,value,unit,financial_class,failure_unit_id,role_in_loss,include_in_direct_denominator,allocation_rule,double_count_guardrail,status,notes
"NLR_Q1_2025_UPV_PV_ONLY_2024_USD","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Solar_Map!2","SOLAR_VALUE_002_MODULE","Module hardware + manufacturing allocation","291.21485143992487","2024_USD_per_kWdc","direct_hardware","PV_FIXED_TILT_MODULE_FIELD|PV_TRACKER_MODULE_FIELD","direct_vulnerable_value","true","Use only for the active selected architecture and explicit site exposure; site/BOM value overrides.","Never charge both fixed and tracker records or charge module replacement again after the terminal-structure cascade.","mapped_reference_only","The benchmark is a reference value, not an implicit site default or curve cap."
"NLR_Q1_2025_UPV_PV_ONLY_2024_USD","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Solar_Map!3","SOLAR_VALUE_003_MOUNTING","Tracker/racking hardware","109.98972602739727","2024_USD_per_kWdc","direct_hardware","PV_FIXED_TILT_SUPPORT_STRUCTURE|PV_TRACKER_SBOS_ASSEMBLY","direct_vulnerable_value","true","Use only for the active selected architecture when the site BOM supports transfer; fixed tilt otherwise requires an explicit site value.","Do not split torque tube, drive, rails, piles and foundations beyond source support or sum tracker and racking curves.","mapped_reference_only","Architecture-generic repository row; tracker/fixed composition transfer remains limited."
"NLR_Q1_2025_UPV_PV_ONLY_2024_USD","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Solar_Map!4","SOLAR_VALUE_004_FOUNDATION","Driven piers + inverter pad","31.12448715327472","2024_USD_per_kWdc","direct_hardware","PV_FOUNDATION","withheld","false","Retain for reconciliation; require architecture/geotechnical split and separate fragility before loss.","Never inherit active support-structure DR or exposure.","withheld","Mixed foundation bucket."
"NLR_Q1_2025_UPV_PV_ONLY_2024_USD","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Solar_Map!5","SOLAR_VALUE_005_INVERTER","Central inverter hardware","32.306366410372384","2024_USD_per_kWdc","direct_hardware","PV_POWER_CONVERSION_AND_ELECTRICAL","withheld","false","Separate point-asset exposure and direct mechanism required.","Do not apply array pressure DR or array exposed fraction.","withheld","Direct wind pressure is not a supported inverter fragility."
"NLR_Q1_2025_UPV_PV_ONLY_2024_USD","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Solar_Map!6","SOLAR_VALUE_006_COMBINER","Combiner boxes","6.82625","2024_USD_per_kWdc","direct_hardware","PV_POWER_CONVERSION_AND_ELECTRICAL","withheld","false","Split enclosure, location, debris and ingress pathways before modeling.","Do not pool with inverter, cable or module response.","withheld","No direct aerodynamic curve."
"NLR_Q1_2025_UPV_PV_ONLY_2024_USD","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Solar_Map!7","SOLAR_VALUE_007_CABLE","AC and DC conductors and project electrical line","69.3201119402985","2024_USD_per_kWdc","direct_hardware","PV_POWER_CONVERSION_AND_ELECTRICAL","withheld","false","Split exposed, buried, conduit, termination and line segments.","Do not reuse array zone exposure.","withheld","Mixed line-asset value."
"NLR_Q1_2025_UPV_PV_ONLY_2024_USD","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Solar_Map!8","SOLAR_VALUE_008_MV","Transformer, switches, breakers and substation","106.50466417910448","2024_USD_per_kWdc","direct_hardware","PV_POWER_CONVERSION_AND_ELECTRICAL","withheld","false","Split point assets and mechanisms.","Do not apply module or structure DR.","withheld","No direct convective fragility."
"NLR_Q1_2025_UPV_PV_ONLY_2024_USD","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Solar_Map!9","SOLAR_VALUE_009_GROUNDING","Grounding and lightning protection","8.385","2024_USD_per_kWdc","direct_hardware","PV_POWER_CONVERSION_AND_ELECTRICAL","withheld","false","Retain for reconciliation; lightning is a separate pathway.","No wind-pressure inheritance.","withheld","Mixed grounding/lightning row."
"NLR_Q1_2025_UPV_PV_ONLY_2024_USD","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Solar_Map!10","SOLAR_VALUE_010_SCADA","System monitor","1.31","2024_USD_per_kWdc","direct_hardware","PV_SCADA_COMMUNICATIONS","withheld","false","Location and exposure split required.","Tracker control state may condition demand but is not a duplicate SCADA loss by default.","withheld","No direct aerodynamic curve."
"NLR_Q1_2025_UPV_PV_ONLY_2024_USD","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Solar_Map!11","SOLAR_VALUE_011_NETWORK","Grid network upgrade","0.0","2024_USD_per_kWdc","excluded_nonphysical","OUTSIDE_PHYSICAL_CELL","excluded","false","Exclude.","Never reintroduce through physical loss.","excluded","Zero reference row."
