value_source_id,source_location,row_or_bucket_id,row_or_bucket_label,value,unit,financial_class,failure_unit_id,applicable_pathway_ids,role_in_loss,include_in_direct_denominator,allocation_rule,double_count_guardrail,status,notes
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!2",WIND_VALUE_002_BLADE,Blades,282,2023_USD_per_kW,direct_hardware,WT_TURBINE_FIRE_ASSEMBLY,"wildfire_thermal_attack|wildfire_firebrand_ignition",direct_vulnerable_value,true,"Candidate same-turbine assembly denominator; exact blade-zone state retained; runtime DR withheld.","Do not add blade replacement after terminal turbine-equipment replacement or transfer blade-test response to the full row.",mapped_no_curve,"Aggregate blade row; no wildfire-specific repair split."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!3",WIND_VALUE_003_PITCH,Pitch assembly,13,2023_USD_per_kW,direct_hardware,WT_TURBINE_FIRE_ASSEMBLY,"wildfire_thermal_attack|wildfire_firebrand_ignition",direct_vulnerable_value,true,"Include once in dependency-safe turbine assembly; operating/pitch state is separately a conditioner.","Do not charge pitch value because pitch state changes exposure and again under assembly replacement.",mapped_no_curve,"CWER rotor-module row."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!4",WIND_VALUE_004_HUB,Hub assembly,42,2023_USD_per_kW,direct_hardware,WT_TURBINE_FIRE_ASSEMBLY,"wildfire_thermal_attack|wildfire_firebrand_ignition",direct_vulnerable_value,true,"Include once in assembly states; local hub repair and terminal assembly replacement must be mutually exclusive.","Do not infer hub ignition from blade specimens or internal-fire incidents.",mapped_no_curve,"Direct CWER component row."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!5",WIND_VALUE_005_NACELLE_STRUCTURE,Nacelle structural assembly,76,2023_USD_per_kW,direct_hardware,WT_TURBINE_FIRE_ASSEMBLY,"wildfire_thermal_attack|wildfire_firebrand_ignition",direct_vulnerable_value,true,"Map enclosure and internal-fire propagation states within one turbine assembly.","Do not treat the full nacelle row as receiving ground-level flux or independently add it after terminal replacement.",mapped_no_curve,"Enclosure/ventilation/BOM selectors remain required."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!6",WIND_VALUE_006_DRIVETRAIN,Drivetrain assembly,236,2023_USD_per_kW,direct_hardware,WT_TURBINE_FIRE_ASSEMBLY,"wildfire_thermal_attack|wildfire_firebrand_ignition",direct_vulnerable_value,true,"Protected internal equipment enters only through supported local attack/ingress and dependent assembly states.","Do not infer external-wildfire loss from generic internal-fire fuel load or outage.",mapped_no_curve,"Gearbox/generator rollup."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!7",WIND_VALUE_007_POWER_ELECTRONICS,Nacelle electrical assembly,137,2023_USD_per_kW,direct_hardware,WT_TURBINE_FIRE_ASSEMBLY,"wildfire_thermal_attack|wildfire_firebrand_ignition|wildfire_residue_destructive_contamination",direct_vulnerable_value,true,"Keep electronics in the turbine assembly with explicit enclosure/ventilation/residue disposition.","Do not turn smoke presence, trip or telemetry loss into physical destruction.",mapped_no_curve,"NEMA endpoints do not supply pre-event probability."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!8",WIND_VALUE_008_YAW,Yaw assembly,28,2023_USD_per_kW,direct_hardware,WT_TURBINE_FIRE_ASSEMBLY,"wildfire_thermal_attack|wildfire_firebrand_ignition",direct_vulnerable_value,true,"Include hardware once; attained azimuth remains a conditioner for zone exposure.","Do not charge yaw value because azimuth enters the local-load bridge.",mapped_no_curve,"Direct CWER component row."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!9",WIND_VALUE_009_TOWER,Tower module,276,2023_USD_per_kW,direct_hardware,WT_TURBINE_FIRE_ASSEMBLY,"wildfire_thermal_attack|wildfire_firebrand_ignition",direct_vulnerable_value,true,"Retain shell/base/door/cable-entry zones inside the repeated assembly and terminal precedence.","Do not apply a fixed hub-height attenuation or call steel/noncombustible construction immune.",mapped_no_curve,"Tower shell and internal services need zone-specific inspection states."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!10",WIND_VALUE_010_FOUNDATION,Foundation,120,2023_USD_per_kW,direct_hardware,WT_FOUNDATION,wildfire_thermal_attack,geometry_material_review,false,"Preserve as a separate foundation subject; runtime curve and direct denominator withheld pending local dose/disposition.","Do not assign zero from burial/noncombustibility or add post-fire erosion/scour to thermal attack.",withheld,"Concrete surface/anchor/seal state unresolved."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!11",WIND_VALUE_011_CIVIL,"Site access, staging, and facilities",47,2023_USD_per_kW,mixed_civil,WT_CIVIL_INFRA,"wildfire_thermal_attack|wildfire_firebrand_ignition",split_required,false,"Split roads, pads, fences, gates, culverts, drainage, lighting and buildings using site inventory/geometry.","Do not include vegetation remediation or scale mixed civil by turbine DR/exposure.",withheld,"Mixed plant-level physical rollup."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!12",WIND_VALUE_012_ELECTRICAL,Electrical infrastructure,72,2023_USD_per_kW,mixed_direct_hardware,"WT_PAD_ELECTRICAL|WT_COLLECTION_NETWORK|WT_GSU_MAIN_TRANSFORMER|WT_GSU_SWITCHGEAR_BUS|WT_GSU_PROTECTION_CONTROL_DC|WT_GSU_CABLE_TERMINATIONS|WT_CONTROL_MET_OM","wildfire_thermal_attack|wildfire_firebrand_ignition|wildfire_residue_destructive_contamination",split_required,false,"Split exact pad, segment/network, GSU apparatus and control/met/O&M values using site BOM/SOV and ownership.","Do not use 72 USD/kW as a GSU value, duplicate one shared yard per turbine, or apply one electrical DR.",withheld,"CWER does not split plant electrical."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!13",WIND_VALUE_013_FIELDWORK,Assembly and installation,100,2023_USD_per_kW,support_logistics,SUPPORT_FIELDWORK,all_wildfire,support_once,false,"Allocate once after final qualified disposition with a site/claims rule.","No independent wildfire fragility and no automatic proportional scaling in model v0.1.",mapped_support_rule_open,"Inspection/NDT/fieldwork must not be duplicated across component states."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!14",WIND_VALUE_014_TRANSPORT,Wind turbine transport,194,2023_USD_per_kW,support_logistics,SUPPORT_TRANSPORT_LOGISTICS,all_wildfire,support_once,false,"Allocate once when final repair/replacement scope, crane/access and transport requirements are known.","Do not include in intrinsic DR denominator and add again downstream.",mapped_support_rule_open,"Reference transport is not a site wildfire repair invoice."
