source_id,full_citation,source_class,accessed_on,primary_url,secondary_access_url,native_axis_or_unit,direct_support,prohibited_support,evidence_role,tier,status
"IEA_PVPS_T13_33_2025","IEA PVPS Task 13. Extreme Weather Impacts on PV Power Plants. Report IEA-PVPS T13-33:2025; DOI 10.69766/FFNG4976.","official international technical report","2026-07-10","https://doi.org/10.69766/FFNG4976","https://iea-pvps.org/wp-content/uploads/2025/12/IEA-PVPS-T13-33-2025-REPORT-Extreme-Weather-Impacts.pdf","aggregated claim-count and incurred-cost shares by broad peril category","fire is a material PV insurance-loss category; published evidence remains sparse on heat effects within defined radii and sub-catastrophic impacts","exogenous-wildfire-only claim rate, component fragility, exposed asset denominator, local exposure, or replacement-cost curve","portfolio materiality and research-gap context","T3_engineering_proxy_or_adjacent_empirical","RETAINED_WITH_CATEGORY_LIMIT"
"KIEE_JANG_2026_WILDFIRE_PV","Jang, J.-H.; Kim, J.-M.; Oh, S.-J.; Kang, H.-G. Analysis of degradation diagnosis methods of PV modules depending on wildfires. Transactions of the Korean Institute of Electrical Engineers 75(2), 390-396 (2026).","peer-reviewed field diagnostic study; abstract accessible","2026-07-10","https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003300065","","PR, PPI, IR, I-V, EL, observed hot spots and EL degradation patterns","an actual wildfire-affected PV system exhibited degradation signals; EL and continued monitoring add information beyond performance or I-V alone","local wildfire dose, population fragility, affected/unaffected denominator, BOM transfer, replacement decision, or economic DR","field diagnostic protocol and endpoint design","T3_engineering_proxy_or_adjacent_empirical","RETAINED_ABSTRACT_ONLY"
"YONHAP_UISEONG_PV_2025","Yonhap News Agency report, reprinted by Financial News. Wildfire damage at a 1 MW photovoltaic facility in Uiseong, Republic of Korea, 24 March 2025.","reported field event","2026-07-10","https://www.fnnews.com/news/202503241420097473","","1 MW facility; reported 5,500 modules; operating shutdown; severe electrical-room damage","wildfire can produce material module-area and power-equipment damage at an operating solar facility","component attack state, unaffected denominator, engineering inspection result, repair invoice, replacement ratio, or fragility","field-event materiality","T3_engineering_proxy_or_adjacent_empirical","RETAINED_EVENT_CONTEXT_ONLY"
"KOREA_SOLAR_WILDFIRE_CASES_2025","Maeil Business Newspaper. Solar facilities hit by wildfires and operating shutdowns, based on data submitted to a National Assembly member, 2025.","reported administrative aggregate","2026-07-10","https://pulse.mk.co.kr/news/english/11403773","","reported facility damage cases and shutdown counts","wildfire-related solar incidents are not isolated","asset-years, peril definition, severity, component inventory, local dose, cost, or fragility","incident-materiality context","T3_engineering_proxy_or_adjacent_empirical","RETAINED_CONTEXT_ONLY"
"NEMA_GD2_2016","National Electrical Manufacturers Association. NEMA GD 2-2016: Evaluating Fire- and Heat-Damaged Electrical Equipment.","industry consensus guidance","2026-07-10","https://www.nema.org/docs/default-source/standards-document-library/nema-gd-2-2016-evaluating-fire-and-heat-damaged-electrical-equipment-guide.pdf","","post-event equipment category and inspect/evaluate/replace disposition","fire- and heat-damaged electronic controls generally require replacement; some power and wiring equipment requires qualified evaluation or replacement","pre-event heat threshold, probability of failure, wildfire attack state, or economic fragility","post-event failure/replacement endpoint design","T2_public_lab_standard_or_physics","RETAINED_FOR_ENDPOINT_PROTOCOL"
"FM_DS_7_106_2026","FM. Property Loss Prevention Data Sheet 7-106: Ground-Mounted Solar Power, April 2026.","insurer engineering guidance","2026-07-10","https://www.fm.com/-/media/project/publicwebsites/fmglobal/documentum-new/data-sheet-individual/07-hazards/fmds07106.pdf","","wildland-fire separation, access, vegetation control, construction and fire-test recommendations","ground-mounted solar site-control and selector fields","numeric mitigation credit, wildfire fragility, control effectiveness distribution, or economic DR","site-adapter and control-field completeness","T2_public_lab_standard_or_physics","RETAINED_AS_GUIDANCE_ONLY"
"FRANKMAN_2012_WILDLAND_HEAT","Frankman, D.; Webb, B.W.; Butler, B.W.; Jimenez, D.; Forthofer, J.M.; Sopko, P.; Shannon, K.S.; Hiers, J.K.; Ottmar, R.D. Measurements of convective and radiative heating in wildland fires. International Journal of Wildland Fire 22, 157-167 (2013); first published 2012; DOI 10.1071/WF11097.","peer-reviewed primary field measurements","2026-07-10","https://doi.org/10.1071/WF11097","https://research.fs.usda.gov/treesearch/42185","incident radiative and convective heat flux by surface, shrub and crown fire setting","wildland-fire heat flux varies substantially by fire/fuel setting and convection can be material","universal FSim-to-equipment converter, solar component dose, duration distribution, or fragility","local-exposure physics and transfer-model requirements","T2_public_lab_standard_or_physics","RETAINED_WITH_TRANSFER_LIMIT"
"BUTLER_2010_CROWN_HEAT","Butler, B.W. Characterization of convective heating in full scale crown fires. USDA Forest Service Research Paper RMRS-RP-50WWW, 2010.","official primary field measurements","2026-07-10","https://research.fs.usda.gov/treesearch/39348","","gas temperature, velocity, convective heat flux and duration in crown fire","short peak and longer sustained convective exposures are distinct and must be represented with time","utility-PV component exposure, universal distance law, failure probability, or cost","local heat-dose state design","T2_public_lab_standard_or_physics","RETAINED_WITH_TRANSFER_LIMIT"
"MUELLER_2018_FIELD_FIRE","Mueller, E.V.; Skowronski, N.; Clark, K.; Gallagher, M.; Hadden, R.M.; Mell, W.; Simeoni, A. Local measurements of wildland fire dynamics in a field-scale experiment. Combustion and Flame 194, 452-463 (2018); DOI 10.1016/j.combustflame.2018.05.028.","peer-reviewed primary field experiment","2026-07-10","https://doi.org/10.1016/j.combustflame.2018.05.028","https://www.research.ed.ac.uk/en/publications/local-measurements-of-wildland-fire-dynamics-in-a-field-scale-exp","local temperature and heat-transfer dynamics for surface and crown fire","surface and crown pathways produce materially different integrated preheating and local exposure histories","solar-site exposure, FSim class converter, component failure, or economic DR","local-exposure physics and pathway separation","T2_public_lab_standard_or_physics","RETAINED_WITH_TRANSFER_LIMIT"
"MODARRES_2024_WILDFIRE_FLUX","Modarres, M.; et al. Experimental investigation of wildfire flame geometry and incident heat flux. Fire Safety Journal 146 (2024) 104205; DOI 10.1016/j.firesaf.2024.104205.","peer-reviewed primary laboratory/field-scale experiment","2026-07-10","https://doi.org/10.1016/j.firesaf.2024.104205","https://www.sciencedirect.com/science/article/abs/pii/S0379711224001188","incident heat flux versus fuel, flame geometry, slope and distance","a local transfer model needs fuel, geometry, slope, distance and view-factor information","universal coefficient, utility-scale wildfire exposure distribution, solar fragility, or cost","candidate transfer-model variables","T2_public_lab_standard_or_physics","RETAINED_WITH_SCALE_LIMIT"
"BEDON_WANG_2026_BIPV_FIRE","Bedon, C.; Wang, Y. Experimental and Numerical Analysis of Glass-Glass BIPV Facade Modules in Fire. Challenging Glass Conference Proceedings 10 (2026); DOI 10.47982/cgc.10.769.","peer-reviewed primary specimen experiment","2026-07-10","https://doi.org/10.47982/cgc.10.769","https://proceedings.challengingglass.com/index.php/cgc/article/view/769","50 kW/m2 radiant exposure for 600 s on 40 cm glass-glass BIPV specimens","glass layup, boundary conditions and duration materially affect thermal response","utility-scale module population fragility, backsheets, wildfire transfer, or economic DR","BOM-specific mechanism evidence","T2_public_lab_standard_or_physics","RETAINED_WITH_BIPV_SCALE_LIMIT"
"ASTM_E108_2025","ASTM International. ASTM E108-25: Standard Test Methods for Fire Tests of Roof Coverings.","official consensus test standard","2026-07-10","https://store.astm.org/e108.html","","simulated exterior fire tests for roof coverings","relative fire-test classification within the standard's roof-covering scope","actual all-condition wildfire performance, ground-mounted PV fragility, or numerical damage reduction","rating-scope guardrail","T2_public_lab_standard_or_physics","RETAINED_SCOPE_LIMIT_ONLY"
