source_id,full_citation,source_class,accessed_on,primary_url,exact_locator,native_axis_or_endpoint,direct_support,prohibited_support,evidence_role,tier,status
"PV_TRACKER_DOWNBURST_2025","Álvarez et al. Downburst-Induced Loads on a Six-Row Array of Ground-Mounted Solar Trackers. Proceedings of the 10th International Conference on Advances in Experimental Structural Engineering, 2025.","peer-reviewed conference experiment","2026-07-12","https://doi.org/10.1007/978-3-031-98893-6_6","pp. 54–63; §§2–6; especially pp. 57–62","1:20 six-row rigid tracker model; 576 pressure taps; eight vertical-jet downburst repeats; pressure-time histories","Transient ramp/plateau/decay, primary-vortex surge, row and tilt dependence, downburst knowledge gap","Critical speed, component capacity, failure probability, damage state, economic DR, full-scale threshold","hazard mechanism / axis / conditioner","T2_public_lab_standard_or_physics","RETAINED_WITH_TRANSFER_LIMIT"
"IEA_PVPS_EXTREME_WEATHER_2025","IEA PVPS Task 13. Operational and Economic Impacts of Extreme Weather on PV Power Plants. T13-33:2025.","international laboratory synthesis","2026-07-12","https://iea-pvps.org/wp-content/uploads/2025/12/IEA-PVPS-T13-33-2025-REPORT-Extreme-Weather-Impacts.pdf","§3.2.2 pp. 24–25; §§3.4–3.6 pp. 25–28","reported straight-line wind cases around 22–28 m/s; Oakey and Lamar tracker narratives","Observed below-design damage is possible; 1P/2P, stow, perimeter and anemometer state are load-bearing","Population fragility, normalized DR, exact value denominator, literal threshold or fitted median; Lamar citation is uncertain","field anchor / asset taxonomy","T3_engineering_proxy_or_adjacent_empirical","RETAINED_AS_SCREENING_CONSTRAINT"
"VALENTIN_TRACKER_FAILURE_2022","Valentín et al. Failure Investigation of a Solar Tracker Due to Wind-Induced Torsional Galloping. Engineering Failure Analysis 135, 106137 (2022).","peer-reviewed forensic case","2026-07-12","https://doi.org/10.1016/j.engfailanal.2022.106137","§§3.2–3.3, 4.3 and 6","one exposed flat tracker failed; nearby station about 16.7 m/s; rotation, module, shaft and pillar damage","Tracker cascade sequence and importance of angle/exposure","Convective attribution, local threshold, population probability, economic DR","mechanism / vulnerable-architecture bound","T3_engineering_proxy_or_adjacent_empirical","RETAINED_WITH_TRANSFER_LIMIT"
"CPP_TRACKER_INSTABILITY_2015","Rohr, Bourke and Banks. Torsional Instability of Single-Axis Solar Tracking Systems. 2015.","engineering wind-tunnel / CFD paper","2026-07-12","https://www.cppwind.com/wp-content/uploads/2020/12/Torsional-Instability-of-Single-Axis-Solar-Tracking-Systems-Rohr-Bourke-Banks-2015.pdf","pp. 1–7; especially pp. 5–7","sectional critical velocity and tracker twist under ABL flow","System-specific critical-speed and angle-conditioned tracker axis","Universal 40 m/s threshold, downburst response, DR or loss","tracker axis / mechanism","T2_public_lab_standard_or_physics","RETAINED_WITH_TRANSFER_LIMIT"
"TRACKER_LAYOUT_AEROELASTIC_2025","Frontini et al. Key Parameters Influencing Wind-Induced Aeroelastic Responses of Single-Axis Solar Trackers in Photovoltaic Plants. Solar Energy 2025, 113232.","peer-reviewed wind-tunnel and FEM study","2026-07-12","https://doi.org/10.1016/j.solener.2024.113232","abstract; stability map Fig. 7; stress envelopes Fig. 12","critical response by tracker position, pitch, direction and ground-coverage ratio","Required row, pitch, direction and layout fields","Transfer of tested critical speeds to another tracker or to downburst loading","tracker selectors / conditioners","T2_public_lab_standard_or_physics","RETAINED_WITH_TRANSFER_LIMIT"
"PV_TRACKER_AEROELASTIC_2024","Rodríguez-Casado et al. Experimental Benchmark for the 3D Wind Tunnel Testing of Torsional Aeroelastic Instabilities in Single-Axis Solar Trackers. JWEIA 2024, 105838.","peer-reviewed aeroelastic benchmark","2026-07-12","https://doi.org/10.1016/j.jweia.2024.105838","abstract and §§1–3","3D aeroelastic critical velocity by design and tilt in two tunnels","Exact-system named Ucrit normalization and qualification identity","Generic production-tracker fragility or damage probability","tracker axis / qualification","T2_public_lab_standard_or_physics","RETAINED_WITH_TRANSFER_LIMIT"
"TRACKER_FIELD_MODAL_2024","Koekemoer et al. Field Measurements of Wind Load Effects in a Photovoltaic Single-Axis Tracker Mounting Rail. JWEIA 2024, 105876.","peer-reviewed full-scale field measurements","2026-07-12","https://doi.org/10.1016/j.jweia.2024.105876","abstract; 109-day campaign","1P tracker torsional and bending modal response by direction and pile position","1P/2P and modal/layout differentiation","No-damage threshold or destructive convective response","tracker mechanism / future calibration","T2_public_lab_standard_or_physics","RETAINED_WITH_TRANSFER_LIMIT"
"FIXED_TILT_WIND_DESIGN_2020","Browne et al. A Wind Load Design Method for Ground-Mounted Multi-Row Solar Arrays Based on a Compilation of Wind Tunnel Experiments. JWEIA 2020, 104294.","peer-reviewed ABL wind-tunnel synthesis","2026-07-12","https://doi.org/10.1016/j.jweia.2020.104294","abstract and §§1–5","fixed-tilt static/dynamic pressure coefficients and perimeter/field zones","Separate fixed-tilt load bridge and array zoning","Downburst coefficients, tracker aeroelasticity, failure probability or DR","fixed-tilt axis / zone design","T2_public_lab_standard_or_physics","RETAINED_WITH_TRANSFER_LIMIT"
"SOLAR_JOINT_CYCLIC_2025","Du et al. Cyclic Demands on Solar Structural Joints under Wind Loading. Journal of Structural Engineering, 2025.","peer-reviewed CFD/FEA/hazard study","2026-07-12","https://doi.org/10.1061/JSENDH.STENG-14435","abstract and conclusions","lifetime clamp/joint cyclic demand","Joint coverage and acute-versus-fatigue boundary","Single-occurrence convective DR or lifetime-to-peak conversion","failure-unit design / boundary","T2_public_lab_standard_or_physics","RETAINED_WITH_TRANSFER_LIMIT"
"SOLAR_CRITICAL_JOINTS_2025","Robinson. Maturing Rational Design Methodologies and Industry Consensus Engineering Standards: Critical Fastened Joints – Solar PV Industry. LBNL, 2025.","public-laboratory engineering report","2026-07-12","https://doi.org/10.20357/B7VG76","abstract and report","joint failure, racking deflection/twist and load feedback","Attachment/joint condition and cascade logic","Wind-to-failure population or cost fraction","failure mechanism / condition","T2_public_lab_standard_or_physics","RETAINED_WITH_TRANSFER_LIMIT"
"DOE_PV_OWNER_GUIDE_2021","U.S. DOE/FEMP and GSA. PV System Owner’s Guide to Identifying, Assessing, and Addressing Weather Vulnerabilities, Risks, and Impacts. 2021.","official field-audit guidance","2026-07-12","https://www.energy.gov/sites/default/files/2021-09/pv-system-owners-guide-to-weather-vulnerabilities.pdf","§5; PDF pp. 43–50 for clamps/racking; derecho context pp. 56–58","field-audit vulnerabilities and observed module, clamp, fastener, racking, wiring and enclosure mechanisms","Failure-unit coverage, dependency, audit and conditioner fields","Numerical utility-scale convective fragility, parameter median, dispersion or loss cap","mechanism / failure-unit / conditioner","T2_public_lab_standard_or_physics","RETAINED_QUALITATIVE"
"NREL_WEATHER_IMPACTS_2021","Walker et al. Weather Impacts on Solar PV Operations: Summary of the 2021 PV Reliability Workshop. LBNL/NREL/Sandia, 2021.","public-laboratory workshop synthesis","2026-07-12","https://escholarship.org/content/qt5t8569hf/qt5t8569hf_noSplash_f0e76891c1cd44233507d7c5afbad87a.pdf","pp. 23–25, 30–32, 39–42 and 56–58","field cases, clamp/fastener failure, module/rack dynamics, thunderstorm/downburst context","Mechanism, dependency, below-design failure possibility and open evidence seams","Curve calibration, universal threshold or repair-cost ratio","mechanism / evidence-gap synthesis","T2_public_lab_standard_or_physics","RETAINED_WITH_TRANSFER_LIMIT"
"FM_DS_7_106_2026","FM. Data Sheet 7-106: Ground-Mounted Solar Photovoltaic Power. April 2026.","insurer engineering standard","2026-07-12","https://www.fm.com/-/media/project/publicwebsites/fmglobal/documentum-new/data-sheet-individual/07-hazards/fmds07106.pdf","§§2.1.2.3–2.1.2.4 pp. 3–4; §3.1 pp. 10–11","static/dynamic/aeroelastic review; multiple anemometers; stow trigger 25% below tested instability speed","Ucrit qualification, monitoring and 0.75 action flag","0.75 as damage threshold, hard zero or fragility ordinate","tracker operational gate","T2_public_lab_standard_or_physics","RETAINED_AS_GATE_NOT_CURVE"
"ASTM_E1830_2025","ASTM E1830-15(2025). Standard Test Methods for Determining Mechanical Integrity of Photovoltaic Modules.","consensus test standard","2026-07-12","https://store.astm.org/e1830-15r25.html","scope §§1.1–1.4; significance §4","2400 Pa static, 1440 Pa cyclic, twist test; no pass/fail level","Module qualification metadata and physical/electrical endpoints","Universal wind speed, failure probability or economic DR","module test / selector","T2_public_lab_standard_or_physics","RETAINED_WITH_TRANSFER_LIMIT"
"IEC_62782_2016","IEC TS 62782:2016. Photovoltaic modules — Cyclic (dynamic) mechanical load testing.","international test standard","2026-07-12","https://webstore.iec.ch/en/publication/24310","scope","alternating uniform module load test","Module-test provenance and fatigue susceptibility","Transient downburst, plant fragility or DR","module test / selector","T2_public_lab_standard_or_physics","RETAINED_WITH_TRANSFER_LIMIT"
"IEC_62817","IEC 62817:2014+A1:2017. Photovoltaic systems — Design qualification of solar trackers.","international qualification standard","2026-07-12","https://webstore.iec.ch/en/publication/61127","scope and qualification sequence","tracker design qualification","Exact tracker architecture/qualification identity and testing context","Site-specific structure/foundation certification, Ucrit for an unnamed tracker, or fragility","tracker selector / qualification","T2_public_lab_standard_or_physics","RETAINED_WITH_TRANSFER_LIMIT"
"ASCE_7_22","ASCE/SEI 7-22. Minimum Design Loads and Associated Criteria for Buildings and Other Structures.","consensus design standard","2026-07-12","https://www.asce.org/publications-and-news/codes-and-standards/asce-sei-7-22","Ch. 29 §29.4.5; Ch. 31 §31.4.5; Ch. 26 symbols","fixed-tilt ground-mount wind design; 3-second gust at 10 m Exposure C source definition","Design normalization and fixed-tilt scope","Failure capacity, D50, tracker aeroelastic response or downburst profile","design anchor / axis lineage","T2_public_lab_standard_or_physics","RETAINED_WITH_TRANSFER_LIMIT"
"ASCE_49_21","ASCE/SEI 49-21. Wind Tunnel Testing for Buildings and Other Structures.","consensus wind-tunnel standard","2026-07-12","https://www.asce.org/communities/institutes-and-technical-groups/structural-engineering-institute/committees/sei-board-of-governors/sei-technical-community-executive-committee/asce-49---wind-tunnel-testing","§2.3.2 nonsynoptic winds","wind-tunnel requirements including downbursts and other nonsynoptic winds","Named downburst/non-synoptic and tracker qualification bridge","PV fragility or damage parameters","test-method anchor","T2_public_lab_standard_or_physics","RETAINED_WITH_TRANSFER_LIMIT"
"NIST_THUNDERSTORM_PROFILES_2011","Lombardo et al. Thunderstorm Characteristics of Importance to Wind Engineering Part II: Profiles, Gust Factors and Other Observations. JWEIA 2011.","peer-reviewed primary field analysis","2026-07-12","https://www.nist.gov/publications/thunderstorm-characteristics-importance-wind-engineering-part-ii-profiles-gust-factors","abstract and paper; ramp-up/profile/gust-factor sections","nonstationary ramp-up, vertical components, profile and gust-factor variability","Reject silent stationary-ABL equivalence and ordinary default profile conversion","Solar failure threshold or DR","hazard-axis boundary","T2_public_lab_standard_or_physics","RETAINED"
"FULL_SCALE_DOWNBURST_2018","Gunter and Schroeder. Investigation of a Downburst Loading Event on a Full-Scale Low-Rise Building. JWEIA 2018.","peer-reviewed full-scale event study","2026-07-12","https://doi.org/10.1016/j.jweia.2018.09.020","highlights and results","about 30 s ramp; peak near 4 m; direction change up to about 30° over 50 m","Rise time, direction change and non-power-law bridge requirement","PV fragility or structural transfer coefficients","hazard-axis boundary","T2_public_lab_standard_or_physics","RETAINED_WITH_ASSET_TRANSFER_LIMIT"
"DERECHO_MULTISCALE_2025","Wagner et al. Detecting and Interpreting Wind Damage at Multiple Scales in the 10 August 2020 Derecho Using UAS, Satellite, and Radar. Weather and Forecasting, 2025.","peer-reviewed event reconstruction","2026-07-12","https://doi.org/10.1175/WAF-D-24-0198.1","abstract; pp. 1–2 and 12–14","MCS flow, downburst clusters, mesovortices, tornadoes and roughly 10 m damage variability","Derecho label requires local mechanism partition and parent event identity","One derecho-wide demand or PV parameter","event partition / boundary","T2_public_lab_standard_or_physics","RETAINED"
"NWS_DOWNBURST_TAXONOMY","U.S. National Weather Service. Downbursts; NWS Glossary; NSSL Thunderstorm FAQ.","official meteorological definitions","2026-07-12","https://www.weather.gov/spotterguide/downbursts","definitions","downburst, microburst, macroburst, gust front and derecho taxonomy","Pathway scope vocabulary","58 mph warning threshold as PV damage onset","hazard scope","T2_public_lab_standard_or_physics","RETAINED"
