claim_id,pathway_id,claim_text,claim_type,source_ids,exact_locator,evidence_tier,parameter_or_rule,adoption_status,permitted_inference,prohibited_inference,reasoning,update_trigger
TCWW-C001,tropical_cyclone_wind,"NHC maximum sustained surface wind is a one-minute average at 10 m in unobstructed exposure.",direct_observation,TCWW-S001,"NHC glossary entry",T2_public_lab_standard_or_physics,source_native_axis_semantics,adopt,"Label upstream storm-field inputs.","Treat as turbine hub/rotor demand.","Height and averaging reference are explicit in the official definition.","NHC definition changes."
TCWW-C002,tropical_cyclone_wind,"A tropical-cyclone event requires its own pathway rather than convective or tornado curve fallback.",governance_decision,"TCWW-S006;TCWW-S007;GOVERNANCE_CONTRACT","EPRI pp. 3-8 to 4-2; Kapoor conclusions; Standard 22",T2_public_lab_standard_or_physics,pathway_routing,adopt,"Share asset/value substrate only.","Infer pathway from intensity or reuse numerical curves.","Duration, direction, turbulence, and controls differ materially.","A formal equivalence study passes."
TCWW-C003,tropical_cyclone_wind,"The runtime damage axis is not frozen at scaffold stage.",governance_decision,"TCWW-S001;TCWW-S003;TCWW-S005;TCWW-S007;TCWW-S012","native axes and bridge limitations",T3_engineering_proxy_or_adjacent_empirical,axis_status,withhold,"Preserve multiple source-native evidence axes and specify bridge requirements.","Publish a silent global conversion.","Available curve evidence uses incompatible height and averaging references.","One qualified bridge and matching target curve pass review."
TCWW-C004,tropical_cyclone_wind,"Duration, veer, rapid direction change, turbulence, and yaw/grid state are load-bearing descriptors.",source_interpretation,"TCWW-S006;TCWW-S007","EPRI pp. 3-8 to 4-2; Kapoor Table 7 and conclusions",T2_public_lab_standard_or_physics,bridge_and_conditioner_fields,adopt,"Require or preserve fields and withhold unsupported modifier effects.","Apply universal percentage modifiers.","Sources show different components and states respond differently but do not calibrate economic effects.","Matched structural capacity/disposition evidence supports a numeric rule."
TCWW-C005,tropical_cyclone_wind,"Jaimes uses a 3-second peak gust at 10 m in km/h and simulates 108-252 km/h.",direct_observation,TCWW-S005,"sections 2.1 and 2.3.1; section 3.3.2",T3_engineering_proxy_or_adjacent_empirical,jaimes_native_axis,adopt_audit_only,"Reproduce candidate fragilities on their native axis and range.","Use NHC category or hub wind interchangeably.","The paper states the intensity definition and simulation range.","Author correction or new version."
TCWW-C006,tropical_cyclone_wind,"Jaimes DS3 is tower-wall buckling with assumed structural collapse.",direct_observation,TCWW-S005,"section 3.3.3",T3_engineering_proxy_or_adjacent_empirical,jaimes_ds3_endpoint,adopt_audit_only,"Name the candidate endpoint exactly.","Call it total turbine economic loss or all tower damage.","The damage-state definition is explicit and narrower than economic DR.","Field-validated disposition evidence."
TCWW-C007,tropical_cyclone_wind,"Jaimes DS3 lognormal parameters are (5.3165,0.0485), (5.2276,0.0516), and (5.1642,0.0567) in ln(km/h) for the three modeled archetypes.",direct_observation,TCWW-S005,"Table 3",T3_engineering_proxy_or_adjacent_empirical,jaimes_ds3_mu_sigma,defer_candidate_only,"Reproduce source-native tower-collapse probability for exact audit fixtures.","Emit runtime DR or transfer across turbine classes.","Numbers are reproducible but applicability and economics are unresolved.","Exact-archetype verification plus approved severity bridge."
TCWW-C008,tropical_cyclone_wind,"Jaimes economic damage-state ratios are assumed rather than wind-farm-loss calibrated.",direct_observation,TCWW-S005,"section 3.3.5; Eqs. 12-13; Figure 6",T3_engineering_proxy_or_adjacent_empirical,jaimes_economic_bridge,reject,"Use to explain why fragility does not become economic DR.","Adopt the paper's vulnerability function as claims-derived.","The authors state matching Mexico wind-farm loss data were unavailable.","Matched claims/repair-cost data become available."
TCWW-C009,tropical_cyclone_wind,"Rose models binary tower buckling only on a 10-minute hub-height wind axis in knots.",direct_observation,TCWW-S003,"Eq. 5 and Table 1",T3_engineering_proxy_or_adjacent_empirical,rose_native_endpoint_axis,adopt_audit_only,"Reproduce control-state sensitivity on native axis.","Calibrate other components or economic DR.","Source scope is explicit.","Onshore field validation with cost endpoint."
TCWW-C010,tropical_cyclone_wind,"Rose active-yaw aligned parameters are alpha=174 knots and beta=19.3; perpendicular non-yaw parameters are alpha=140 knots and beta=18.6.",direct_observation,TCWW-S003,"Table 1 and damage-function method",T3_engineering_proxy_or_adjacent_empirical,rose_alpha_beta,defer_candidate_validation,"Use as adjacent numerical audit and conditioner-state check.","Average the curves or default unknown yaw to either state.","States are discrete model assumptions, not a generic uncertainty distribution.","Qualified onshore yaw-state calibration."
TCWW-C011,tropical_cyclone_wind,"The legacy Rose surface-wind conversion is internally inconsistent and is rejected.",engineering_inference,"TCWW-S003;LEG-TCWW-001","legacy lines 34-46, 369-376, 792-808",T4_placeholder_or_expert_judgment,legacy_axis_conversion,reject,"Retain native Rose units and record mismatch.","Use 133 mph or 166 mph as converted medians.","The stated factors do not reproduce the displayed table.","A governed bridge with exact convention is validated."
TCWW-C012,tropical_cyclone_wind,"One repeated turbine-equipment assembly is the primary candidate loss atom.",governance_decision,"TCWW-S008;TCWW-S010;GOVERNANCE_CONTRACT","Usagi dependency evidence; CWER rows; decision D-TCWW-04",T3_engineering_proxy_or_adjacent_empirical,failure_unit_id,adopt,"Develop mutually exclusive states and apply exposure per turbine.","Independently add rotor, tower, and nacelle losses after terminal collapse.","Assembly grain prevents consequential double counting.","Claims evidence proves separable states and costs."
TCWW-C013,all_shared,"The reference turbine-equipment denominator is 1090 2023 USD/kW.",direct_observation,TCWW-S010,"CWER land-based breakdown; Wind_Map rows 2-9",T2_public_lab_standard_or_physics,value_denominator,adopt_with_limits,"Use as a labeled reference value basis only.","Use as a universal site/OEM value or emit scenario loss without a curve.","Rows reconcile to rotor, nacelle, yaw, power, and tower equipment.","New CWER vintage or site appraisal."
TCWW-C014,all_shared,"Foundation, civil, and external electrical total 239 2023 USD/kW and remain separate/withheld.",governance_decision,"TCWW-S010;GOVERNANCE_CONTRACT","Wind_Map rows 10-12; decision D-TCWW-02 and seven-step audit steps 2-5",T3_engineering_proxy_or_adjacent_empirical,withheld_value_coverage,withhold,"Keep row-complete reconciliation.","Scale by turbine-equipment DR or exposed turbine fraction.","CWER supplies the values; governance owns the separation/withholding because point, line, network, and mixed civil subjects require different evidence.","Unit-specific evidence and value split."
TCWW-C015,all_shared,"Fieldwork and transport total 294 2023 USD/kW and are support allocated once.",governance_decision,"TCWW-S010;GOVERNANCE_CONTRACT","Wind_Map rows 13-14; decision D-TCWW-02 and seven-step audit steps 3-5",T4_placeholder_or_expert_judgment,support_once_rule,adopt_with_limits,"Add once after qualified repair scope under an explicit rule.","Assign independent fragility or include and add twice.","CWER supplies the cost rows; the support-once treatment is a governed value rule, not an inference from CWER.","Claims-backed support allocation."
TCWW-C016,all_shared,"The physical and installed reference bases are 1623 and 1968 2023 USD/kW; 345 is excluded soft/sunk value.",source_interpretation,"TCWW-S010;GOVERNANCE_CONTRACT","CWER land-based rows; local Wind_Map rows 2-19 and reconciliation",T2_public_lab_standard_or_physics,reference_value_reconciliation,adopt_with_limits,"Report labeled denominator conversions.","Treat either total as the intrinsic curve denominator.","CWER supplies the component rows and installed total; the physical/excluded classification and arithmetic are governed locally and reconcile exactly.","Value vintage or physical-boundary change."
TCWW-C017,tropical_cyclone_wind,"Foundation wind response and post-collapse disposition are not calibrated.",governance_decision,"TCWW-S006;TCWW-S009;TCWW-S010","EPRI vulnerability review; Jangmi case; value row",T3_engineering_proxy_or_adjacent_empirical,WT_FOUNDATION_support,withhold,"Retain a separate candidate unit and case mechanisms.","Set DR to zero or inherit tower DR.","Case evidence does not supply a population probability/cost rule.","Matched foundation capacity/disposition/repair data."
TCWW-C018,tropical_cyclone_wind,"Electrical and civil assets require separate point/line/network exposure objects.",governance_decision,"TCWW-S010;LEG-TCWW-002;GOVERNANCE_CONTRACT","value ledger; consumer audit; seven-step audit steps 2 and 5",T4_placeholder_or_expert_judgment,external_asset_exposure,withhold,"Split future units and preserve values.","Apply turbine-point gust and exposure to full shared-site value.","The sources expose a mixed aggregate; governance owns the physical/spatial grain separation rule.","Component values and matched exposure/damage models."
TCWW-C019,tropical_cyclone_wind,"Unknown yaw, pitch, grid, backup-power, or operating state earns no protection credit.",governance_decision,"TCWW-S003;TCWW-S006;TCWW-S007;TCWW-S008;GOVERNANCE_CONTRACT","state sensitivity evidence; decision D-TCWW-03; site-adapter missing-state rule",T3_engineering_proxy_or_adjacent_empirical,unknown_conditioner_policy,adopt,"Preserve unknown and withhold any state-dependent numeric output.","Default to aligned/protected or worst case silently.","Sources show material state sensitivity; governance owns the conservative unknown-state policy.","Validated state-response family with governed defaults."
