source_id,full_citation,source_class,accessed_on,primary_url,secondary_access_url,native_axis_or_unit,direct_support,prohibited_support,evidence_role,tier,status
"LEGACY_DIVI_WILDFIRE_SOLAR_2026","InfraSure Damage Curve Library. WILDFIRE × SOLAR: Deep Research for Damage Curve Derivation. Version 1.0, March 2026. Commit 12653b2c3d5a013c9524228243ea666c35bb3814; file blob 64142f9873256fc6b09deb497af795b310a47985.","legacy narrative / source-discovery input","2026-07-09","https://github.com/Divi-patel/infrasure-damage-curves/blob/12653b2c3d5a013c9524228243ea666c35bb3814/research/WILDFIRE_x_SOLAR.md","","mixed; proposed FLI kW/m","scope split, candidate mechanisms, source leads, site-variable hypotheses, evidence gaps","any curve ordinate, converter, weight, mitigation credit, event calibration, or uncertainty bound","legacy intake / validation-only","T4_placeholder_or_expert_judgment","REJECTED_FOR_CALIBRATION"
"USFS_FSIM_RDS_2023","Dillon, G.K., et al. Spatial datasets of probabilistic wildfire risk components for the conterminous United States, 3rd edition. USDA Forest Service Research Data Archive RDS-2016-0034-3, 2023.","official hazard dataset and metadata","2026-07-09","https://doi.org/10.2737/RDS-2016-0034-3","https://www.fs.usda.gov/rds/archive/products/RDS-2016-0034-3/_metadata_RDS-2016-0034-3.html","270 m burn probability and six conditional flame-length probability bins","source-native FIL/FLP semantics; conditional-on-burning interpretation and imputed-cell rules; end-2020 landscape/product caveats; 20,000–100,000 iterations (potential annual weather scenarios) depending on pyrome; 1/3/5-hour active periods as daily simulation fire-growth windows","equipment heat flux, equipment exposure duration, ember dose, component damage, continuous FLI midpoint reconstruction","x-axis definition / hazard contract","T2_public_lab_standard_or_physics","RETAINED"
"FINNEY_2011_FSIM","Finney, M.A., et al. A simulation of probabilistic wildfire risk components for the continental United States. Stochastic Environmental Research and Risk Assessment 25, 973–1000 (2011).","peer-reviewed primary hazard-model paper","2026-07-09","https://doi.org/10.1007/s00477-011-0462-z","https://research.fs.usda.gov/download/treesearch/39312.pdf","burn probability and conditional flame-length distributions","FSim architecture, simulated annual scenarios, conditional intensity distributions","asset exposure or solar damage","hazard-model context","T2_public_lab_standard_or_physics","RETAINED_SUPPORTING"
"USFS_FARSITE_1998","Finney, M.A. FARSITE: Fire Area Simulator—Model Development and Evaluation. USDA Forest Service RMRS-RP-4, 1998.","official fire-behavior model report","2026-07-09","https://www.fs.usda.gov/rm/pubs/rmrs_rp004.pdf","","fireline intensity I = h·w·R, kW/m","fireline-intensity definition and dependence on heat content, consumed fuel, and rate of spread","a unique local heat-flux/time state for equipment","axis physics / converter rejection","T2_public_lab_standard_or_physics","RETAINED"
"WANG_2025_PV_THERMAL","Wang, Y.; Xiao, C.; Bedon, C. Performance of photovoltaic panels with different inclinations under uniform thermal loading. International Journal of Thermal Sciences 208 (2025) 109489.","peer-reviewed primary laboratory study","2026-07-09","https://doi.org/10.1016/j.ijthermalsci.2024.109489","https://arts.units.it/handle/11368/3096982","incident radiant heat flux kW/m², inclination degrees, failure time, temperature difference °C","15 four-edge-shielded 300 × 300 × 4.7 mm specimens; glass fracture/pyrolysis; primarily 8–15 kW/m² and 61–84 °C reported tolerance ranges; inclination sensitivity","universal PV threshold, modern utility-module population fragility, FIL ordinate, replacement-cost ratio","component mechanism / future flux-time constraint","T2_public_lab_standard_or_physics","RETAINED_WITH_TRANSFER_LIMIT"
"YANG_2015_PV_IGNITION","Yang, H.-Y.; Zhou, X.-D.; Yang, L.-Z.; Zhang, T.-L. Experimental Studies on the Flammability and Fire Hazards of Photovoltaic Modules. Materials 8(7), 4210–4225 (2015).","peer-reviewed primary laboratory study","2026-07-09","https://doi.org/10.3390/ma8074210","https://www.mdpi.com/1996-1944/8/7/4210","incident radiant heat flux kW/m² and sustained-flame ignition time s","tested small 2014 poly-Si module specimens; empirical ignition CHF 26 kW/m²; ignition times 913/636/218/133/83 s at 28/30/35/40/45 kW/m²","first functional damage, EVA-only threshold, full-size/modern BOM fragility, economic DR, FIL conversion","component ignition constraint","T2_public_lab_standard_or_physics","RETAINED_WITH_TRANSFER_LIMIT"
"ZHANG_2022_XLPE","Zhang, H.; Yao, J.; Zhu, H.; Wang, X. Study on Combustion Characteristics of Cable Based on Cone Calorimeter. Energies 15(5), 1904 (2022).","peer-reviewed primary laboratory study","2026-07-09","https://doi.org/10.3390/en15051904","https://www.mdpi.com/1996-1073/15/5/1904","incident radiant heat flux kW/m² and sustained-flame ignition time s","9 mm self-developed XLPE cable specimens; CHF 16.24 kW/m²; mean ignition times 83.5/25/13.3 s at 20/30/40 kW/m²","all PV cable types, installed cable systems, buried/conduit response, collection-bucket or economic DR","cable-material ignition constraint","T2_public_lab_standard_or_physics","RETAINED_WITH_TRANSFER_LIMIT"
"ZHAO_2026_PV_POOL_FIRE","Zhao, J.; Zhang, S.; Li, X.; Kong, X.; Zhao, L.; Shen, J. Experimental Investigation of Thermal Response of Single-Glass Photovoltaic Modules with Different Inclination Angles. Fire 9(2), 62 (2026).","peer-reviewed primary laboratory study","2026-07-09","https://doi.org/10.3390/fire9020062","https://www.mdpi.com/2571-6255/9/2/62","full-size module, pool-fire exposure, tilt, glass integrity, temperature/time","front-glass integrity, flame-contact zone, and inclination materially affected burn-through and temperature response; cracked modules burned faster; tested response peaked at 15°","wildfire population fragility, replacement-cost ratio, universal stow credit","selector/conditioner direction and zonal exposure architecture","T2_public_lab_standard_or_physics","RETAINED_MECHANISM_ONLY"
"DOE_FEMP_PV_WILDFIRE","U.S. Department of Energy, Federal Energy Management Program. Solar Photovoltaic Hardening for Resilience – Wildfire.","official PV-specific guidance","2026-07-09","https://www.energy.gov/cmei/femp/solar-photovoltaic-hardening-resilience-wildfire","","qualitative design, O&M, access, inspection, and material context","vegetation management, undergrounding where practical, fire-resistant containers, access planning, noncombustible barriers, post-fire imaging","universal mitigation coefficient, fire-rating-to-DR conversion, component fragility or FIL mapping","site-field design / mechanism / inspection","T2_public_lab_standard_or_physics","RETAINED_QUALITATIVE"
"NIST_TN_1796","Maranghides, A., et al. A Case Study of a Community Affected by the Witch and Guejito Fires: Report #2—Evaluating the Effects of Hazard Mitigation Actions on Structure Ignitions. NIST TN 1796 (2013).","official post-fire primary case study","2026-07-09","https://doi.org/10.6028/NIST.TN.1796","https://nvlpubs.nist.gov/nistpubs/TechnicalNotes/NIST.TN.1796.pdf","fire and ember assault in space and time; residential structure response","exposure/vulnerability separation; importance of exposure state; need to quantify fire and ember exposure over time","solar mitigation coefficient or component DR","architecture / field-study protocol","T2_public_lab_standard_or_physics","RETAINED_WITH_RESIDENTIAL_TRANSFER_LIMIT"
"NIST_TN_2228","Butler, K., et al. Wind-Driven Fire Spread to a Structure from Fences and Mulch. NIST TN 2228 (2022).","official primary field-experiment report","2026-07-09","https://doi.org/10.6028/NIST.TN.2228","https://www.nist.gov/publications/wind-driven-fire-spread-structure-fences-and-mulch","fence/mulch configuration, 6–14 m/s wind, fire spread, firebrands","187 tests; combustible fences can act as conduits; combinations can increase hazard disproportionately; parallel fences and mulch matter; noncombustible fences still require debris control","solar-specific multiplier, radiant shield credit, wall effectiveness coefficient","fence/fuel pathway","T2_public_lab_standard_or_physics","RETAINED_WITH_TRANSFER_LIMIT"
"NIST_TN_2205","Maranghides, A., et al. WUI Structure/Parcel/Community Fire Hazard Mitigation Methodology. NIST TN 2205 (2022).","official WUI methodology","2026-07-09","https://doi.org/10.6028/NIST.TN.2205","","radiant, convective, ember, structure/parcel/community relationships","joint spatial treatment of exposures, fuels, and hardening variables","solar DR or numeric site credit","site-adapter architecture","T2_public_lab_standard_or_physics","RETAINED_WITH_RESIDENTIAL_TRANSFER_LIMIT"
