value_source_id,source_location,row_or_bucket_id,row_or_bucket_label,value,unit,financial_class,failure_unit_id,role_in_loss,include_in_direct_denominator,allocation_rule,double_count_guardrail,status,notes
"NREL_CWER_2024","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!2","WIND_VALUE_002_BLADE","Blades","282","2023_USD_per_kW","direct_hardware","WT_TURBINE_EQUIPMENT_ASSEMBLY","direct_vulnerable_value","true","Included in DS2 rotor replacement and DS3 total equipment replacement; three-blade state consequence is value-based.","Do not add an independent blade DR to the assembly state.","mapped","Direct CWER component row."
"NREL_CWER_2024","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!3","WIND_VALUE_003_PITCH","Pitch assembly","13","2023_USD_per_kW","direct_hardware","WT_TURBINE_EQUIPMENT_ASSEMBLY","direct_vulnerable_value","true","Used as the transparent DS1 control/pitch repair proxy and included in higher states.","Pitch availability is also a conditioner; do not reduce exposure or value a second time.","mapped","CWER reports within rotor module."
"NREL_CWER_2024","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!4","WIND_VALUE_004_HUB","Hub assembly","42","2023_USD_per_kW","direct_hardware","WT_TURBINE_EQUIPMENT_ASSEMBLY","direct_vulnerable_value","true","Included in DS2 rotor replacement and DS3 total equipment replacement.","No separate hub fragility in the assembly curve.","mapped","Direct CWER component row."
"NREL_CWER_2024","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!5","WIND_VALUE_005_NACELLE_STRUCTURE","Nacelle structural assembly","76","2023_USD_per_kW","direct_hardware","WT_TURBINE_EQUIPMENT_ASSEMBLY","direct_vulnerable_value","true","Included only in terminal total-equipment state in v2 screening; direct subterminal nacelle DR is withheld.","Do not infer a nacelle curve from tower/rotor state.","mapped_with_withheld_substate","Direct CWER component row."
"NREL_CWER_2024","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!6","WIND_VALUE_006_DRIVETRAIN","Drivetrain assembly","236","2023_USD_per_kW","direct_hardware","WT_TURBINE_EQUIPMENT_ASSEMBLY","direct_vulnerable_value","true","Included only in terminal total-equipment state in v2 screening; direct subterminal drivetrain DR is withheld.","Do not treat grid loss or rotor load as automatic drivetrain replacement.","mapped_with_withheld_substate","Gearbox and generator remain a public rollup."
"NREL_CWER_2024","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!7","WIND_VALUE_007_POWER_ELECTRONICS","Nacelle electrical assembly","137","2023_USD_per_kW","direct_hardware","WT_TURBINE_EQUIPMENT_ASSEMBLY","direct_vulnerable_value","true","Included only in terminal total-equipment state; direct physical acceleration/electrical DR is withheld.","Grid outage/curtailment is not destruction and receives no DR.","mapped_with_withheld_substate","CWER nacelle electrical assembly."
"NREL_CWER_2024","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!8","WIND_VALUE_008_YAW","Yaw assembly","28","2023_USD_per_kW","direct_hardware","WT_TURBINE_EQUIPMENT_ASSEMBLY","direct_vulnerable_value","true","Included only in terminal total-equipment state; yaw availability is a conditioner.","Do not count yaw impairment as both a conditioner shift and a separate default loss.","mapped_with_withheld_substate","Direct CWER component row."
"NREL_CWER_2024","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!9","WIND_VALUE_009_TOWER","Tower module","276","2023_USD_per_kW","direct_hardware","WT_TURBINE_EQUIPMENT_ASSEMBLY","direct_vulnerable_value","true","Terminal collapse makes the turbine-equipment state DS3; no independent tower sum.","Tower collapse already carries consequential equipment replacement once.","mapped","Direct CWER subsystem row."
"NREL_CWER_2024","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!10","WIND_VALUE_010_FOUNDATION","Foundation","120","2023_USD_per_kW","direct_hardware","WT_FOUNDATION","direct_vulnerable_value","false","Separate failure unit; v2 numeric DR withheld pending geotechnical/foundation evidence and post-collapse disposition.","Never assume terminal equipment loss automatically replaces the foundation.","withheld","Plant row allocated by capacity in source ledger."
"NREL_CWER_2024","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!11","WIND_VALUE_011_CIVIL","Site access, staging, and facilities","47","2023_USD_per_kW","mixed_civil","WT_CIVIL_INFRA","split_required","false","Split road, staging, building and facility assets with area/point-specific exposure before damage modeling.","Do not scale by exposed turbine fraction or turbine DR.","withheld","Mixed plant-level physical rollup."
"NREL_CWER_2024","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!12","WIND_VALUE_012_ELECTRICAL","Electrical infrastructure","72","2023_USD_per_kW","mixed_direct_hardware","WT_EXTERNAL_ELECTRICAL","split_required","false","Split collection-line and substation-point assets; v2 numeric DR withheld.","Do not apply one tornado/convective turbine footprint to cables and substation.","withheld","CWER does not split collection versus substation."
"NREL_CWER_2024","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!13","WIND_VALUE_013_FIELDWORK","Assembly and installation","100","2023_USD_per_kW","support_logistics","SUPPORT_FIELDWORK","support_once","false","Allocate once to damaged units using a site/claims rule after direct states are evaluated.","No independent fragility and no automatic linear multiplication inside DR.","mapped_support_rule_open","Recurring replacement cost but not owned hardware."
"NREL_CWER_2024","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!14","WIND_VALUE_014_TRANSPORT","Wind turbine transport","194","2023_USD_per_kW","support_logistics","SUPPORT_TRANSPORT_LOGISTICS","support_once","false","Allocate once when replacement scope requires transport; site distance/crane/logistics override reference.","Do not include in turbine denominator and then add again downstream.","mapped_support_rule_open","Included in physical reference because it recurs on major replacement."
"NREL_CWER_2024","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!15","WIND_VALUE_015_ENGINEERING_DEVELOPMENT","Engineering and development","36","2023_USD_per_kW","excluded_soft_sunk_nonphysical","OUTSIDE_PHYSICAL_CELL","excluded","false","Excluded from physical destruction reference by default.","Never reintroduce through state or support scaling without an explicit insured-value override.","excluded","Source soft-cost row."
"NREL_CWER_2024","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!16","WIND_VALUE_016_PROJECT_MANAGEMENT","Project management","14","2023_USD_per_kW","excluded_soft_sunk_nonphysical","OUTSIDE_PHYSICAL_CELL","excluded","false","Excluded from physical destruction reference by default.","Never reintroduce through state or support scaling without an explicit insured-value override.","excluded","Source soft-cost row."
"NREL_CWER_2024","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!17","WIND_VALUE_017_FINANCE","Construction finance","111","2023_USD_per_kW","excluded_soft_sunk_nonphysical","OUTSIDE_PHYSICAL_CELL","excluded","false","Excluded from physical destruction reference.","Financial cost is not physical repair value.","excluded","Source soft-cost row."
"NREL_CWER_2024","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!18","WIND_VALUE_018_CONTINGENCY","Contingency","54","2023_USD_per_kW","excluded_soft_sunk_nonphysical","OUTSIDE_PHYSICAL_CELL","excluded","false","Excluded from physical destruction reference; any claim contingency belongs to explicit downstream valuation.","Do not use as curve uncertainty or add to support automatically.","excluded","CWER contingency includes insurance, permitting, bonding and markup."
"NREL_CWER_2024","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!19","WIND_VALUE_019_WARRANTY","Wind turbine warranty","130","2023_USD_per_kW","excluded_soft_sunk_nonphysical","OUTSIDE_PHYSICAL_CELL","excluded","false","Excluded from physical destruction reference.","Warranty value is not replacement damage.","excluded","Source soft-cost row."
"SUMMARY","Wind_Map!2:9","WT_TURBINE_EQUIPMENT_ASSEMBLY_TOTAL","Turbine equipment direct denominator","1090","2023_USD_per_kW","reconciliation","WT_TURBINE_EQUIPMENT_ASSEMBLY","direct_vulnerable_value","true","One repeated turbine-equipment assembly; physical-base share 0.671595810227973; installed share 0.553861788617886.","Apply exposure per turbine and never call either share an intrinsic DR cap.","mapped","Rotor 337 + nacelle 477 + tower 276 = 1090."
"SUMMARY","Wind_Map!10:12","WITHHELD_DIRECT_OTHER_TOTAL","Foundation + civil + external electrical","239","2023_USD_per_kW","reconciliation","MULTIPLE_WITHHELD_UNITS","split_required","false","Physical-base share 0.147258163894023; installed share 0.121443089430894.","Do not treat withheld as zero or inherit assembly DR.","withheld","Requires unit-specific curves and exposure."
"SUMMARY","Wind_Map!13:14","SUPPORT_TOTAL","Fieldwork + transport/logistics","294","2023_USD_per_kW","reconciliation","SUPPORT_ONCE","support_once","false","Physical-base share 0.181146025878004; installed share 0.149390243902439.","Allocate once only after direct damaged units are known.","mapped_support_rule_open","No default proportional rule is authorized."
"SUMMARY","Wind_Map!2:14","PHYSICAL_REFERENCE_TOTAL","Physical replaceable reference basis","1623","2023_USD_per_kW","reconciliation","REFERENCE_DENOMINATOR_ONLY","reference","false","1090 turbine equipment + 239 withheld direct other + 294 support = 1623.","No pooled physical-base DR may bypass unit/exposure/support rules.","reconciled","Physical-to-installed ratio 0.824695121951220."
"SUMMARY","Wind_Map!15:19","EXCLUDED_TOTAL","Sunk/soft/nonphysical excluded","345","2023_USD_per_kW","reconciliation","OUTSIDE_PHYSICAL_CELL","excluded","false","36 + 14 + 111 + 54 + 130 = 345.","Do not reintroduce by convenience TIV scaling.","reconciled","Installed 1968 = physical 1623 + excluded 345."
"SUMMARY","Wind_Map!2:19","INSTALLED_REFERENCE_TOTAL","Installed CAPEX reference basis","1968","2023_USD_per_kW","reconciliation","REFERENCE_REPORTING_DENOMINATOR","reference","false","Reference installed value for denominator conversion only.","No implicit value profile or full-TIV loss is published.","reconciled","200 MW reference equals 393.6 million 2023 USD installed."
