value_source_id,source_location,row_or_bucket_id,row_or_bucket_label,value,unit,financial_class,failure_unit_id,applicable_pathway_ids,role_in_loss,include_in_direct_denominator,allocation_rule,double_count_guardrail,status,notes
NLR_Q1_2025_UPV_PV_ONLY_2024_USD,docs/method/value_basis/solar_wind_value_breakdown.xlsx::Solar_Map!2,SOLAR_VALUE_002_MODULE,Module hardware + manufacturing allocation,291.21485143992487,2024_USD_per_kWdc,direct_hardware,PV_FIXED_TILT_MODULE_FIELD|PV_TRACKER_MODULE_FIELD,tropical_cyclone_wind,included_screening_direct_or_civil,true,Multiply the named row value by its v2.1 same-unit screening DR once.,"Never charge both architectures, reuse a neighboring-pathway DR, or charge module replacement again through a future terminal-structure rule.",included_v2_1_screening_reference,Exact Q1-2025 reference row reused from strong_wind_solar; TCWS-S013 is the cell source-register cross-reference. Benchmark is not an implicit site default or cap.
NLR_Q1_2025_UPV_PV_ONLY_2024_USD,docs/method/value_basis/solar_wind_value_breakdown.xlsx::Solar_Map!3,SOLAR_VALUE_003_MOUNTING,Tracker/racking hardware,109.98972602739727,2024_USD_per_kWdc,direct_hardware,PV_FIXED_TILT_SUPPORT_STRUCTURE|PV_TRACKER_SBOS_ASSEMBLY,tropical_cyclone_wind,included_screening_direct_or_civil,true,Multiply the named row value by its v2.1 same-unit screening DR once.,"Do not split torque tube, drive, rails, piles, and foundations beyond source support; do not sum fixed and tracker units or inherit strong-wind curves.",included_v2_1_screening_reference,"Architecture-generic reference row; v2 synthetic DR records exist, but this benchmark is not a runtime value binding or composition proof."
NLR_Q1_2025_UPV_PV_ONLY_2024_USD,docs/method/value_basis/solar_wind_value_breakdown.xlsx::Solar_Map!4,SOLAR_VALUE_004_FOUNDATION,Driven piers + inverter pad,31.12448715327472,2024_USD_per_kWdc,direct_hardware,PV_FOUNDATION,tropical_cyclone_wind,included_screening_direct_or_civil,true,Multiply the named row value by its v2.1 same-unit screening DR once.,"Never inherit module/support DR or include surge, flood, or scour in this pathway.",included_v2_1_screening_reference,Mixed foundation bucket; absence of a curve is not zero damage.
NLR_Q1_2025_UPV_PV_ONLY_2024_USD,docs/method/value_basis/solar_wind_value_breakdown.xlsx::Solar_Map!5,SOLAR_VALUE_005_INVERTER,Central inverter hardware,32.306366410372384,2024_USD_per_kWdc,direct_hardware,PV_POWER_CONVERSION_AND_COLLECTION,tropical_cyclone_wind,included_screening_direct_or_civil,true,Multiply the named row value by its v2.1 same-unit screening DR once.,Do not apply array pressure DR or array exposed fraction.,included_v2_1_screening_reference,No qualified direct TC-wind inverter curve.
NLR_Q1_2025_UPV_PV_ONLY_2024_USD,docs/method/value_basis/solar_wind_value_breakdown.xlsx::Solar_Map!6,SOLAR_VALUE_006_COMBINER,Combiner boxes,6.82625,2024_USD_per_kWdc,direct_hardware,PV_POWER_CONVERSION_AND_COLLECTION,tropical_cyclone_wind,included_screening_direct_or_civil,true,Multiply the named row value by its v2.1 same-unit screening DR once.,"Do not pool with inverter, cable, GSU, or module response; debris and ingress are excluded pathways.",included_v2_1_screening_reference,No qualified direct aerodynamic curve.
NLR_Q1_2025_UPV_PV_ONLY_2024_USD,docs/method/value_basis/solar_wind_value_breakdown.xlsx::Solar_Map!7,SOLAR_VALUE_007_CABLE,AC and DC conductors and project electrical line,69.3201119402985,2024_USD_per_kWdc,direct_hardware,PV_POWER_CONVERSION_AND_COLLECTION,tropical_cyclone_wind,included_screening_direct_or_civil,true,Multiply the named row value by its v2.1 same-unit screening DR once.,Do not reuse array-zone or GSU point exposure.,included_v2_1_screening_reference,Mixed line-asset value; no qualified TC-wind curve.
NLR_Q1_2025_UPV_PV_ONLY_2024_USD,docs/method/value_basis/solar_wind_value_breakdown.xlsx::Solar_Map!8,SOLAR_VALUE_008_MV,"Transformer, switches, breakers and substation",106.50466417910448,2024_USD_per_kWdc,direct_hardware,PV_GSU_SUBSTATION,tropical_cyclone_wind,included_screening_direct_or_civil,true,Multiply the named row value by its v2.1 same-unit screening DR once.,"Reuse only asset-neutral GSU identity/value governance; never apply array exposure or inherit flood, solar-array wind, or wind-farm numerical response.",included_v2_1_screening_reference,Explicit GSU-substation candidate; shared anatomy does not provide a TC-wind curve.
NLR_Q1_2025_UPV_PV_ONLY_2024_USD,docs/method/value_basis/solar_wind_value_breakdown.xlsx::Solar_Map!9,SOLAR_VALUE_009_GROUNDING,Grounding and lightning protection,8.385,2024_USD_per_kWdc,direct_hardware,PV_POWER_CONVERSION_AND_COLLECTION,tropical_cyclone_wind,included_screening_direct_or_civil,true,Multiply the named row value by its v2.1 same-unit screening DR once.,Do not inherit array wind response; lightning is a separate pathway.,included_v2_1_screening_reference,Mixed grounding/lightning row.
NLR_Q1_2025_UPV_PV_ONLY_2024_USD,docs/method/value_basis/solar_wind_value_breakdown.xlsx::Solar_Map!10,SOLAR_VALUE_010_SCADA,System monitor,1.31,2024_USD_per_kWdc,direct_hardware,PV_SCADA_COMMUNICATIONS,tropical_cyclone_wind,included_screening_direct_or_civil,true,Multiply the named row value by its v2.1 same-unit screening DR once.,Tracker control state may condition demand but is not a duplicate SCADA physical loss by default.,included_v2_1_screening_reference,No qualified direct TC-wind SCADA curve.
NLR_Q1_2025_UPV_PV_ONLY_2024_USD,docs/method/value_basis/solar_wind_value_breakdown.xlsx::Solar_Map!11,SOLAR_VALUE_011_NETWORK,Grid network upgrade,0.0,2024_USD_per_kWdc,excluded_nonphysical,OUTSIDE_PHYSICAL_CELL,tropical_cyclone_wind,excluded,false,Exclude.,Never reintroduce through physical loss or support scaling.,excluded,Zero reference row.
