parameter,pathway_id,curve_id,value,param_role,tier,source_ids,reasoning,status,update_trigger
"runtime_curve_count","all_wildfire","none","0","capability","T4_placeholder_or_expert_judgment","GOVERNANCE_CONTRACT;BOUNDED_SEARCH_LOG","No exogenous wildfire demand-to-economic-response chain passed.","adopt","Reviewed model v1.0 release."
"canonical_runtime_artifact","all_wildfire","none","false","release_state","T4_placeholder_or_expert_judgment","GOVERNANCE_CONTRACT","Research/review package only; no runtime publication or consumer cutover.","adopt","Explicit release and Hazard migration."
"thermal_pathway_id","wildfire_thermal_attack","none","wildfire_thermal_attack","pathway_identity","T4_placeholder_or_expert_judgment","GOVERNANCE_CONTRACT;WW-S003;WW-S004","Radiant, convective, and flame-contact attack remain one explicitly named pathway.","adopt","Governed pathway redesign."
"firebrand_pathway_id","wildfire_firebrand_ignition","none","wildfire_firebrand_ignition","pathway_identity","T4_placeholder_or_expert_judgment","GOVERNANCE_CONTRACT;WW-S005;WW-S006","Particle deposition/ingress/ignition has distinct demand variables.","adopt","Governed pathway redesign."
"residue_pathway_id","wildfire_residue_destructive_contamination","none","wildfire_residue_destructive_contamination","pathway_identity","T4_placeholder_or_expert_judgment","GOVERNANCE_CONTRACT;WW-S010","Only destructive inspected contamination remains in physical scope.","adopt","Governed pathway redesign."
"fire_origin","all_wildfire","none","exogenous_wildfire_required","scope_selector","T4_placeholder_or_expert_judgment","GOVERNANCE_CONTRACT;WW-S008;WW-S016","Endogenous/internal fires cannot silently calibrate external wildfire attack.","adopt","Exact post-ignition transfer study passes."
"event_family_id_required","all_wildfire","none","true","compound_event_control","T4_placeholder_or_expert_judgment","GOVERNANCE_CONTRACT","One event family is required to reconcile pathways and overlapping dispositions.","adopt","Consumer contract changes."
"FSim_burn_probability","all_wildfire","none","capture_separately","source_hazard_field","T2_public_lab_standard_or_physics","WW-S001","Frequency-like burn probability remains upstream/downstream hazard context, not damage response.","capture_only","FSim semantics change."
"FSim_conditional_flame_length_classes","all_wildfire","none","six_source_native_classes_no_midpoints","source_hazard_field","T2_public_lab_standard_or_physics","WW-S001","Preserve source classes without invented midpoints.","capture_only","FSim product changes."
"FSim_frequency_ownership","all_wildfire","none","downstream_hazard_consumer","boundary_rule","T4_placeholder_or_expert_judgment","GOVERNANCE_CONTRACT;WW-S001","This cell owns intensity-to-damage response, not wildfire frequency.","adopt","Repository contract changes."
"fireline_intensity_direct_flux_converter","wildfire_thermal_attack","none","prohibited","axis_guardrail","T2_public_lab_standard_or_physics","WW-S002;WW-S003;WW-S004","kW/m landscape intensity is not kW/m2 delivered target flux.","adopt","Validated local-attack bridge qualifies."
