claim_id,pathway_id,claim_text,claim_type,source_ids,exact_locator,evidence_tier,parameter_or_rule,adoption_status,permitted_inference,prohibited_inference,reasoning,update_trigger
"WW-C001","all_wildfire","This cell is limited to exogenous wildfire attack on wind-farm equipment; equipment-origin, electrical, lightning, maintenance, and other endogenous fires are not substitute calibration cases.","governance_decision","GOVERNANCE_CONTRACT;WW-S008;WW-S016","cell boundary; incident-source limits","T4_placeholder_or_expert_judgment","fire_origin=exogenous_wildfire","adopt","Use internal-fire evidence only for anatomy, propagation, and post-ignition disposition context.","Estimate external-wildfire ignition probability or DR from endogenous fire incidents.","Cause, delivered load, population, and initiating location differ even when later damage zones overlap.","A reviewed transfer study proves exact equivalence for a named post-ignition state."
"WW-C002","all_wildfire","Thermal attack, firebrand ignition, and destructive residue contamination are separate pathways and must not silently share one response.","governance_decision","WW-S003;WW-S005;WW-S006;WW-S010;GOVERNANCE_CONTRACT","pathway and endpoint records","T4_placeholder_or_expert_judgment","three_exact_pathway_ids","adopt","Preserve one event family while modeling each causal pathway separately.","Collapse radiation, convection, flame contact, firebrand ingress, and residue into one generic wildfire severity curve.","The demand variables, target interactions, and evidence endpoints differ.","A governed pathway redesign with demonstrated equivalence passes review."
"WW-C003","all_wildfire","FSim burn probability and six conditional flame-length probability classes are source-hazard fields at 270 m support.","direct_observation","WW-S001","metadata identification and conditional FLP attributes","T2_public_lab_standard_or_physics","FSim_source_semantics","adopt","Capture exact product/version, spatial support, burn probability, and the six conditional classes.","Create unreported class midpoints or treat the fields as equipment load, exposure fraction, or damage probability.","Source-native hazard semantics must survive before any asset bridge.","USFS changes the product definition or a new governed product is adopted."
"WW-C004","wildfire_thermal_attack","Fireline intensity in kW/m and FSim flame-length classes are not delivered equipment heat flux in kW/m2.","source_interpretation","WW-S001;WW-S002;WW-S003;WW-S004","FSim attributes; FARSITE definition; field-heating results","T2_public_lab_standard_or_physics","landscape_to_local_attack_guardrail","adopt","Use these fields as upstream fire-behavior inputs to a separately validated local-attack bridge.","Apply a fixed-distance scalar, height attenuation, or direct curve lookup to equipment.","Landscape propagation quantities omit target geometry, distance, view, shielding, flame contact, gas state, and time history.","A versioned bridge with validation, uncertainty, and KATs passes."
"WW-C005","wildfire_thermal_attack","Delivered thermal attack requires time-resolved radiant and convective heating, duration, and where relevant direct flame contact and gas state.","source_interpretation","WW-S003;WW-S004","methods and time-resolved field-heating results","T2_public_lab_standard_or_physics","thermal_attack_history","adopt","Define future local demand as explicit radiation, convection, flame-contact, duration, temperature, and velocity fields.","Represent all thermal attacks by one peak or universal attenuation factor.","Short peaks and sustained heating can differ materially and are fuel/environment dependent.","A validated reduced-order demand object proves sufficiency."
"WW-C006","wildfire_firebrand_ignition","Firebrand attack requires particle size or mass, combustion state, flux or count, deposition or accumulation, ingress, substrate/contact, wind, and time.","source_interpretation","WW-S005;WW-S006","individual-firebrand and pile thermal-footprint experiments","T2_public_lab_standard_or_physics","firebrand_attack_history","adopt","Specify a future deposition/ingress/contact history at the receiving equipment zone.","Use flame length, one particle peak flux, or generic ember presence as ignition probability or DR.","Individual and accumulated firebrands have distinct load variables and do not establish target-equipment response.","A target-equipment bridge and population response qualify."
"WW-C007","wildfire_residue_destructive_contamination","Residue belongs in this physical-destruction cell only when it causes an inspected conductive, corrosive, or otherwise destructive equipment disposition.","source_interpretation","WW-S010;GOVERNANCE_CONTRACT","NEMA sections 1, 3, and 4; physical-destruction boundary","T2_public_lab_standard_or_physics","residue_endpoint_boundary","adopt_with_limits","Capture residue composition, dose, wetness/conductivity, penetration, corrosion, and inspected disposition.","Treat smoke presence, soot, odor, generic ash fouling, cleaning, derating, or downtime as physical DR.","The repository ordinate is direct repair/replacement cost for physical destruction, not disruption or ordinary cleaning.","A source-backed destructive residue state/cost chain is reviewed."
"WW-C008","wildfire_thermal_attack","Blade-material tests establish combustible-matrix mechanisms and relevant flux/time/selectors but not full-blade economic vulnerability.","direct_observation","WW-S007","specimen description; 15-75 kW/m2 cone-calorimeter methods/results","T2_public_lab_standard_or_physics","blade_material_mechanism","retain_candidate_only","Use resin/construction, incident flux, duration, and specimen endpoint to design future tests.","Transfer specimen ignition, heat release, or smoke results to full-blade state probabilities, structural disposition, or cost.","Specimen scale, loading protocol, field attack, structural assembly, and economic endpoint are unmatched.","Representative full-scale or validated scaling plus disposition/cost evidence passes."
"WW-C009","all_wildfire","Wind turbines contain physically distinct rotor, nacelle, tower, base, cable/power-takeoff, and protection zones whose fire damage can propagate dependently.","source_interpretation","WW-S008;WW-S016","technical-assessment anatomy and named post-fire component disposition","T3_engineering_proxy_or_adjacent_empirical","turbine_zone_dependency","adopt_with_limits","Use zone observations to define one dependency-safe turbine assembly state system.","Assign independent additive terminal losses to overlapping blade, nacelle, and upper-tower scopes.","Ignition in one zone can produce overlapping downstream repair/replacement scopes.","A finer source-backed denominator and mutually exclusive state system is approved."
"WW-C010","all_wildfire","Internal/lightning/electrical wind-turbine fires are adjacent disposition evidence, not exogenous-wildfire calibration.","source_interpretation","WW-S008;WW-S016","incident tables and operator event summary","T3_engineering_proxy_or_adjacent_empirical","endogenous_fire_transfer_guardrail","adopt","Use named damaged components and propagation sequences as pressure-test context.","Infer external attack, ignition probability, event severity, or representative cost.","The initiating cause and delivered load are absent or different.","A causal transfer study establishes a common post-ignition state conditional on the same local state."
"WW-C011","all_wildfire","A site-specific onshore assessment confirms external bushfire materiality for turbines and ancillary electrical facilities while explicitly leaving equipment impact unresolved.","direct_observation","WW-S009","report sections 2.8-2.10 and 3.2-3.4","T3_engineering_proxy_or_adjacent_empirical","onshore_materiality_and_unknown_response","adopt_with_limits","Retain onshore spatial subjects, flame/radiant/debris fields, controls, and the explicit unknown endpoint.","Infer a numerical loss, representative exposure fraction, or survival credit.","The closest direct onshore source does not supply response or cost.","A matched onshore event/inspection/cost record is captured."
"WW-C012","all_wildfire","AFAC, CFA, and FM guidance identify site planning, access, water, vegetation, separation, shutdown, containment, and protection fields but do not quantify universal damage credits.","source_interpretation","WW-S011;WW-S012;WW-S013","planning, preparedness, vegetation, containment, and protection sections","T2_public_lab_standard_or_physics","site_control_field_catalog","adopt_with_limits","Capture exact jurisdiction, edition, design, installed state, maintenance, availability, and event evidence.","Apply compliance, clearance, water, access, or protection as a generic DR multiplier or proof of survival.","Guidance establishes auditable controls, not population efficacy under wildfire attack.","Matched loss data or controlled tests quantify a named control and validity domain."
"WW-C013","all_wildfire","DNV fire-protection certification is an applicability selector and evidence field, not a wildfire efficacy coefficient.","source_interpretation","WW-S014","public certification scope","T2_public_lab_standard_or_physics","fire_protection_certification_selector","adopt_with_limits","Capture system identity, certificate/edition, installed/available/maintained state, and protected zones.","Assume suppression success, automatic loss reduction, or equivalence across systems.","Certification scope does not provide wildfire-conditioned response probability.","Product/system-specific wildfire efficacy evidence qualifies."
"WW-C014","wildfire_thermal_attack","NEMA guidance supports post-fire evaluate, replace, or recondition disposition labels for electrical equipment, not pre-event fragility or cost.","source_interpretation","WW-S010","sections 1 and 4.1-4.13","T2_public_lab_standard_or_physics","electrical_disposition_vocabulary","adopt_with_limits","Design inspected switchgear, transformer, cable, electronics, battery, and residue states.","Assign disposition probability, attack threshold, repair ratio, or cost from the guidance.","A disposition protocol is not a hazard-conditioned curve.","Matched wildfire inspections and same-unit invoices become available."
