comparison_id,input_basis,failure_unit_id,prior_model_output,v2_output,delta,comparability,reason
PERRY_17.4,perry_event_max_gust_mps=17.4,PV_PERRY_GROUND_FIXED_VISIBLE_MODULE_HARDWARE_SOURCE_UNIT,0,0,0,exact_compatibility,v2 carries the v1 source record byte-for-value
PERRY_30.0,perry_event_max_gust_mps=30.0,PV_PERRY_GROUND_FIXED_VISIBLE_MODULE_HARDWARE_SOURCE_UNIT,0.00409264665710526,0.00409264665710526,0,exact_compatibility,v2 carries the v1 source record byte-for-value
PERRY_39.1,perry_event_max_gust_mps=39.1,PV_PERRY_GROUND_FIXED_VISIBLE_MODULE_HARDWARE_SOURCE_UNIT,0.0182729376325,0.0182729376325,0,exact_compatibility,v2 carries the v1 source record byte-for-value
fixed_tilt_ground_mount_tc_synthetic_t4_v1_0.5,normalized_demand=0.5,PV_FIXED_TILT_MODULE_FIELD,null_or_unmappable,0.00391975760182724,not_computed,different_axis_and_denominator,v1 has no generic architecture record on this axis
fixed_tilt_ground_mount_tc_synthetic_t4_v1_1.0,normalized_demand=1.0,PV_FIXED_TILT_MODULE_FIELD,null_or_unmappable,0.135425269181499,not_computed,different_axis_and_denominator,v1 has no generic architecture record on this axis
fixed_tilt_ground_mount_tc_synthetic_t4_v1_1.5,normalized_demand=1.5,PV_FIXED_TILT_MODULE_FIELD,null_or_unmappable,0.507918225417826,not_computed,different_axis_and_denominator,v1 has no generic architecture record on this axis
single_axis_tracker_tc_qualified_synthetic_t4_v1_0.5,normalized_demand=0.5,PV_TRACKER_MODULE_FIELD,null_or_unmappable,0.00106122732929064,not_computed,different_axis_and_denominator,v1 has no generic architecture record on this axis
single_axis_tracker_tc_qualified_synthetic_t4_v1_1.0,normalized_demand=1.0,PV_TRACKER_MODULE_FIELD,null_or_unmappable,0.156905585088873,not_computed,different_axis_and_denominator,v1 has no generic architecture record on this axis
single_axis_tracker_tc_qualified_synthetic_t4_v1_1.5,normalized_demand=1.5,PV_TRACKER_MODULE_FIELD,null_or_unmappable,0.634306724684044,not_computed,different_axis_and_denominator,v1 has no generic architecture record on this axis
GSU_NULL_REMAINS_NULL,any,PV_GSU_SUBSTATION,null,null,0_status_change,status_only,v2 does not copy legacy or neighboring GSU response
LEGACY_ASSET_DR,legacy 3-second gust mph vs v2 failure-unit normalized demand,WHOLE_ASSET_VS_FAILURE_UNITS,legacy capped weighted asset DR,withheld full-plant DR,not_computed,incomparable,"legacy probability/DR type error, 42-percent zero remainder, stow default, and mismatched denominator"
