source_id,citation,url,accessed_on,exact_locator,source_type,source_role,pathway_ids,evidence_tier,target_asset_match,target_failure_unit_match,measured_or_modeled_endpoint,permitted_inference,prohibited_inference,decision,status,notes
"WW-S001","Dillon, G. K. et al. Spatial datasets of probabilistic wildfire risk components for the United States (270m), 3rd edition. USDA Forest Service Research Data Archive RDS-2016-0034-3 (2023).","https://www.fs.usda.gov/rds/archive/products/RDS-2016-0034-3/_metadata_RDS-2016-0034-3.html","2026-07-28","Identification abstract; conditional FLP attributes; data-quality and use-constraint sections","official hazard dataset and metadata","axis_semantics","all_wildfire","T2_public_lab_standard_or_physics","none","none","270 m burn probability and six conditional flame-length probability classes","Preserve burn probability separately from conditional flame-length classes and capture exact product/version/spatial support.","Infer equipment heat flux, duration, firebrand dose, class midpoint, damage probability, or economic DR.","adopt_with_limits","reviewed","Asset-neutral source-hazard semantics only."
"WW-S002","Finney, M. A. FARSITE: Fire Area Simulator—Model Development and Evaluation. USDA Forest Service RMRS-RP-4 (1998).","https://www.fs.usda.gov/rm/pubs/rmrs_rp004.pdf","2026-07-28","fireline-intensity definition and model-development sections","official fire-behavior model report","axis_boundary","wildfire_thermal_attack","T2_public_lab_standard_or_physics","none","none","Byram fireline intensity as heat release per unit fireline length","Distinguish landscape fireline intensity in kW/m from component incident heat flux in kW/m2.","Convert fireline intensity directly to equipment heat flux or damage with a fixed distance/scalar attenuation.","adopt_with_limits","reviewed","Source-variable definition; not a component-demand bridge."
"WW-S003","Frankman, D. et al. Measurements of convective and radiative heating in wildland fires. International Journal of Wildland Fire 22, 157-167 (2013). DOI 10.1071/WF11097.","https://research.fs.usda.gov/treesearch/42185","2026-07-28","abstract; methods; time-resolved heating results; conclusions","peer-reviewed primary field measurements","local_attack_physics","wildfire_thermal_attack","T2_public_lab_standard_or_physics","none","none","time-resolved irradiance and convective heating in 13 natural/prescribed fires","Require local radiant and convective histories and preserve fuel/environment dependence.","Create a universal FSim/flame-length-to-turbine converter, component response, or cost curve.","adopt_with_limits","reviewed","Direct fire physics; no wind-equipment endpoint."
"WW-S004","Butler, B. W. Characterization of convective heating in full scale wildland fires. Proceedings of the VI International Conference on Forest Fire Research (2010).","https://research.fs.usda.gov/treesearch/39348","2026-07-28","abstract; full-scale crown-fire heat-flux magnitude and duration results","official primary field measurements","local_attack_physics","wildfire_thermal_attack","T2_public_lab_standard_or_physics","none","none","gas temperature, velocity, short peak and longer sustained convective heating","Treat duration and gas state as load-bearing parts of delivered thermal attack.","Apply crown-fire sensor measurements directly to a turbine, transformer, cable, foundation, or economic ordinate.","adopt_with_limits","reviewed","Time-history design evidence only."
"WW-S005","Mensch, A.; Wessies, S.; Veley, E. Experimental Investigation of Factors Affecting Individual Firebrand Heat Transfer. Heat and Mass Transfer 148(8) (2026). DOI 10.1115/1.4071850.","https://www.nist.gov/publications/experimental-investigation-factors-affecting-individual-firebrand-heat-transfer","2026-07-28","abstract; measured peak heat flux/total heating; correlations and substrate discussion","NIST-hosted peer-reviewed primary experiment","firebrand_axis_physics","wildfire_firebrand_ignition","T2_public_lab_standard_or_physics","none","none","individual firebrand peak heat flux and total heating versus size/type/substrate/wind","Require firebrand size/type, combustion state, substrate, wind and contact history in a future bridge.","Match short local firebrand peak flux to sustained cone-calorimeter thresholds or infer equipment ignition/economic DR.","adopt_with_limits","reviewed","Firebrand demand variables; no target-equipment population."
"WW-S006","Abul-Huda, Y. M. Development of a Spatially Resolved Optical Technique for Measuring Heat Flux and Thermal Footprint of Firebrand Piles. NIST TN 2052 (2019). DOI 10.6028/NIST.TN.2052.","https://doi.org/10.6028/NIST.TN.2052","2026-07-28","abstract; measurement method; contact-area and thermal-footprint discussion","NIST technical note and primary experiment","firebrand_axis_physics","wildfire_firebrand_ignition","T2_public_lab_standard_or_physics","none","none","deposited firebrand-pile surface temperature, heat flux and spatial footprint","Treat deposition, accumulation, contact area and heat feedback as distinct firebrand-load fields.","Infer turbine ingress, ignition probability, damage state, cost, or a universal pile-to-equipment converter.","adopt_with_limits","reviewed","Supports pathway split and research protocol."
"WW-S007","Wang, N. et al. Thermal and non-thermal fire hazard characteristics of wind turbine blades. Journal of Thermal Analysis and Calorimetry 149, 10335-10351 (2024). DOI 10.1007/s10973-024-13462-4.","https://doi.org/10.1007/s10973-024-13462-4","2026-07-28","abstract; cone-calorimeter methods; specimen/material description; heat-release, ignition and smoke results","peer-reviewed primary laboratory study","component_mechanism","wildfire_thermal_attack","T2_public_lab_standard_or_physics","direct","partial","E-glass/UPR wind-blade specimens tested under 15-75 kW/m2 radiant flux","Support blade resin/construction, incident flux and time as selectors/test variables and establish combustible-matrix mechanism.","Transfer specimen ignition/pyrolysis to full-blade structural disposition, population fragility, wildfire attack probability, or economic DR.","adopt_with_limits","reviewed","Blade-material experiment, not full-turbine calibration."
"WW-S008","Bureau of Safety and Environmental Enforcement-hosted technical assessment. Renewable Energy Fire Protection Systems (2023 public copy).","https://www.bsee.gov/sites/bsee.gov/files/2023-08/799aa_0.pdf","2026-07-28","sections 2.2-2.4, report pp.34-51: incidents, turbine/substation anatomy, fuel loads and protection","government-hosted commissioned technical assessment","asset_anatomy_and_dependency","all_wildfire","T3_engineering_proxy_or_adjacent_empirical","partial","partial","wind-turbine/substation fire locations, combustible loads, internal propagation and selected dispositions","Define turbine component zones, dependency-safe states, tower/power-takeoff/GSU subjects and protection selectors.","Use internal/lightning/electrical fires to calibrate exogenous wildfire ignition probability, onshore vulnerability, damage ratio, or cost.","adopt_with_limits","reviewed","Report states its findings were not formally disseminated as BSEE policy; offshore/onshore transfer is limited."
"WW-S009","Eco Logical Australia. Uungula Wind Farm Bush Fire Risk Assessment, prepared for CWP Renewables (2020 planning record).","https://majorprojects.planningportal.nsw.gov.au/prweb/PRRestService/mp/01/getContent?AttachRef=SSD-6687%2120200520T070926.346+GMT","2026-07-28","sections 2.8-2.10 and 3.2-3.4, report pp.10-13","site-specific onshore wind risk assessment in government planning portal","site_fields_and_negative_evidence","all_wildfire","T3_engineering_proxy_or_adjacent_empirical","direct","partial","external bushfire scenarios, WTG/ESF/ancillary assets, flame/radiant/debris attack and control fields","Support onshore asset materiality, spatial subjects, fuel/APZ/access/emergency fields and the explicit statement that equipment impact is unknown.","Infer numerical damage, exposure fraction, universal clearance/APZ credit, or representative loss.","adopt_with_limits","reviewed","Most direct onshore external-bushfire source located; it does not close response/cost."
"WW-S010","National Electrical Manufacturers Association. NEMA GD 2-2016: Evaluating Fire- and Heat-Damaged Electrical Equipment.","https://www.nema.org/docs/default-source/standards-document-library/nema-gd-2-2016-evaluating-fire-and-heat-damaged-electrical-equipment-guide.pdf","2026-07-28","sections 1, 3 and 4.1-4.13","industry consensus guidance","disposition_endpoint","wildfire_thermal_attack|wildfire_residue_destructive_contamination","T2_public_lab_standard_or_physics","partial","partial","evaluate/replace/recondition guidance for switchgear, transformers, cable, electronics, batteries and fire residue","Define post-fire inspection/disposition labels and recognize physical conductive/corrosive residue effects.","Infer pre-event wildfire fragility, generic smoke-plume DR, attack threshold, repair probability, or cost.","adopt_with_limits","reviewed","Endpoint protocol only; OEM/qualified evaluation remains required."
