value_source_id,source_location,row_or_bucket_id,row_or_bucket_label,value,unit,financial_class,failure_unit_id,applicable_pathway_ids,role_in_loss,include_in_direct_denominator,allocation_rule,double_count_guardrail,status,notes
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!12",WIND_VALUE_012_ELECTRICAL,Electrical infrastructure,72,2023_USD_per_kW,mixed_direct_hardware,FW_ELECTRICAL_ROLLUP_UNSPLIT,flood_inundation_contact,split_required,false,"Split among turbine-base/pad/collection/substation components using site/OEM schedule before loss.","Do not add 9% electrical plus 9% substation or repeat one GSU per turbine.",withheld_split_required,"Reference rollup only."
NREL_CWER_2024,"Wind_Map!12",FW_VALUE_GSU_SWITCHGEAR,Substation switchgear,,site_USD_required,direct_hardware,FW_GSU_SWITCHGEAR,flood_inundation_contact,direct_vulnerable_value,false,"Site component value and ownership required.","Do not apply DR to full 72 USD/kW rollup or project TIV.",withheld_value_and_ownership,"No public split."
NREL_CWER_2024,"Wind_Map!12",FW_VALUE_GSU_TRANSFORMER_MAIN,Plant GSU main transformer,,site_USD_required,direct_hardware,FW_GSU_TRANSFORMER_MAIN,flood_inundation_contact,direct_vulnerable_value,false,"Site component value and ownership required.","Do not use control exposure against full transformer value without dependency-safe state.",withheld_value_and_ownership,"No public split."
NREL_CWER_2024,"Wind_Map!12",FW_VALUE_GSU_TRANSFORMER_AUX,GSU auxiliaries and controls,,site_USD_required,direct_hardware,FW_GSU_TRANSFORMER_AUX_CONTROLS,flood_inundation_contact,direct_vulnerable_value,false,"Separate SOV/BOM or dependency-safe assembly.","Do not duplicate value inside main transformer and auxiliaries.",withheld_value_and_ownership,"No public split."
NREL_CWER_2024,"Wind_Map!12",FW_VALUE_GSU_PROTECTION,Protection SCADA and control,,site_USD_required,direct_hardware,FW_GSU_PROTECTION_SCADA,flood_inundation_contact,direct_vulnerable_value,false,"Separate physical equipment value from outage consequence.","Do not convert MW outage to value or add plant BI.",withheld_value_and_ownership,"No public split."
NREL_CWER_2024,"Wind_Map!12",FW_VALUE_GSU_STATION_DC,Station service and DC power,,site_USD_required,direct_hardware,FW_GSU_STATION_SERVICE_DC,flood_inundation_contact,direct_vulnerable_value,false,"Site equipment schedule required.","Do not include twice through protection/control value.",withheld_value_and_ownership,"No public split."
NREL_CWER_2024,"Wind_Map!12",FW_VALUE_GSU_TERMINATIONS,GSU cable terminations and pathways,,site_USD_required,direct_hardware,FW_GSU_CABLE_TERMINATIONS,flood_inundation_contact,direct_vulnerable_value,false,"Separate cable body joints terminations pull boxes and conduits.","Do not apply a full cable-rollup DR to pathway damage.",withheld_value_and_ownership,"No public split."
NREL_CWER_2024,"Wind_Map!12",FW_VALUE_TURBINE_BASE,Turbine-base power electronics and switchgear,,site_USD_required,direct_hardware,FW_TURBINE_BASE_ELECTRICAL,flood_inundation_contact,direct_vulnerable_value,false,"Split per turbine/cluster and use local equipment value.","Do not use solar inverter value or full electrical rollup.",withheld_split_required,"Wind-specific inventory."
NREL_CWER_2024,"Wind_Map!12",FW_VALUE_PAD_TRANSFORMER,Pad or turbine step-up transformer,,site_USD_required,direct_hardware,FW_PADMOUNT_STEPUP_TRANSFORMER,flood_inundation_contact,direct_vulnerable_value,false,"Split by installed units and ownership.","Do not include inside turbine equipment and external electrical twice.",withheld_split_required,"Wind-specific inventory."
NREL_CWER_2024,"Wind_Map!12",FW_VALUE_COLLECTION_TERMINATIONS,Wind MV collection cable terminations,,site_USD_required,direct_hardware,FW_COLLECTION_CABLE_TERMINATIONS,flood_inundation_contact,direct_vulnerable_value,false,"Segment/termination schedule and line-network exposure required.","Do not allocate by turbine count alone.",withheld_split_required,"Wind-specific inventory."
NREL_CWER_2024,"Wind_Map!10",WIND_VALUE_010_FOUNDATION,Foundation,120,2023_USD_per_kW,direct_hardware,FW_TURBINE_FOUNDATION,flood_scour_erosion,withheld_separate_pathway,false,"Site foundation type/value and hydraulic/geotech response required.","Do not use legacy depth logistic or treat missing response as zero.",withheld,"Reference value only."
NREL_CWER_2024,"Wind_Map!11",WIND_VALUE_011_CIVIL,"Site access staging and facilities",47,2023_USD_per_kW,mixed_civil,FW_CIVIL_ACCESS_DRAINAGE,flood_scour_erosion,split_required,false,"Split roads pads drainage buildings and fences before exposure/value.","Do not apply one civil depth curve to the mixed row.",withheld,"Reference value only."
NREL_CWER_2024,"Wind_Map!2:9",WT_ELEVATED_EQUIPMENT_TOTAL,Elevated turbine equipment,1090,2023_USD_per_kW,direct_hardware,FW_ELEVATED_TURBINE_EQUIPMENT,flood_inundation_contact,reconciliation_geometry_screen,false,"Include only if water reaches a documented vulnerable path/component; otherwise geometry-screened.","Do not declare universal immunity or use the share as a DR cap.",withheld_geometry_dependent,"Rotor nacelle tower/equipment reference rollup."
NREL_CWER_2024,"Wind_Map!13",WIND_VALUE_013_FIELDWORK,Assembly and installation,100,2023_USD_per_kW,support_logistics,SUPPORT_FIELDWORK,all_shared,support_once,false,"Allocate once after qualified repair scope.","No independent fragility or automatic proportional add-on.",mapped_support_rule_open,"Reference only."
NREL_CWER_2024,"Wind_Map!14",WIND_VALUE_014_TRANSPORT,Wind turbine transport,194,2023_USD_per_kW,support_logistics,SUPPORT_TRANSPORT_LOGISTICS,all_shared,support_once,false,"Allocate once when replacement and logistics require it.","Do not include in intrinsic DR denominator and add again.",mapped_support_rule_open,"Reference only."
SUMMARY,"Wind_Map!2:14",PHYSICAL_REFERENCE_TOTAL,Physical reference basis,1623,2023_USD_per_kW,reconciliation,REFERENCE_DENOMINATOR_ONLY,all_shared,reference,false,"1090 equipment + 120 foundation + 47 civil + 72 electrical + 294 support.","No pooled physical-base DR.",reconciled,"Reference reporting denominator only."
SUMMARY,"Wind_Map!15:19",EXCLUDED_TOTAL,Excluded soft sunk nonphysical,345,2023_USD_per_kW,reconciliation,OUTSIDE_PHYSICAL_CELL,all_shared,excluded,false,"Exclude from direct physical destruction by default.","Do not reintroduce through damage or support scaling.",reconciled,"Installed minus physical."
SUMMARY,"Wind_Map!2:19",INSTALLED_REFERENCE_TOTAL,Installed reference basis,1968,2023_USD_per_kW,reconciliation,REFERENCE_REPORTING_DENOMINATOR,all_shared,reference,false,"Reference reporting denominator only.","No implicit full-TIV curve or scenario loss.",reconciled,"Physical 1623 plus excluded 345."
