claim_id,pathway_id,claim_text,claim_type,source_ids,exact_locator,evidence_tier,parameter_or_rule,adoption_status,permitted_inference,prohibited_inference,reasoning,update_trigger
FW-C001,all_shared,"Typical wind and solar generation facilities can use the same facility-level Plant GSU role and collection-bus-to-interconnection architecture.",direct_observation,FW-S001,"pp. 2-3",T2_public_lab_standard_or_physics,shared_asset_anatomy,adopt,"Define asset-neutral GSU/substation component concepts.","Assume identical site configuration ownership value or vulnerability.","FERC describes both technology configurations explicitly.","FERC configuration guidance or class scope changes."
FW-C002,flood_inundation_contact,"For future component-level records, a local water-depth bridge may use component vulnerable datum h_i=max(0,WSE-z_i_crit); this is not the model-v1 whole-substation runtime axis.",engineering_inference,"FW-S005;FW-S006;FW-S007;FW-S010","elevation/critical-depth method and canonical flood_solar axis",T2_public_lab_standard_or_physics,component_axis_research_bridge,retain_nonruntime,"Use only in component-level research with matched WSE and component datums.","Substitute it for FLOOD_DEPTH_ABOVE_SUBSTATION_GRADE_FT_HAZUS or mix the two grains.","The component method remains useful but differs from the source-native facility-grade axis.","A component record is validated or the assembly-axis contract changes."
FW-C003,flood_inundation_contact,"Asset label solar versus wind is not an intrinsic selector for materially identical equipment and delivered exposure.",governance_decision,"FW-S001;GOVERNANCE_CONTRACT;SHARED_SUBSTRATE","method standard 20 compatibility key",T4_placeholder_or_expert_judgment,curve_selection_rule,adopt,"Share a response after exact compatibility passes.","Ignore equipment construction selectors or copy exposure/value.","The physical component sees water and its own state, not the upstream generation label.","Evidence shows technology context changes intrinsic response after controls."
FW-C004,flood_inundation_contact,"Switchgear main transformer auxiliaries controls station service and terminations require separate failure-unit identities unless an adopted source explicitly supplies a whole-facility atom.",source_interpretation,"FW-S002;FW-S003;FW-S004;FW-S011;SHARED_SUBSTRATE","equipment categories, case endpoints, and Hazus Table 7.9 comments",T3_engineering_proxy_or_adjacent_empirical,failure_unit_decomposition,adopt,"Preserve separate component subjects and the mutually exclusive Hazus whole-substation source atom.","Apply the assembly DR independently to each component or sum assembly and component values.","Sources describe distinct components while FW-S011 supplies only one inseparable facility response; FW-S002 is historical context pending successor review.","Claims/OEM data or reviewed NEMA CS 70006-2026 guidance change the decomposition."
FW-C005,flood_inundation_contact,"NERC shallow relay-room flooding demonstrates operational sensitivity but does not calibrate physical DR.",direct_observation,FW-S003,"approximately 8 inches and 495 MW operational consequence",T3_engineering_proxy_or_adjacent_empirical,endpoint_boundary,adopt_with_limits,"Prioritize controls/protection curation and route outage downstream.","Use MW removed from service as repair-cost ratio.","The source reports operations and unavailable equipment rather than same-unit cost.","A source publishes component disposition and cost for the event."
FW-C006,flood_inundation_contact,"FS_SWG remains a pinned component candidate but is not the adopted whole-substation curve and remains audit-only for flood_wind.",governance_decision,FW-S010,"FS_SWG and parameter tier table",T3_engineering_proxy_or_adjacent_empirical,FS_SWG_candidate,withhold,"Retain exact source pin/ordinates for future component review.","Populate a flood_wind component emit or use FS_SWG as FW_HAZUS_2_1_SUBSTATION_SCREENING_PWL.","Definition/axis/economic compatibility remains unapproved and the Hazus atom has different grain.","Exact equipment applicability and economic validation pass."
FW-C007,flood_inundation_contact,"FS_XFMR cannot transfer directly because its datum/control semantics and main-transformer value denominator are mixed.",source_interpretation,FW-S010,"FS_XFMR record plus dossier/metadata wording",T3_engineering_proxy_or_adjacent_empirical,FS_XFMR_candidate,reject_direct_reuse,"Use as a decomposition prompt only.","Apply control-water depth to full main-transformer value.","Same-unit denominator and exposed vulnerable parts are not aligned.","A dependency-safe transformer state/cost model is validated."
FW-C008,flood_inundation_contact,"FS_SCADA and FS_CABLE are partial concept/mechanism matches only.",source_interpretation,"FW-S007;FW-S010","FS_SCADA and FS_CABLE semantics",T3_engineering_proxy_or_adjacent_empirical,neighbor_candidate_reuse,withhold,"Crosswalk equipment and pathways.","Equate plant SCADA with protection/control or solar AC/DC cable with wind MV inventory.","The existing records aggregate different subjects.","Qualified equipment and value crosswalks pass."
FW-C009,all_shared,"The CWER wind electrical value is one mixed 72 2023 USD/kW bucket and does not support a standalone 9% substation allocation.",source_interpretation,FW-S008,"land-based reference breakdown and local Wind_Map row 12",T2_public_lab_standard_or_physics,value_rollup,adopt_with_limits,"Preserve the 72 USD/kW reconciliation row and require a component or whole-substation site value.","Use 9% GSU plus 9% electrical or treat the row as a site appraisal.","The source ledger does not split collection and substation.","Site/OEM/insured schedule supplies a complete non-overlapping value."
FW-C010,all_shared,"Functional association or mapped generation-substation role does not prove project ownership or insured inclusion.",governance_decision,"FW-S009;LEG-FW-001;GOVERNANCE_CONTRACT","LGIA demarcation definitions and Hazard ownership audit",T3_engineering_proxy_or_adjacent_empirical,ownership_value_rule,adopt,"Withhold project scenario loss and permit labeled dependency/sensitivity treatment.","Price unknown or utility-owned POI equipment as project value.","Ownership and demarcation are agreement/site specific.","Executed agreement, one-line, and value schedule resolve the boundary."
