source_id,citation,url,accessed_on,exact_locator,source_type,source_role,pathway_ids,evidence_tier,target_asset_match,target_failure_unit_match,measured_or_modeled_endpoint,permitted_inference,prohibited_inference,decision,status,notes
FW-S001,"Federal Energy Regulatory Commission, Order on accounting for renewable generating assets, 174 FERC 61,033 (2021).",https://www.ferc.gov/sites/default/files/2021-01/E-7-011921.pdf,2026-07-28,"pp. 2-3, wind items a-e and solar items a-g",government order,asset_anatomy,all_shared,T2_public_lab_standard_or_physics,direct,direct,"typical wind and solar collection buses and high-voltage Plant GSU configuration","Define common Plant-GSU/substation anatomy across solar and wind.","Infer flood vulnerability, component value, ownership, quantity, or a universal site configuration.",adopt_with_limits,reviewed,"Both technologies use a facility-substation collection bus and Plant GSU; upstream equipment remains technology-specific."
FW-S002,"National Electrical Manufacturers Association, NEMA GD 1-2016, Evaluating Water-Damaged Electrical Equipment.",https://www.nema.org/docs/default-source/secure-document-library/nema-gd-1-2016-evaluating-water-damaged-electrical-equipment-guide.pdf,2026-07-28,"sections 4.3 Power Equipment and 4.4 Transformers",industry standard,mechanism_and_disposition,flood_inundation_contact,T2_public_lab_standard_or_physics,direct,direct,"water-exposed switchgear/power equipment and transformer evaluation reconditioning replacement considerations","Separate equipment families and post-water disposition logic.","Derive continuous depth-DR ordinates or override OEM/manufacturer guidance.",adopt_with_limits,reviewed,"Supports category-specific response; not a curve."
FW-S003,"North American Electric Reliability Corporation, Substation Flooding Events Highlight Potential Design Deficiencies (2022).",https://www.nerc.com/pa/rrm/ea/Lessons%20Learned%20Document%20Library/LL20220404_Substation_Flooding_Events_Highlight_Potential_Design_Deficiencies.pdf,2026-07-28,"p. 1, approximately 8 inches at 250 VDC control connections and resulting operations",industry reliability lesson,case_study_severity,flood_inundation_contact,T3_engineering_proxy_or_adjacent_empirical,direct,direct,"one relay-room flood case causing false breaker operations and removal of two circuits and six generating units","Confirm shallow control/protection inundation can be operationally material and motivate separate control/DC units.","Treat 495 MW removed from service as direct physical DR or repair cost.",adopt_with_limits,reviewed,"Operational consequence is downstream; no same-unit cost endpoint."
FW-S004,"North American Electric Reliability Corporation, Severe Flooding Damages Transformer Substations (2015).",https://www.nerc.com/pa/rrm/ea/Lessons%20Learned%20Document%20Library/LL20150402_Severe_Flooding_Damages_Transformer_Substations_final.pdf,2026-07-28,"problem statement, details, and corrective actions",industry reliability lesson,case_study_severity,flood_inundation_contact,T3_engineering_proxy_or_adjacent_empirical,adjacent,direct,"telecommunication protection and station-service damage and circuit unavailability at two substations","Support component decomposition and water-path/elevation fields.","Fit an economic damage curve or infer renewable-project ownership/value.",adopt_with_limits,reviewed,"Transmission-station case; mechanism transfer only."
FW-S005,"Federal Emergency Management Agency, FEMA P-348, Protecting Building Utility Systems From Flood Damage, 2nd ed. (2017).",https://www.fema.gov/sites/default/files/2020-07/fema_p-348_protecting_building_utility_systems_from_flood_damage_2017.pdf,2026-07-28,"section 5.2, electrical-system flood risk and mitigation",government guidance,axis_and_exposure,flood_inundation_contact,T2_public_lab_standard_or_physics,adjacent,direct,"elevation/relocation/protection of transformers switchboards panels and feeders","Support local vulnerable datum and equipment-elevation fields.","Provide wind-farm ordinates or replacement percentages.",adopt_with_limits,reviewed,"Building-utility setting; used for method, not calibration."
FW-S006,"U.S. Army Corps of Engineers, HEC-FIA Technical Reference, Depth-Percent Damage Relationships.",https://www.hec.usace.army.mil/confluence/fiadocs/fiatechref/latest/direct-damage/depth-percent-damage-relationships-direct-damage,2026-07-28,"direct damage, depth-percent relationship and linear interpolation",government technical reference,curve_form,flood_inundation_contact,T2_public_lab_standard_or_physics,adjacent,none,"tabular depth-percent relationship and interpolation method","Support transparent piecewise/tabular curve form and critical-elevation semantics.","Supply electrical-component ordinates.",adopt_with_limits,reviewed,"Form precedent only."
FW-S007,"U.S. Department of Energy FEMP, Preventing and Mitigating Flood Damage to Solar Photovoltaic Systems.",https://www.energy.gov/cmei/femp/preventing-and-mitigating-flood-damage-solar-photovoltaic-systems,2026-07-28,"total submersion, equipment elevation, conduit-water pathway, and electrical enclosure sections",government guidance,mechanism_and_exposure,flood_inundation_contact,T2_public_lab_standard_or_physics,adjacent,partial,"solar-site observations and guidance for submerged electrical equipment and conduit water transport","Support shared electrical water-path/elevation concepts where equipment matches.","Infer wind-specific values or universal numeric curves.",adopt_with_limits,reviewed,"Solar-specific adjacent source; no wind curve."
FW-S008,"Stehly, T.; Duffy, P.; Mulas Hernando, D. Cost of Wind Energy Review: 2024 Edition. NREL/TP-5000-91775.",https://www.nrel.gov/docs/fy25osti/91775.pdf,2026-07-28,"land-based reference plant capital-cost breakdown",government technical report,exposure_or_value,all_shared,T2_public_lab_standard_or_physics,direct,partial,"2023-USD wind component and balance-of-system reference values","Use the row-level reference ledger and identify the mixed 72 USD/kW electrical bucket.","Infer a 9% substation share, fragility, ownership, or site replacement value.",adopt_with_limits,reviewed,"Value archetype only; substation and collection are not split."
FW-S009,"Federal Energy Regulatory Commission, pro forma Large Generator Interconnection Agreement.",https://www.ferc.gov/sites/default/files/2020-04/LGIA.pdf,2026-07-28,"definitions of Point of Change of Ownership and Point of Interconnection; Appendix A dependency",government contract template,ownership_boundary,all_shared,T2_public_lab_standard_or_physics,direct,partial,"contract-defined ownership/interconnection demarcations","Require site agreement/one-line evidence for project versus transmission-owner inclusion.","Assume ownership from physical role or map proximity.",adopt_with_limits,reviewed,"Template establishes that demarcation is agreement-specific."
FW-S010,"Canonical Damage Modeling flood_solar artifact, flood_solar@model_v1_0__docs_r4.",docs/cells/flood_solar/current/flood_solar__model_v1_0__docs_r4__curve_artifact.json,2026-07-28,"FS_SWG, FS_XFMR, FS_SCADA, FS_CABLE; artifact SHA a08e77ef034e1ecea3e7cd05d13c825921b54d610fca9de8651ebda8e857082d",canonical neighboring cell,candidate_curve_and_method,flood_inundation_contact,T3_engineering_proxy_or_adjacent_empirical,adjacent,partial,"deterministic T3 electrical depth-damage records and T2 local-datum transform","Reuse axis/method and retain exact ordinates as pinned audit candidates under explicit crosswalk.","Silently copy numerics into flood_wind or call them claims-calibrated asset-neutral curves.",defer_candidate_only,reviewed,"Canonical inside flood_solar; not runtime-approved for flood_wind."
