claim_id,claim_or_parameter,source_id,source_url,locator,evidence_role,param_role,tier,decision,permitted_use,prohibited_inference,update_trigger
"WS-C001","FSim defines six Fire Intensity Levels and corresponding conditional flame-length-probability layers: FLP1 <2 ft; FLP2 2–<4; FLP3 4–<6; FLP4 6–<8; FLP5 8–<12; FLP6 ≥12 ft.","USFS_FSIM_RDS_2023","https://www.fs.usda.gov/rds/archive/products/RDS-2016-0034-3/_metadata_RDS-2016-0034-3.html","RDS abstract and entity/attribute definitions for FLP1–FLP6","hazard data contract","axis_bridge","T2_public_lab_standard_or_physics","RETAIN","Map exactly to the six canonical class IDs.","PV damage calibration, component flux, or continuous midpoint reconstruction","FSim product/version changes"
"WS-C002","The six FLPs sum to one conditional on burning. For pixels burned in simulation they represent proportions by flame-length bin; metadata-described unburned burnable pixels receive zonal-mean FLPs and nominal BP, so the metadata-defined imputation state must be preserved or detected.","USFS_FSIM_RDS_2023","https://doi.org/10.2737/RDS-2016-0034-3","Entity and Attribute Information — Conditional Flame-Length Probability; logical-consistency checks; process step 11 post-processing","hazard data contract","axis_bridge","T2_public_lab_standard_or_physics","RETAIN","Validate conditional severity distributions while preserving or detecting the metadata-defined imputation state.","Treat FLP as annual unconditional probability or imputed FLP as direct pixel/site evidence","FSim semantic or imputation change"
"WS-C003","Annual burn probability is separate from conditional severity and remains outside M3 damage.","USFS_FSIM_RDS_2023;FINNEY_2011_FSIM","https://doi.org/10.2737/RDS-2016-0034-3","dataset abstract/method and governance boundary","architecture","axis_bridge","T2_public_lab_standard_or_physics","RETAIN","Downstream annualization only.","Embed frequency inside component DR","architecture change"
"WS-C004","FSim FLPs do not provide component heat flux, exposure duration, flame contact, ember dose or damage.","USFS_FSIM_RDS_2023","https://www.fs.usda.gov/rds/archive/products/RDS-2016-0034-3/_metadata_RDS-2016-0034-3.html","published attributes and scope/caveats","negative evidence / boundary","axis_bridge","T2_public_lab_standard_or_physics","RETAIN_GUARDRAIL","Define the missing local-exposure bridge.","Infer unlisted target-demand fields","new official product supplies target exposure"
"WS-C005","Fireline intensity is energy release per fire-front length and depends on heat yield, consumed fuel and spread rate.","USFS_FARSITE_1998","https://www.fs.usda.gov/rm/pubs/rmrs_rp004.pdf","pp. 9–10; I_b = h·w·R/60","hazard physics","axis_bridge","T2_public_lab_standard_or_physics","RETAIN","Explain why equal FLI need not imply equal local heat dose.","Convert kW/m to kW/m² without a transfer model","validated transfer model"
"WS-C006","Legacy q = 0.35·I/d is not a governed converter.","LEGACY_DIVI_WILDFIRE_SOLAR_2026;COHEN_USDA_2000","https://github.com/Divi-patel/infrasure-damage-curves/blob/12653b2c3d5a013c9524228243ea666c35bb3814/research/WILDFIRE_x_SOLAR.md","legacy §4; Cohen pp. 16–18 / experimental comparison","failed parameter provenance","axis_bridge","T4_placeholder_or_expert_judgment","REJECT","Legacy audit and future model-comparison fixture only.","Any component exposure or curve ordinate","independent calibrated converter"
"WS-C007","A fixed 10 m fire-to-asset distance is not a default.","LEGACY_DIVI_WILDFIRE_SOLAR_2026;COHEN_USDA_2000","https://research.fs.usda.gov/treesearch/download/4688.pdf","legacy §4.3; Cohen distance/duration analysis","site geometry","exposure_or_value","T4_placeholder_or_expert_judgment","REJECT_DEFAULT","Capture measured component-zone geometry.","Universal setback or mitigation efficacy","validated site archetype"
"WS-C008","No continuous FLI midpoint or FIL6 upper cap is reconstructed from source-native FIL bins.","USFS_FSIM_RDS_2023","https://doi.org/10.2737/RDS-2016-0034-3","open-ended and interval FLP definitions","axis guardrail","axis_bridge","T2_public_lab_standard_or_physics","RETAIN","Exact-class validation.","Interpolation or continuous curve evaluation","approved product-specific conversion"
"WS-C009","Tested shielded PV specimens primarily tolerated 8–15 kW/m² and 61–84 °C maximum temperature difference before reported failure behavior.","WANG_2025_PV_THERMAL","https://arts.units.it/handle/11368/3096982","abstract; 15 specimens at five inclinations","test-specific thermal response","boundary_or_cap","T2_public_lab_standard_or_physics","RETAIN_WITH_LIMIT","Future module flux/time constraint.","Universal threshold, FIL ordinate or economic DR","representative utility-module program"
"WS-C010","Tested small PV modules had empirical sustained-flame ignition CHF near 26 kW/m².","YANG_2015_PV_IGNITION","https://www.mdpi.com/1996-1944/8/7/4210","§4.2, Figures 5–7","test-specific ignition","boundary_or_cap","T2_public_lab_standard_or_physics","RETAIN_WITH_LIMIT","BOM-specific ignition constraint.","First functional damage, 50% replacement or whole-site DR","representative full-size/modern BOM testing"
"WS-C011","PV ignition times were 913/636/218/133/83 s at 28/30/35/40/45 kW/m² for the tested specimens.","YANG_2015_PV_IGNITION","https://www.mdpi.com/1996-1944/8/7/4210","Table 2","test-specific time dependence","curve_fit_shape","T2_public_lab_standard_or_physics","RETAIN_WITH_LIMIT","Direct source data and duration constraint.","Economic DR or FIL mapping","representative full-size/modern BOM testing"
"WS-C012","Tested 9 mm XLPE cable construction had estimated ignition CHF 16.24 kW/m².","ZHANG_2022_XLPE","https://www.mdpi.com/1996-1073/15/5/1904","§2.1 (9 mm construction); §3.1, Figure 4 (CHF)","test-specific material ignition","boundary_or_cap","T2_public_lab_standard_or_physics","RETAIN_WITH_LIMIT","Tested-cable constraint.","All PV cables, conduit, buried systems or collection DR","installed PV-cable program"
"WS-C013","Mean XLPE ignition times were 83.5/25/13.3 s at 20/30/40 kW/m².","ZHANG_2022_XLPE","https://www.mdpi.com/1996-1073/15/5/1904","§3.1, Table 2","test-specific time dependence","curve_fit_shape","T2_public_lab_standard_or_physics","RETAIN_WITH_LIMIT","Direct source data.","Cross-study module-vs-cable vulnerability ranking","installed PV-cable program"
"WS-C014","Front-glass integrity materially affected full-size single-glass module burn-through and temperature response under tested pool-fire exposure.","ZHAO_2026_PV_POOL_FIRE","https://www.mdpi.com/2571-6255/9/2/62","§§3.1–3.2 and Conclusions","selector direction","selector_default","T2_public_lab_standard_or_physics","RETAIN_MECHANISM_ONLY","Capture pre-event glass condition and module construction.","Population DR or numeric selector credit","field/lab population calibration"
"WS-C015","Tilt effect was non-monotonic in the tested pool-fire configuration and peaked at 15°.","ZHAO_2026_PV_POOL_FIRE","https://www.mdpi.com/2571-6255/9/2/62","Conclusion item 3","conditioner direction","conditioner_adjustment","T2_public_lab_standard_or_physics","RETAIN_MECHANISM_ONLY","Capture event-time tilt/tracker position.","Universal 15° penalty or stow multiplier","representative geometry testing"
"WS-C016","Fire/ember exposure should be uncoupled from construction vulnerability and quantified in space and time.","NIST_TN_1796","https://nvlpubs.nist.gov/nistpubs/TechnicalNotes/NIST.TN.1796.pdf","pp. 25–26 and 54–55","architecture / field protocol","axis_bridge","T2_public_lab_standard_or_physics","RETAIN_WITH_TRANSFER_LIMIT","Keep site attack separate from component response.","Residential coefficient transferred to solar","solar exposure-validation study"
"WS-C017","Vegetation management, undergrounding where practical, fire-resistant containers, access and emergency planning are PV-relevant risk controls.","DOE_FEMP_PV_WILDFIRE","https://www.energy.gov/cmei/femp/solar-photovoltaic-hardening-resilience-wildfire","System Considerations and O&M","PV-specific guidance","conditioner_adjustment","T2_public_lab_standard_or_physics","RETAIN_QUALITATIVE","Define auditable site fields.","Universal numeric credit","effectiveness calibration"
"WS-C018","Noncombustible screens/barriers may interrupt flame spread, but the effect is geometry- and pathway-dependent.","DOE_FEMP_PV_WILDFIRE","https://www.energy.gov/cmei/femp/solar-photovoltaic-hardening-resilience-wildfire","System Considerations, barrier paragraphs","PV-specific guidance","conditioner_adjustment","T2_public_lab_standard_or_physics","RETAIN_QUALITATIVE","Require material/height/continuity/gap/distance model.","Blanket wall multiplier","validated geometry/ember model"
"WS-C019","Combustible fences can rapidly conduct fire; fence-plus-mulch and parallel-fence configurations can increase hazard disproportionately.","NIST_TN_2228","https://www.nist.gov/publications/wind-driven-fire-spread-structure-fences-and-mulch","Abstract/executive summary; 187 experiments","site fuel-continuity evidence","conditioner_adjustment","T3_engineering_proxy_or_adjacent_empirical","RETAIN_WITH_TRANSFER_LIMIT","Fence material, spacing and debris flags.","Solar-specific multiplier","solar fence/fire study"
"WS-C020","Noncombustible fencing still requires maintenance to prevent accumulated fine fuels.","NIST_TN_2228","https://doi.org/10.6028/NIST.TN.2228","Abstract/executive summary","site O&M evidence","conditioner_adjustment","T3_engineering_proxy_or_adjacent_empirical","RETAIN_WITH_TRANSFER_LIMIT","Fuel-accumulation inspection field.","Proof an open/metal fence blocks heat","solar fence/fire study"
"WS-C021","Grass height near electrical equipment should be no more than 100 mm during the declared Fire Danger Period in the cited Victoria control framework.","ENERGY_SAFE_VICTORIA_SOLAR","https://www.energysafe.vic.gov.au/industry-guidance/electrical/installations-and-infrastructure/general-duties-solar-farm-owners-and-operators","Vegetation management","official regulatory control","conditioner_adjustment","T2_public_lab_standard_or_physics","RETAIN_CONTROL_ONLY","Compliance/site-condition field with inspection date.","Damage-reduction coefficient or universal jurisdiction","effectiveness study/local code selection"
"WS-C022","The cited Victoria framework calls for at least 10 m fuel-free noncombustible firebreaks around key infrastructure and the perimeter.","ENERGY_SAFE_VICTORIA_SOLAR","https://www.energysafe.vic.gov.au/industry-guidance/electrical/installations-and-infrastructure/general-duties-solar-farm-owners-and-operators","Fire-breaks","official regulatory control","conditioner_adjustment","T2_public_lab_standard_or_physics","RETAIN_CONTROL_ONLY","Measured width/surface/continuity field.","Proof a severe fire stops or universal credit","effectiveness study/local code selection"
"WS-C023","The cited NSW operational guidance disallows firefighting within 8 m of large-scale generation infrastructure or a fenced area without explicit de-energization assurance.","NSW_RFS_OP_1_2_22","https://www.rfs.nsw.gov.au/__data/assets/pdf_file/0004/247891/OP-1.2.22-Photovoltaic-Arrays.pdf","§7.3, printed p. 12 / PDF page 11","operational/access constraint","conditioner_adjustment","T2_public_lab_standard_or_physics","RETAIN_OPERATIONAL_ONLY","Access/de-energization state and response-model requirement.","Automatic suppression credit","response calibration"
