failure_unit_id,subsystem,component,state_0_no_event,state_1_lt_2_ft,state_2_gte_2_lt_4_ft,state_3_gte_4_lt_6_ft,state_4_gte_6_lt_8_ft,state_5_gte_8_lt_12_ft,state_6_gte_12_ft,tier,reasoning,update_trigger
WSV1_MODULE_THERMAL,PV_ARRAY,PV_MODULE,0,0.002,0.01,0.04,0.12,0.32,0.65,T4_placeholder_or_expert_judgment,"Screening DR rises from limited heat/degradation to substantial replacement in severe burnover; ordering constrained by PV thermal/fire studies, DOE guidance, and wildfire-affected EL/IR evidence.",Paired local exposure + inspected module disposition + replacement-cost cohort
WSV1_RACKING_THERMAL,MOUNTING,TRACKER_AND_RACKING,0,0,0.001,0.005,0.02,0.08,0.25,T4_placeholder_or_expert_judgment,"Metal support systems are less thermally vulnerable than polymers/electronics but connections, drives, aluminum members, and distorted zones can require replacement.",Full-scale rack/tracker external-fire test or forensic claim breakdown
WSV1_FOUNDATION_THERMAL,FOUNDATION,PILE_AND_INVERTER_PAD,0,0,0,0.001,0.003,0.01,0.04,T4_placeholder_or_expert_judgment,"Foundations are treated as low-response rather than immune; severe local contact and consequential support work remain possible.",Post-fire foundation inspection and repair cohort
WSV1_INVERTER_THERMAL,INVERTER_SYSTEM,CENTRAL_INVERTER,0,0.002,0.01,0.05,0.18,0.45,0.8,T4_placeholder_or_expert_judgment,"Electronics and enclosure contents receive high severe-state replacement DR; NEMA supports category-specific replacement/evaluation after heat damage.",OEM/forensic heat exposure + disposition + cost data
WSV1_COMBINER_THERMAL,INVERTER_SYSTEM,COMBINER_BOX,0,0.003,0.015,0.06,0.2,0.5,0.85,T4_placeholder_or_expert_judgment,"Small enclosures, connectors, and polymeric contents are assigned high severe-state sensitivity; exact enclosure transfer is unresolved.",Combiner/J-box external-fire testing and claims
WSV1_CABLE_EXPOSED,ELECTRICAL_COLLECTION,EXPOSED_CABLE_AC_DC,0,0.005,0.02,0.08,0.25,0.6,0.9,T4_placeholder_or_expert_judgment,"Exposed polymer-insulated cable is the most heat-sensitive material pathway; buried/protected cable is excluded from this reference response.",Installed-cable external-fire test and routing-specific claims
WSV1_MV_EQUIPMENT_THERMAL,SUBSTATION,TRANSFORMER_SWITCHGEAR,0,0.001,0.006,0.03,0.12,0.35,0.7,T4_placeholder_or_expert_judgment,"Protected heavy equipment is less sensitive at low states but can require major replacement under direct severe attack.",Transformer/switchgear event exposure + OEM disposition + repair cost
WSV1_GROUNDING_THERMAL,GROUNDING_LIGHTNING,GROUNDING_GRID_AND_LIGHTNING_PROTECTION,0,0,0.001,0.004,0.015,0.05,0.12,T4_placeholder_or_expert_judgment,"Mostly metallic/buried systems receive low response with nonzero inspection and localized replacement at severe states.",Post-fire grounding continuity/repair records
WSV1_SCADA_THERMAL,SCADA,MONITORING_AND_COMMUNICATIONS,0,0.004,0.02,0.08,0.25,0.6,0.9,T4_placeholder_or_expert_judgment,"Small exposed electronics and communications are highly heat-sensitive even though their value share is small.",SCADA enclosure exposure + replacement records
WSV1_CIVIL_DIRECT,CIVIL_INFRA,FENCING_ROADS_BUILDINGS_SITE_PREP,0,0.001,0.005,0.02,0.07,0.18,0.4,T4_placeholder_or_expert_judgment,"Mixed civil bucket receives a bounded direct-fire screening response; post-fire erosion, BI, and unrelated site preparation are excluded.",Row-14 site schedule split and direct-fire claims
