parameter,pathway_id,curve_id,value,param_role,tier,source_ids,reasoning,status,update_trigger
"runtime_curve_count","tropical_cyclone_wind","TCWS_PERRY_GROUND_FIXED_VISIBLE_REPLACEMENT_PROXY_V1","1","capability","T4_placeholder_or_expert_judgment","GOVERNANCE_CONTRACT","One narrow noncanonical source-unit curve passes the screening gate.","adopt","Promotion or model revision."
"source_manual_csv_sha256","tropical_cyclone_wind","TCWS_PERRY_GROUND_FIXED_VISIBLE_REPLACEMENT_PROXY_V1","edb34e74cc078bba1fdbe34463abadc794fd416caa66eb64ac3d0ed176ac5e00","provenance_pin","T1_claims_or_field_calibrated","TCWS-S020","Pins the exact reviewed source file.","adopt","Source file changes."
"source_cohort_filter","tropical_cyclone_wind","TCWS_PERRY_GROUND_FIXED_VISIBLE_REPLACEMENT_PROXY_V1","mounting_type=ground AND tracking=false","selector","T1_claims_or_field_calibrated","TCWS-S020","Separates the only adequately populated explicit architecture cohort.","adopt_with_limits","Architecture labels or source population changes."
"source_cohort_n","tropical_cyclone_wind","TCWS_PERRY_GROUND_FIXED_VISIBLE_REPLACEMENT_PROXY_V1","35","sample_size","T1_claims_or_field_calibrated","TCWS-S020","All fixed ground source-cohort records including the tail audit point.","adopt","Source changes."
"runtime_fit_n","tropical_cyclone_wind","TCWS_PERRY_GROUND_FIXED_VISIBLE_REPLACEMENT_PROXY_V1","34","sample_size","T3_engineering_proxy_or_adjacent_empirical","TCWS-S020;GOVERNANCE_CONTRACT","Excludes the single 48.2 m/s sparse-tail observation.","adopt_with_limits","Tail evidence improves."
"source_axis_id","tropical_cyclone_wind","TCWS_PERRY_GROUND_FIXED_VISIBLE_REPLACEMENT_PROXY_V1","PERRY_DATASET_REPORTED_EVENT_MAX_GUST_MPS","axis","T1_claims_or_field_calibrated","TCWS-S020;TCWS-S021","Preserves the dataset-reported field without attributing one provider or inventing averaging, height, station, or query semantics for the full manual cohort.","adopt_with_limits","Source documentation clarifies the full manual-cohort weather lineage."
"valid_range_mps","tropical_cyclone_wind","TCWS_PERRY_GROUND_FIXED_VISIBLE_REPLACEMENT_PROXY_V1","17.4|39.1","boundary_or_cap","T3_engineering_proxy_or_adjacent_empirical","TCWS-S020;GOVERNANCE_CONTRACT","Source-bounded fit domain before the isolated severe-tail gap.","adopt_with_limits","Tail evidence improves."
"fit_method","tropical_cyclone_wind","TCWS_PERRY_GROUND_FIXED_VISIBLE_REPLACEMENT_PROXY_V1","unweighted_site_PAVA_then_block_edge_linearization","curve_fit_shape","T3_engineering_proxy_or_adjacent_empirical","TCWS-S020;GOVERNANCE_CONTRACT","Transparent monotone pooling without invented module weights.","adopt_with_limits","Reviewed predictive method replaces screening fit."
"interpolation_policy","tropical_cyclone_wind","TCWS_PERRY_GROUND_FIXED_VISIBLE_REPLACEMENT_PROXY_V1","linear_between_source_knots","curve_fit_shape","T3_engineering_proxy_or_adjacent_empirical","GOVERNANCE_CONTRACT","Continuous deterministic interpolation between governed block edges.","adopt_with_limits","Method revision."
"extrapolation_policy","tropical_cyclone_wind","TCWS_PERRY_GROUND_FIXED_VISIBLE_REPLACEMENT_PROXY_V1","withhold outside 17.4-39.1 m/s","boundary_or_cap","T4_placeholder_or_expert_judgment","GOVERNANCE_CONTRACT","No source-supported tail or low-end extrapolation.","adopt","New evidence expands range."
"ordinate_percent_conversion","tropical_cyclone_wind","TCWS_PERRY_GROUND_FIXED_VISIBLE_REPLACEMENT_PROXY_V1","damage_ratio=pct_modules_damaged/100","ordinate_bridge","T1_claims_or_field_calibrated","TCWS-S020;TCWS-S021","Exact unit conversion from percent to fraction.","adopt","Source units change."
"uniform_module_value","tropical_cyclone_wind","TCWS_PERRY_GROUND_FIXED_VISIBLE_REPLACEMENT_PROXY_V1","required_true","value_bridge","T4_placeholder_or_expert_judgment","GOVERNANCE_CONTRACT","Makes module-count or equal-area fraction align with module-hardware value fraction.","adopt_with_limits","Observed module value distribution replaces assumption."
"full_replacement_if_visible","tropical_cyclone_wind","TCWS_PERRY_GROUND_FIXED_VISIBLE_REPLACEMENT_PROXY_V1","required_true","disposition_bridge","T4_placeholder_or_expert_judgment","GOVERNANCE_CONTRACT","Maps visible or missing module physical fraction to material replacement proxy.","adopt_with_limits","Inspected repair-versus-replace data replaces assumption."
"extra_exposure_fraction","tropical_cyclone_wind","TCWS_PERRY_GROUND_FIXED_VISIBLE_REPLACEMENT_PROXY_V1","prohibited","exposure_modifier","T3_engineering_proxy_or_adjacent_empirical","TCWS-S020;TCWS-S021","The site response already measures realized affected fraction.","adopt","Response grain changes."
"curve_intrinsic_spread","tropical_cyclone_wind","TCWS_PERRY_GROUND_FIXED_VISIBLE_REPLACEMENT_PROXY_V1","not_carried","uncertainty","T4_placeholder_or_expert_judgment","GOVERNANCE_CONTRACT","Cluster-aware uncertainty is not identified by the sparse event sample.","withhold","Validated hierarchical uncertainty model."
"tail_audit_point","tropical_cyclone_wind","TCWS_PERRY_GROUND_FIXED_VISIBLE_REPLACEMENT_PROXY_V1","48.2 m/s|0.4142383192 DR|n=1","audit_only","T1_claims_or_field_calibrated","TCWS-S020","Retains the severe observation without granting runtime interpolation.","withhold_runtime","Tail cohort grows."
"model_grade","tropical_cyclone_wind","TCWS_PERRY_GROUND_FIXED_VISIBLE_REPLACEMENT_PROXY_V1","screening_remote_sensing_labeled_visible_fraction_with_T4_economic_bridge","release_state","T4_placeholder_or_expert_judgment","TCWS-S020;GOVERNANCE_CONTRACT","Separates remote-sensing-labeled visible physical severity from assumed economic disposition.","adopt","Evidence chain improves."
