claim_id,pathway_id,claim_text,claim_type,source_ids,exact_locator,evidence_tier,parameter_or_rule,adoption_status,permitted_inference,prohibited_inference,reasoning,update_trigger
"TCWS-C201","tropical_cyclone_wind","Perry identifies Visual Crossing API as the study-level hurricane maximum-gust provider, while the released row-level station, product, query, duration, height, exposure, retrieval-version, time-of-maximum, and uncertainty lineage remains unresolved.","source_semantics_correction","TCWS-S003;TCWS-S020;TCWS-S023;TCWS-S024","Perry Figure 3 journal p. 1015; released manual CSV schema; Visual Crossing wind and historical-construction documentation","T3_engineering_proxy_or_adjacent_empirical","perry_axis_provider_wording","adopt","State Visual Crossing as study-level provider and retain the exact Perry source-axis label.","Call the Perry field measured at site, exact 3-second, ASCE Exposure C, reproducible from today's API, or a single station/grid product.","Provider identity does not recover the discarded row-level query and reference-frame lineage.","Archived author request/response records and station contributors are released."
"TCWS-C202","tropical_cyclone_wind","No portable identity or fixed-factor bridge is supported between Hazard's modeled 3-second gust object and the Perry dataset-reported event maximum gust.","axis_bridge_decision","TCWS-S003;TCWS-S005;TCWS-S020;TCWS-S023;TCWS-S024;GOVERNANCE_CONTRACT","axis audit dated 2026-07-29 and consumer handoff comparison","T4_placeholder_or_expert_judgment","hazard_to_perry_axis_bridge","withhold","Evaluate only the exact Perry field within the pinned source range.","Pass ordinary Hazard gust, NHC sustained wind, ASCE design wind, category, or another gust product directly into the curve.","Matching units cannot close duration, spatial, exposure, product, and query semantics.","A versioned paired reconstruction and held-out transfer validation pass review."
"TCWS-C203","tropical_cyclone_wind","Paper and released manual-data inconsistencies include 48 versus 47 sites, one Florence count difference, differing event-window end dates, and a combined Irma/Maria narrative whose manual rows are Maria-labeled with a Maria-only window.","source_release_discrepancy","TCWS-S003;TCWS-S020","paper Methods and Figures 3-5 compared with pinned manual CSV","T1_claims_or_field_calibrated","event_window_lineage_qa","adopt_as_limitation","Use the pinned released CSV and record the attribution uncertainty.","Silently reconstruct a missing row, relabel events, or infer portable event-window gust semantics.","The numerical file is reproducible but not fully identical to the paper narrative.","Authors publish a corrected versioned release and change log."
"TCWS-C204","tropical_cyclone_wind","Typhoon Mawar ground fixed-tilt observations provide a severe-event audit but do not support a Perry tail fit or a generic gust-only solar curve.","external_severe_audit","TCWS-S025","report pp. 9-12 and Figure A-2 p. 78","T3_engineering_proxy_or_adjacent_empirical","severe_tail_external_audit","adopt_as_limitation","Use near-zero visible ground-module loss under severe estimated winds as a transfer challenge.","Pool Mawar with Perry or infer tail shape, economic DR, or immunity.","Wind, architecture, installation quality, response endpoint, and measurement basis are not compatible with the Perry atom.","Architecture-matched raw data and a qualified common wind axis become available."
"TCWS-C205","tropical_cyclone_wind","Mawar's report contains conflicting ground-module damage counts and some inconsistent site wind summaries, so its rows remain audit-only pending clarification.","source_internal_discrepancy","TCWS-S025","Table 1, Table 7, Figure A-2, and Dandan detailed assessment","T1_claims_or_field_calibrated","mawar_numerical_ingestion_gate","withhold","Retain qualitative and bounded audit conclusions.","Serialize one conflicting count or wind estimate as a governed curve record.","A numerical atom must have one adjudicated numerator, denominator, and demand record.","Authors or repository publish corrected machine-readable data."
"TCWS-C206","tropical_cyclone_wind","Typhoon Yagi's regional satellite-area loss and generic unit-area cost are not compatible with the Perry failure unit or the repository economic DR ordinate.","cross_source_endpoint_decision","TCWS-S026;TCWS-S027","Methods Sections 2.1.2, 2.2.3-2.2.4, Eq. 8, results, and limitations","T3_engineering_proxy_or_adjacent_empirical","yagi_transfer_rule","audit_only","Use as a regional event-scale external screen and acquisition lesson.","Transfer wind-scale coefficients, area loss, or generic costs to module, rack, plant, or same-unit DR.","Architecture and component disposition are unknown and the cost is not observed same-unit repair cost.","Architecture-resolved inspection and cost/value records are released."
"TCWS-C207","tropical_cyclone_wind","Current evidence does not support a tracker route, fixed-to-tracker fallback, or generic stow credit.","architecture_release_decision","TCWS-S006;TCWS-S020;TCWS-S025;TCWS-S038;TCWS-S039","Perry tracker count; Mawar tracker section; OEM cases","T4_placeholder_or_expert_judgment","tracker_route_status","withhold","Capture tracker identity and command/attained state for future evidence.","Use the fixed Perry curve for trackers or emit favorable response from a commanded stow state.","Two Perry rows, zero Mawar trackers, and incomplete OEM cases cannot define response or cost.","A multi-event tracker cohort closes demand, attained state, inspection, disposition, and economics."
"TCWS-C208","tropical_cyclone_wind","FPL's reported fleet panel damage or replacement fractions are censored occurrence-count observations, not economic damage ratios or site fragility points.","field_occurrence_boundary","TCWS-S028;TCWS-S030;TCWS-S031","FPL Jarro Ian and Milton testimony and Helene/Milton testimony","T1_claims_or_field_calibrated","fleet_panel_fraction_use","adopt_with_limits","Use the stated bounds for external validation and data-request design.","Treat them as site DR, pair them to an assumed gust, or multiply them by module or plant value.","The reports omit a common exposed-site denominator, local intensity, architecture, and same-unit cost/value.","Event/site/component records with exact denominators and wind are supplied."
"TCWS-C209","tropical_cyclone_wind","Regulatory restoration schedules show that contractor, logistics, labor, material, vehicle, inspection, and civil scopes can be material and must be separated and allocated once.","cost_scope_boundary","TCWS-S028;TCWS-S029;TCWS-S030","FPL restoration testimony and cost exhibits","T3_engineering_proxy_or_adjacent_empirical","support_allocation_rule","adopt","Design work-order ingestion and once-only support allocation.","Use mixed generation cost shares as solar vulnerability, failure-unit DR, or default support multipliers.","The cost buckets span preparation, restoration, logistics, inspection, civil work, and multiple facilities.","Failure-unit-linked work orders and an approved allocation ledger become available."
"TCWS-C210","tropical_cyclone_wind","FEMA field cases support architecture-specific module, post, purlin, connector, and rack physical states but not same-unit economic DR.","physical_occurrence_evidence","TCWS-S032","USVI MAT Sections 7.1.2-7.1.3","T1_claims_or_field_calibrated","fixed_structure_occurrence_use","adopt_with_limits","Use physical counts and mechanisms for failure-unit and inspection design.","Convert affected fractions or qualitative facility damage directly to economic DR.","Repair disposition, invoices, salvage, and matching replacement value are absent.","Owner/adjuster cost and value schedules join to the inspected units."
"TCWS-C211","tropical_cyclone_wind","Owner records document removal, redesign, limited repair, and electrical replacement outcomes, but redesign and compound electrical damage prevent like-kind wind DR calibration.","owner_disposition_evidence","TCWS-S033;TCWS-S034","BMR project Context and Process sections","T1_claims_or_field_calibrated","terminal_disposition_context","adopt_with_limits","Use as categorical disposition and selector/compound-pathway evidence.","Treat redesigned replacement cost, moisture/static electrical work, or facility removal as transferable wind-only DR.","The outcome scope is broader or different from like-kind direct physical repair of one declared unit.","Itemized same-unit work orders and pre-event replacement values are released."
"TCWS-C212","tropical_cyclone_wind","Plant-level SEC loss estimates and availability statements are materiality evidence but prohibited economic-DR numerators.","economic_scope_boundary","TCWS-S035","AES 2017 Q3 Form 10-Q specified lines","T1_claims_or_field_calibrated","plant_loss_estimate_use","audit_only","Use to establish that physical and nonphysical scopes require explicit separation.","Divide loss by MW, unavailable capacity, historic capex, or assumed value and call the result DR.","Reported loss can include property, business interruption, cleanup, recovery, or other scope and lacks same-unit value.","Audited direct physical cost and event-date replacement value are disclosed separately."
"TCWS-C213","tropical_cyclone_wind","DOE/FEMP forensic cases extend physical coverage to modules, racks, conduit, inverters, switchgear, transformers, and compound water pathways without closing numerical economic response.","multi_failure_unit_evidence","TCWS-S036","in-person assessment and failure analysis PDF pp. 9-15","T1_claims_or_field_calibrated","secondary_failure_unit_status","adopt_with_limits","Improve the unit inventory, pathway split, and acquisition plan.","Convert total-loss wording or estimated site wind into component or whole-site economic DR.","The case mixes wind, rain, flood, and design/installation weaknesses and lacks same-unit cost/value.","Pathway-separated component work orders and values are supplied."
"TCWS-C214","tropical_cyclone_wind","NLR/NREL BOM and hardening-cost evidence supports value anatomy and selectors only, not occurrence vulnerability or repair savings.","value_method_boundary","TCWS-S013;TCWS-S037","Q1-2025 value source and NREL severe-weather Tables 1-2","T2_public_lab_standard_or_physics","benchmark_value_use","adopt_with_limits","Reconcile physical value buckets and define data-request fields.","Use benchmark weights or hardening premiums as damage probabilities, DRs, reinstatement values, or mitigation credits.","New-build anatomy and prospective premiums do not observe event damage consequence.","Site-specific event-date replacement values and outcome data are provided."
