value_source_id,source_location,row_or_bucket_id,row_or_bucket_label,value,unit,financial_class,failure_unit_id,applicable_pathway_ids,role_in_loss,include_in_direct_denominator,allocation_rule,double_count_guardrail,status,notes
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!2",WIND_VALUE_002_BLADE,Blades,282,2023_USD_per_kW,direct_hardware,WT_BLADE_ASSEMBLY,hail_impact,direct_vulnerable_value,true,"Candidate same-blade denominator only; runtime DR withheld.","Do not add coating repair and terminal blade replacement for the same state.",mapped_no_curve,"Aggregate blade row; no separate LEP/coating denominator."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!3",WIND_VALUE_003_PITCH,Pitch assembly,13,2023_USD_per_kW,direct_hardware,WT_NACELLE_EXPOSED_ASSEMBLY,hail_impact,withheld_direct_value,false,"Pitch state is a conditioner; physical pitch value remains withheld pending exact exposure/response.","Do not charge pitch value merely because pitch state modifies blade demand.",withheld,"CWER rotor-module row."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!4",WIND_VALUE_004_HUB,Hub assembly,42,2023_USD_per_kW,direct_hardware,WT_NACELLE_EXPOSED_ASSEMBLY,hail_impact,withheld_direct_value,false,"Hub/exposed surfaces require exact subject and response.","Do not infer hub damage from blade coupon/simulation evidence.",withheld,"Direct CWER component row."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!5",WIND_VALUE_005_NACELLE_STRUCTURE,Nacelle structural assembly,76,2023_USD_per_kW,direct_hardware,WT_NACELLE_EXPOSED_ASSEMBLY,hail_impact,split_required,false,"Split enclosure, coolers, instruments and protected internal structure.","Do not treat the full nacelle row as exposed to hail.",withheld,"Direct CWER component row."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!6",WIND_VALUE_006_DRIVETRAIN,Drivetrain assembly,236,2023_USD_per_kW,direct_hardware,WT_NACELLE_EXPOSED_ASSEMBLY,hail_impact,protected_split_required,false,"Internal drivetrain requires enclosure/bypass mechanism evidence before direct-hail treatment.","Do not infer internal replacement from external hail impact or shutdown.",withheld,"Gearbox/generator rollup."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!7",WIND_VALUE_007_POWER_ELECTRONICS,Nacelle electrical assembly,137,2023_USD_per_kW,direct_hardware,WT_NACELLE_EXPOSED_ASSEMBLY,hail_impact,protected_split_required,false,"Split exposed cooling/sensors from protected electrical hardware.","Do not treat grid trip or derating as physical destruction.",withheld,"Direct CWER component row."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!8",WIND_VALUE_008_YAW,Yaw assembly,28,2023_USD_per_kW,direct_hardware,WT_NACELLE_EXPOSED_ASSEMBLY,hail_impact,protected_split_required,false,"Yaw/azimuth is a conditioner; hardware response remains separate.","Do not charge yaw value because azimuth enters the blade bridge.",withheld,"Direct CWER component row."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!9",WIND_VALUE_009_TOWER,Tower module,276,2023_USD_per_kW,direct_hardware,WT_TOWER_AND_EXTERNAL_FIXTURES,hail_impact,split_required,false,"Split tower shell/coating, ladders/cabling and exposed fixtures/sensors.","Do not apply blade response or call the whole tower immune without review.",withheld,"Direct CWER subsystem row."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!10",WIND_VALUE_010_FOUNDATION,Foundation,120,2023_USD_per_kW,direct_hardware,WT_FOUNDATION,hail_impact,geometry_screened,false,"Direct atmospheric hail path is screened; accumulation/meltwater routes separately; no numeric zero record.","Do not infer flood/scour or call withheld value damaged/immune.",withheld,"Plant row allocated by capacity in source ledger."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!11",WIND_VALUE_011_CIVIL,"Site access, staging, and facilities",47,2023_USD_per_kW,mixed_civil,WT_CIVIL_INFRA,hail_impact,split_required,false,"Split roads, crane pads, buildings, fences and drainage; route accumulation/flood separately.","Do not scale by hit-turbine fraction or blade DR.",withheld,"Mixed plant-level physical rollup."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!12",WIND_VALUE_012_ELECTRICAL,Electrical infrastructure,72,2023_USD_per_kW,mixed_direct_hardware,"WT_PAD_ELECTRICAL|WT_COLLECTION_NETWORK|WT_GSU_SUBSTATION|WT_CONTROL_AND_MET_STATION",hail_impact,split_required,false,"Split pad equipment, collection, GSU/substation and control/met subjects using site BOM/SOV and geometry.","Do not use one turbine point or whole electrical row for every subject.",withheld,"CWER does not split plant electrical."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!13",WIND_VALUE_013_FIELDWORK,Assembly and installation,100,2023_USD_per_kW,support_logistics,SUPPORT_FIELDWORK,hail_impact,support_once,false,"Allocate once after qualified blade/BOP disposition with a site/claims rule.","No independent hail fragility and no automatic proportional scaling.",mapped_support_rule_open,"Recurring reinstatement support, not owned vulnerable hardware."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!14",WIND_VALUE_014_TRANSPORT,Wind turbine transport,194,2023_USD_per_kW,support_logistics,SUPPORT_TRANSPORT_LOGISTICS,hail_impact,support_once,false,"Allocate once when repair/replacement scope and logistics require it.","Do not include in intrinsic DR denominator and add again downstream.",mapped_support_rule_open,"Distance, crane and access can dominate."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!15",WIND_VALUE_015_ENGINEERING_DEVELOPMENT,Engineering and development,36,2023_USD_per_kW,excluded_soft_sunk_nonphysical,OUTSIDE_PHYSICAL_CELL,hail_impact,excluded,false,"Exclude from physical destruction by default.","Do not reintroduce without an explicit insured-value boundary.",excluded,"Source soft-cost row."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!16",WIND_VALUE_016_PROJECT_MANAGEMENT,Project management,14,2023_USD_per_kW,excluded_soft_sunk_nonphysical,OUTSIDE_PHYSICAL_CELL,hail_impact,excluded,false,"Exclude from physical destruction by default.","Do not reintroduce through support scaling.",excluded,"Source soft-cost row."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!17",WIND_VALUE_017_FINANCE,Construction finance,111,2023_USD_per_kW,excluded_soft_sunk_nonphysical,OUTSIDE_PHYSICAL_CELL,hail_impact,excluded,false,"Exclude from physical destruction.","Financial cost is not repair value.",excluded,"Source soft-cost row."
