parameter,pathway_id,curve_id,value,param_role,tier,source_ids,reasoning,status,update_trigger
"WTW2-P001 | Required pathway identity","all_shared","CELL_PATHWAY_CONTRACT","straight_line_convective or tornado_direct_hit; no default or inference","axis_bridge","T4_placeholder_or_expert_judgment","GOVERNANCE_CONTRACT","The mechanisms share turbine anatomy but require independent axes, evidence, records, capabilities, and tests.","REQUIRED_PROPOSED_CONTRACT","Governed schema redesign proves a different stable routing contract"
"WTW2-P002 | Supported turbine archetype","all_shared","CELL_SELECTOR_CONTRACT","generic_modern_onshore_tubular_multi_mw_screening_v1","selector_default","T4_placeholder_or_expert_judgment","SLC-S001;SLC-S003;TOR-S003;TOR-S006;TOR-S009","The evidence spans several commercial/reference turbines and supports only a deliberately broad screening archetype.","REQUIRED_NO_DEFAULT","Fleet-calibrated archetype-specific capacity evidence"
"WTW2-P003 | Straight-line preferred axis","straight_line_convective","WTW2_SLC_TURBINE_EQUIPMENT_ORDERED_STATES","rotor_effective_3s_gust_mps / iec_ve50_mps","axis_bridge","T3_engineering_proxy_or_adjacent_empirical","SLC-S003;SLC-S004;SLC-S008;SLC-S011","Rotor-area pressure-equivalent speed better represents nonuniform outflow loading than a point speed; Ve50 preserves design-class context.","ACTIVE_SCREENING_AXIS","Validated reduced-order convective turbine demand metric"
"WTW2-P004 | Straight-line hub-height proxy","straight_line_convective","WTW2_SLC_TURBINE_EQUIPMENT_ORDERED_STATES","hub_height_3s_gust_mps permitted with HUB_HEIGHT_GUST_PROXY_USED","axis_bridge","T4_placeholder_or_expert_judgment","SLC-S003;SLC-S008","A hub point is lower fidelity than rotor-effective loading but is a transparent delivered proxy.","ACTIVE_FLAGGED_PROXY","Rotor-resolved hazard products become routinely available"
"WTW2-P005 | 10 m convective gust rule","straight_line_convective","WTW2_SLC_TURBINE_EQUIPMENT_ORDERED_STATES","must be bridged upstream to a declared rotor/hub field; no silent power law","axis_bridge","T2_public_lab_standard_or_physics","SLC-S008;SLC-S011","Transient downburst profiles are not ordinary atmospheric-boundary-layer profiles.","FAIL_CLOSED","Validated event/site convective profile adapter"
"WTW2-P006 | Straight-line evidence anchor region","straight_line_convective","WTW2_SLC_TURBINE_EQUIPMENT_ORDERED_STATES","28 to 55 m/s delivered local gust","boundary_or_cap","T2_public_lab_standard_or_physics","SLC-S003;SLC-S004;SLC-S005","Reviewed turbine-load studies cover this approximate demand region but do not directly calibrate replacement-cost DR.","FLAG_OUTSIDE_REGION","Modern matched wind-load-damage dataset extends the domain"
"WTW2-P007 | Straight-line upper delivered-speed boundary","straight_line_convective","WTW2_SLC_TURBINE_EQUIPMENT_ORDERED_STATES","70 m/s; withhold above","boundary_or_cap","T4_placeholder_or_expert_judgment","SLC-S003;SLC-S005;BOUNDED_REVIEW","Prevents a Tier-4 screening proxy from silently extending into unsupported severe-wind behavior.","FAIL_CLOSED_ABOVE_BOUND","Qualified modern-turbine high-wind capacity evidence"
"WTW2-P008 | Straight-line beta_ln","straight_line_convective","WTW2_SLC_TURBINE_EQUIPMENT_ORDERED_STATES","0.10","curve_fit_shape","T4_placeholder_or_expert_judgment","SLC-S001;SLC-S003","Engineering smoothing judgment; not fitted to a failure population.","ACTIVE_NONPROBABILISTIC_SCENARIO_PARAMETER","Claims/inspection/capacity data support statistical fitting"
"WTW2-P009 | Straight-line hard zero boundary","straight_line_convective","WTW2_SLC_TURBINE_EQUIPMENT_ORDERED_STATES","x < 0.35 gives DS0 probability 1","boundary_or_cap","T4_placeholder_or_expert_judgment","SLC-S003;SLC-S008","Avoids a nonzero numerical tail far below the screening demand region; not a no-damage theorem.","ACTIVE_SCREENING_BOUNDARY","Observed low-demand repair data"
"WTW2-P010 | Straight-line lower-resistance medians","straight_line_convective","WTW2_SLC_TURBINE_EQUIPMENT_ORDERED_STATES","[0.75, 0.90, 1.15] on gust/Ve50 axis","curve_fit_shape","T4_placeholder_or_expert_judgment","SLC-S001;SLC-S003;SLC-S004","Higher-damage engineering bound informed by event and transient-load evidence; no probability weight.","ACTIVE_NONPROBABILISTIC_BOUND","Structured elicitation or fitted capacity data"
