parameter,pathway_id,curve_id,value,param_role,tier,source_ids,reasoning,status,update_trigger
TCWW1-P001 | required pathway,tropical_cyclone_wind,all,tropical_cyclone_wind,axis_bridge,T4_placeholder_or_expert_judgment,GOVERNANCE_CONTRACT,Prevents convective/tornado fallback and compound double count.,REQUIRED_NO_DEFAULT,approved pathway redesign
TCWW1-P002 | source-native input field,tropical_cyclone_wind,all,tc_peak_gust_3s_10m_kmh,axis_bridge,T3_engineering_proxy_or_adjacent_empirical,TCWW-S005,Exact paper axis: 3-second peak gust at 10 m in km/h.,ADOPT_EXACT_ONLY,validated bridge approved
TCWW1-P003 | supported simulation lower bound,tropical_cyclone_wind,all,108,boundary_or_cap,T3_engineering_proxy_or_adjacent_empirical,TCWW-S005,Lowest time-history intensity simulated by the source.,ADOPT_FAIL_CLOSED,matched evidence below 108 km/h
TCWW1-P004 | supported simulation upper bound,tropical_cyclone_wind,all,252,boundary_or_cap,T3_engineering_proxy_or_adjacent_empirical,TCWW-S005,Highest time-history intensity simulated by the source.,ADOPT_FAIL_CLOSED,matched evidence above 252 km/h
TCWW1-P005 | source-assumed zero threshold,tropical_cyclone_wind,all,90 km/h,boundary_or_cap,T4_placeholder_or_expert_judgment,TCWW-S005,Author assumption tied to typical cut-out speed; not empirical immunity.,ADOPT_WITH_FLAG,matched low-severity damage observations
TCWW1-P006 | 1MW delta V50,tropical_cyclone_wind,TCWW_JAIMES_1MW_44M_SCREENING,106.77 km/h,curve_fit_shape,T3_engineering_proxy_or_adjacent_empirical,TCWW-S005,Figure 6 fitted Eq. 1 parameter interpreted as excess above V_zero.,ADOPT_SCREENING,author correction or independent reproduction failure
TCWW1-P007 | 1MW rho,tropical_cyclone_wind,TCWW_JAIMES_1MW_44M_SCREENING,8.94,curve_fit_shape,T3_engineering_proxy_or_adjacent_empirical,TCWW-S005,Figure 6 fitted Eq. 1 shape.,ADOPT_SCREENING,author correction or independent reproduction failure
TCWW1-P008 | 1MW absolute D50,tropical_cyclone_wind,TCWW_JAIMES_1MW_44M_SCREENING,196.77 km/h,curve_fit_shape,T3_engineering_proxy_or_adjacent_empirical,TCWW-S005,Derived as 90+106.77 and KAT-locked.,DERIVED_CHECK,source equation changes
TCWW1-P009 | 2.5MW delta V50,tropical_cyclone_wind,TCWW_JAIMES_2P5MW_80M_SCREENING,82.52 km/h,curve_fit_shape,T3_engineering_proxy_or_adjacent_empirical,TCWW-S005,Figure 6 fitted Eq. 1 parameter interpreted as excess above V_zero.,ADOPT_SCREENING,author correction or independent reproduction failure
TCWW1-P010 | 2.5MW rho,tropical_cyclone_wind,TCWW_JAIMES_2P5MW_80M_SCREENING,4.54,curve_fit_shape,T3_engineering_proxy_or_adjacent_empirical,TCWW-S005,Figure 6 fitted Eq. 1 shape.,ADOPT_SCREENING,author correction or independent reproduction failure
TCWW1-P011 | 2.5MW absolute D50,tropical_cyclone_wind,TCWW_JAIMES_2P5MW_80M_SCREENING,172.52 km/h,curve_fit_shape,T3_engineering_proxy_or_adjacent_empirical,TCWW-S005,Derived as 90+82.52 and KAT-locked.,DERIVED_CHECK,source equation changes
TCWW1-P012 | 3.3MW delta V50,tropical_cyclone_wind,TCWW_JAIMES_3P3MW_100M_SCREENING,73.30 km/h,curve_fit_shape,T3_engineering_proxy_or_adjacent_empirical,TCWW-S005,Figure 6 fitted Eq. 1 parameter interpreted as excess above V_zero.,ADOPT_SCREENING,author correction or independent reproduction failure
TCWW1-P013 | 3.3MW rho,tropical_cyclone_wind,TCWW_JAIMES_3P3MW_100M_SCREENING,4.99,curve_fit_shape,T3_engineering_proxy_or_adjacent_empirical,TCWW-S005,Figure 6 fitted Eq. 1 shape.,ADOPT_SCREENING,author correction or independent reproduction failure
TCWW1-P014 | 3.3MW absolute D50,tropical_cyclone_wind,TCWW_JAIMES_3P3MW_100M_SCREENING,163.30 km/h,curve_fit_shape,T3_engineering_proxy_or_adjacent_empirical,TCWW-S005,Derived as 90+73.30 and KAT-locked.,DERIVED_CHECK,source equation changes
TCWW1-P015 | maximum DR,tropical_cyclone_wind,all,1.0,boundary_or_cap,T3_engineering_proxy_or_adjacent_empirical,TCWW-S005,Bounded asymptote of source Eq. 1; not the rejected legacy 0.65 full-TIV cap.,ADOPT,source equation changes
TCWW1-P016 | economic state consequences,tropical_cyclone_wind,all,1MW 2/43/100%; 2.5MW 4/48/100%; 3.3MW 5/50/100%,open_seam_placeholder,T4_placeholder_or_expert_judgment,TCWW-S005,Author-assumed DS ratios underlying the fitted mean vulnerability.,ADOPT_SOURCE_ASSUMPTION,matched claims and same-unit cost calibration
TCWW1-P017 | exact archetype selector,tropical_cyclone_wind,all,three named Jaimes selectors; no default/interpolation/nearest neighbor,selector_default,T3_engineering_proxy_or_adjacent_empirical,TCWW-S005;GOVERNANCE_CONTRACT,Prevents unsupported modern-fleet transfer.,REQUIRED_NO_DEFAULT,matched archetype-specific evidence
TCWW1-P018 | source assumption set,tropical_cyclone_wind,all,JAIMES_2020_GENERIC_FIXED_BASE_STEEL_PARKED_ROTOR_AS_DOCUMENTED,conditioner_adjustment,T3_engineering_proxy_or_adjacent_empirical,TCWW-S005,Acknowledges source model; no numeric control credit.,REQUIRED_ACKNOWLEDGEMENT,author clarification or state-specific evidence
TCWW1-P019 | source-native value proxy,tropical_cyclone_wind,all,Ct(h)=1307.9*h^1.82 USD,exposure_or_value,T3_engineering_proxy_or_adjacent_empirical,TCWW-S005,Retained only to audit the ambiguous source denominator.,WITHHOLD_RUNTIME_LOSS,independent valuation crosswalk approval
TCWW1-P020 | CWER turbine equipment comparison,all_shared,none,1090 2023 USD/kW,exposure_or_value,T2_public_lab_standard_or_physics,TCWW-S010,Modern reference comparison only; no source-native mapping.,WITHHOLD_RUNTIME_CROSSWALK,independent valuation crosswalk approval
TCWW1-P021 | CWER tower comparison,all_shared,none,276 2023 USD/kW,exposure_or_value,T2_public_lab_standard_or_physics,TCWW-S010,Modern tower-module comparison only; source ordinate is not tower-only.,WITHHOLD_RUNTIME_CROSSWALK,independent valuation crosswalk approval
TCWW1-P022 | curve intrinsic spread,tropical_cyclone_wind,all,not_carried,open_seam_placeholder,T4_placeholder_or_expert_judgment,TCWW-S005;GOVERNANCE_CONTRACT,Source Beta treatment is not carried until fully reproduced and reviewed; it is not empirical spread.,WITHHOLD,reviewed uncertainty release
TCWW1-P023 | all uncovered units,tropical_cyclone_wind,none,withheld_not_zero,open_seam_placeholder,T4_placeholder_or_expert_judgment,TCWW-S008;TCWW-S010;TCWW-S014;GOVERNANCE_CONTRACT,Case and value evidence show omitted modes and exposure grains are material.,ADOPT_FAIL_CLOSED,unit-specific curves and values
TCWW1-P024 | scenario and annual metrics,all_shared,none,withheld,open_seam_placeholder,T4_placeholder_or_expert_judgment,GOVERNANCE_CONTRACT;HAZARD_CONSUMER_AUDIT,Partial noncanonical scalar DR cannot become full-asset financial risk.,ADOPT_FAIL_CLOSED,canonical promotion plus complete prerequisites
