value_source_id,source_location,row_or_bucket_id,row_or_bucket_label,value,unit,financial_class,failure_unit_id,applicable_pathway_ids,role_in_loss,include_in_direct_denominator,allocation_rule,double_count_guardrail,status,notes
"NLR_Q1_2025_UPV_PV_ONLY_2024_USD","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Solar_Map!2","SOLAR_VALUE_002_MODULE","Module hardware + manufacturing allocation","291.21485143992487","2024_USD_per_kWdc","direct_hardware","PV_FIXED_TILT_MODULE_FIELD|PV_TRACKER_MODULE_FIELD","tropical_cyclone_wind","direct_vulnerable_value","true","Candidate same-unit denominator only for the active selected architecture with explicit site value and exposure; model v0.1 loss remains withheld.","Never charge both architectures, reuse a neighboring-pathway DR, or charge module replacement again through a future terminal-structure rule.","mapped_candidate_no_runtime_curve","Exact Q1-2025 reference row reused from strong_wind_solar; TCWS-S013 is the cell source-register cross-reference. Benchmark is not an implicit site default or cap."
"NLR_Q1_2025_UPV_PV_ONLY_2024_USD","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Solar_Map!3","SOLAR_VALUE_003_MOUNTING","Tracker/racking hardware","109.98972602739727","2024_USD_per_kWdc","direct_hardware","PV_FIXED_TILT_SUPPORT_STRUCTURE|PV_TRACKER_SBOS_ASSEMBLY","tropical_cyclone_wind","direct_vulnerable_value","true","Candidate same-unit denominator only for the active architecture when the site BOM supports transfer; fixed tilt requires explicit site value.","Do not split torque tube, drive, rails, piles, and foundations beyond source support; do not sum fixed and tracker units or inherit strong-wind curves.","mapped_candidate_no_runtime_curve","Architecture-generic reference row; tracker/fixed composition transfer remains limited and no TC-wind curve exists."
"NLR_Q1_2025_UPV_PV_ONLY_2024_USD","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Solar_Map!4","SOLAR_VALUE_004_FOUNDATION","Driven piers + inverter pad","31.12448715327472","2024_USD_per_kWdc","direct_hardware","PV_FOUNDATION","tropical_cyclone_wind","withheld","false","Retain for reconciliation; require architecture/geotechnical split and separate TC-wind fragility before loss.","Never inherit module/support DR or include surge, flood, or scour in this pathway.","withheld","Mixed foundation bucket; absence of a curve is not zero damage."
"NLR_Q1_2025_UPV_PV_ONLY_2024_USD","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Solar_Map!5","SOLAR_VALUE_005_INVERTER","Central inverter hardware","32.306366410372384","2024_USD_per_kWdc","direct_hardware","PV_POWER_CONVERSION_AND_COLLECTION","tropical_cyclone_wind","withheld","false","Separate point-asset exposure, enclosure state, and direct TC-wind mechanism required.","Do not apply array pressure DR or array exposed fraction.","withheld","No qualified direct TC-wind inverter curve."
"NLR_Q1_2025_UPV_PV_ONLY_2024_USD","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Solar_Map!6","SOLAR_VALUE_006_COMBINER","Combiner boxes","6.82625","2024_USD_per_kWdc","direct_hardware","PV_POWER_CONVERSION_AND_COLLECTION","tropical_cyclone_wind","withheld","false","Split enclosure, location, wind pressure, debris, and ingress pathways before modeling.","Do not pool with inverter, cable, GSU, or module response; debris and ingress are excluded pathways.","withheld","No qualified direct aerodynamic curve."
"NLR_Q1_2025_UPV_PV_ONLY_2024_USD","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Solar_Map!7","SOLAR_VALUE_007_CABLE","AC and DC conductors and project electrical line","69.3201119402985","2024_USD_per_kWdc","direct_hardware","PV_POWER_CONVERSION_AND_COLLECTION","tropical_cyclone_wind","withheld","false","Split exposed, buried, conduit, termination, and line/network segments before spatial allocation.","Do not reuse array-zone or GSU point exposure.","withheld","Mixed line-asset value; no qualified TC-wind curve."
"NLR_Q1_2025_UPV_PV_ONLY_2024_USD","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Solar_Map!8","SOLAR_VALUE_008_MV","Transformer, switches, breakers and substation","106.50466417910448","2024_USD_per_kWdc","direct_hardware","PV_GSU_SUBSTATION","tropical_cyclone_wind","withheld","false","Treat as a shared point/yard subasset and split GSU, switching, and any non-GSU MV content before modeling.","Reuse only asset-neutral GSU identity/value governance; never apply array exposure or inherit flood, solar-array wind, or wind-farm numerical response.","withheld_split_required","Explicit GSU-substation candidate; shared anatomy does not provide a TC-wind curve."
"NLR_Q1_2025_UPV_PV_ONLY_2024_USD","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Solar_Map!9","SOLAR_VALUE_009_GROUNDING","Grounding and lightning protection","8.385","2024_USD_per_kWdc","direct_hardware","PV_POWER_CONVERSION_AND_COLLECTION","tropical_cyclone_wind","withheld","false","Retain for reconciliation; split grounding from lightning-protection mechanism before modeling.","Do not inherit array wind response; lightning is a separate pathway.","withheld","Mixed grounding/lightning row."
"NLR_Q1_2025_UPV_PV_ONLY_2024_USD","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Solar_Map!10","SOLAR_VALUE_010_SCADA","System monitor","1.31","2024_USD_per_kWdc","direct_hardware","PV_SCADA_COMMUNICATIONS","tropical_cyclone_wind","withheld","false","Split enclosure, location, communications, control function, and point/network exposure.","Tracker control state may condition demand but is not a duplicate SCADA physical loss by default.","withheld","No qualified direct TC-wind SCADA curve."
"NLR_Q1_2025_UPV_PV_ONLY_2024_USD","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Solar_Map!11","SOLAR_VALUE_011_NETWORK","Grid network upgrade","0.0","2024_USD_per_kWdc","excluded_nonphysical","OUTSIDE_PHYSICAL_CELL","tropical_cyclone_wind","excluded","false","Exclude.","Never reintroduce through physical loss or support scaling.","excluded","Zero reference row."
