claim_id,claim_or_parameter,source_id,source_url,locator,evidence_role,param_role,tier,decision,permitted_use,prohibited_inference,update_trigger
"WS-C052","An operating utility-scale PV facility can experience simultaneous array-area, electrical-room, transformer/control and outage consequences during a wildfire.","YONHAP_UISEONG_PV_2025","https://www.fnnews.com/news/202503241420097473","reported 1 MW Uiseong facility event","field materiality","open_seam_placeholder","T3_engineering_proxy_or_adjacent_empirical","RETAIN_CONTEXT_ONLY","Justify multi-subsystem scope and field-data collection.","Curve ordinate, whole-site loss ratio, or replacement cost","engineering report or claims file for the event"
"WS-C053","Wildfire-affected PV modules may show hot spots and EL degradation patterns that performance or I-V checks alone do not resolve.","KIEE_JANG_2026_WILDFIRE_PV","https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003300065","accessible abstract","post-event diagnostic endpoint","open_seam_placeholder","T3_engineering_proxy_or_adjacent_empirical","RETAIN_WITH_ABSTRACT_LIMIT","Require EL/IR plus electrical testing and continued monitoring in a field protocol.","Population fragility, local-dose threshold, or economic DR","full text and event-level inspection data"
"WS-C054","The accessible wildfire-PV field-study abstract does not publish the local fire exposure, full affected/unaffected denominator, BOM, replacement decision, or repair cost required for curve calibration.","KIEE_JANG_2026_WILDFIRE_PV","https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003300065","accessible abstract and access audit","transferability limit","curve_fit_shape","T3_engineering_proxy_or_adjacent_empirical","WITHHOLD","Use as diagnostic-protocol evidence only.","Treat observed degradation as a numerical fragility row","full text or author-supplied data"
"WS-C055","Broad PV insurance category 'fire' is material but cannot be assumed to mean exogenous wildfire; the public chart does not expose asset-years, component states, local dose, or same-unit costs.","IEA_PVPS_T13_33_2025","https://doi.org/10.69766/FFNG4976","section 8.3 and Figure 37","portfolio context and category guardrail","curve_fit_shape","T3_engineering_proxy_or_adjacent_empirical","RETAIN_CONTEXT_ONLY","Support research priority and insurer-data request design.","Wildfire frequency, severity distribution, or fragility","de-identified claim microdata with peril taxonomy and exposure denominator"
"WS-C056","Wildland-fire incident heat transfer varies materially by fuel and fire regime; radiant and convective terms and their durations cannot be represented by one universal scalar.","FRANKMAN_2012_WILDLAND_HEAT;BUTLER_2010_CROWN_HEAT;MUELLER_2018_FIELD_FIRE","https://doi.org/10.1071/WF11097","field measurements across surface, shrub and crown settings","local-exposure physics","axis_bridge","T2_public_lab_standard_or_physics","RETAIN","Require pathway-specific flux/contact/time state and uncertainty.","A fixed FSim-to-kW/m2 converter","validated solar-site transfer study"
"WS-C057","A defensible local attack transfer requires at least fuel state, flame geometry, distance/view factor, wind/slope, component position and duration; FSim FIL/FLP alone does not provide these fields.","USFS_FSIM_RDS_2023;MODARRES_2024_WILDFIRE_FLUX;FRANKMAN_2012_WILDLAND_HEAT","https://doi.org/10.2737/RDS-2016-0034-3","product attributes compared with local heat-flux studies","axis-bridge gate","axis_bridge","T2_public_lab_standard_or_physics","RETAIN_GUARDRAIL","Define regional-screening and site-loss modes separately.","Direct FIL/FLI-to-component damage evaluation","validated regional-to-site coupling model"
"WS-C058","Fire/heat-damaged controls and electrical equipment need category-specific inspect/evaluate/replace rules; these post-event rules do not establish pre-event failure probabilities.","NEMA_GD2_2016","https://www.nema.org/docs/default-source/standards-document-library/nema-gd-2-2016-evaluating-fire-and-heat-damaged-electrical-equipment-guide.pdf","equipment category guidance","failure/replacement endpoint","curve_fit_shape","T2_public_lab_standard_or_physics","RETAIN_FOR_ENDPOINT_PROTOCOL","Translate observed damage state into governed disposition with OEM/qualified evaluation.","Heat threshold or fragility probability","paired exposure and disposition dataset"
"WS-C059","FM ground-mounted-solar wildland-fire recommendations define auditable control fields but publish no efficacy distribution suitable for a damage multiplier.","FM_DS_7_106_2026","https://www.fm.com/-/media/project/publicwebsites/fmglobal/documentum-new/data-sheet-individual/07-hazards/fmds07106.pdf","wildland-fire and site recommendations","control-field completeness","conditioner_adjustment","T2_public_lab_standard_or_physics","RETAIN_AS_CONTROL_ONLY","Capture compliance, geometry, vegetation, access and maintenance as selectors or study covariates.","Automatic mitigation credit","matched event/control effectiveness study"
"WS-C060","ASTM E108 and IEC 61730 qualifications are scope-limited safety/test selectors and are not wildfire survival curves for a ground-mounted utility PV population.","ASTM_E108_2025;IEC_61730_2_2023;IEA_PVPS_T15_15_2023","https://store.astm.org/e108.html","published standards scope and IEA test mapping","rating-scope guardrail","selector_match","T2_public_lab_standard_or_physics","RETAIN_GUARDRAIL","Record exact qualification/test status in BOM metadata.","Class/rating-to-DR multiplier or immune classification","validated external-wildfire population study"
"WS-C061","Glass layup, pre-damage, inclination, exposure magnitude and exposure duration change PV specimen response; laboratory endpoints are therefore BOM- and protocol-specific.","WANG_2025_PV_THERMAL;ZHAO_2026_PV_POOL_FIRE;BEDON_WANG_2026_BIPV_FIRE","https://doi.org/10.1016/j.ijthermalsci.2024.109489","specimen protocols and reported response","component mechanism and selector design","selector_match","T2_public_lab_standard_or_physics","RETAIN_WITH_TRANSFER_LIMIT","Define module BOM/protocol applicability and candidate thermal states.","Universal utility-module fragility or economic DR","representative full-size population tests with replacement endpoints"
