parameter,pathway_id,curve_id,value,param_role,tier,source_ids,reasoning,status,update_trigger
"runtime_curve_count","hail_impact","none","0","capability","T4_placeholder_or_expert_judgment","GOVERNANCE_CONTRACT;BOUNDED_SEARCH_LOG","No occurrence economic curve passed the evidence chain.","adopt","Reviewed model v1.0 release."
"canonical_runtime_artifact","hail_impact","none","false","release_state","T4_placeholder_or_expert_judgment","GOVERNANCE_CONTRACT","Repository research scaffold only.","adopt","Explicit promotion and consumer migration."
"pathway_id","hail_impact","none","hail_impact","pathway_identity","T4_placeholder_or_expert_judgment","GOVERNANCE_CONTRACT;HW-S017","Direct atmospheric hail impact remains separate from neighboring mechanisms.","adopt","Governed pathway redesign."
"event_family_id_required","hail_impact","none","true","compound_event_control","T4_placeholder_or_expert_judgment","GOVERNANCE_CONTRACT;HW-S017","Preserve compound thunderstorm identity and prevent duplicate value charges.","adopt","Consumer contract changes."
"observed_hail_diameter_field","hail_impact","none","maximum_reported_hail_diameter_mm","axis_source_field","T2_public_lab_standard_or_physics","HW-S001","Observed largest diameter is source-native metadata.","capture_only","NOAA semantics change."
"mesh_field","hail_impact","none","mesh_mm","axis_source_field","T2_public_lab_standard_or_physics","HW-S002","MRMS MESH is a distinct radar-estimated maximum-size product.","capture_only","MRMS product changes."
"source_hail_interchangeability","hail_impact","none","false","axis_guardrail","T2_public_lab_standard_or_physics","HW-S001;HW-S002","Observation and radar estimate are not silently interchangeable.","adopt","Validated mapping is governed."
"target_axis_status","hail_impact","none","withheld_pending_contact_demand_bridge","axis_bridge","T4_placeholder_or_expert_judgment","HW-S003;HW-S004;HW-S005;GOVERNANCE_CONTRACT","No generic source-to-blade demand bridge is qualified.","adopt","Bridge review and KATs pass."
"contact_normal_energy_field","hail_impact","none","contact_normal_energy_j","derived_demand_candidate","T3_engineering_proxy_or_adjacent_empirical","HW-S003;HW-S004;HW-S005","Candidate local demand requires exact trajectory/kinematics/material context.","candidate_disabled","Product-specific bridge qualifies."
"impact_energy_density_field","hail_impact","none","event_impact_energy_density_j_per_m2_by_blade_zone","derived_demand_candidate","T3_engineering_proxy_or_adjacent_empirical","HW-S004;HW-S006;HW-S007;HW-S009","Candidate history object for repeated impacts; occurrence/chronic semantics unresolved.","candidate_disabled","Event attribution and validation pass."
"hail_size_distribution_id","hail_impact","none","required_future_no_default","bridge_input","T2_public_lab_standard_or_physics","HW-S003;HW-S006;HW-S008","Maximum size alone does not supply count/flux/distribution.","open_seam","Qualified event product supplies it."
"hail_density_basis_kg_m3","hail_impact","none","required_future_no_default","bridge_input","T2_public_lab_standard_or_physics","HW-S003;HW-S004;HW-S005","Mass/energy calculation requires a declared density/material model.","open_seam","Qualified bridge freezes basis."
"hail_event_wind_vector","hail_impact","none","required_future_no_default","bridge_input","T3_engineering_proxy_or_adjacent_empirical","HW-S004;HW-S005;HW-S008","Wind affects trajectory and relative impact.","open_seam","Qualified measurement/product enters."
