parameter,pathway_id,curve_id,value,param_role,tier,source_ids,reasoning,status,update_trigger
runtime_curve_count,flood_inundation_contact,FW_HAZUS_2_1_SUBSTATION_SCREENING_PWL,1,capability,T3_engineering_proxy_or_adjacent_empirical,"FW-S011;FW-S012;GOVERNANCE_CONTRACT","One official legacy whole-substation source function passes the narrow screening gate; every prior unit remains withheld.",adopt_proposed,"Independent review or canonical promotion decision."
source_table_points_ft_dr,flood_inundation_contact,FW_HAZUS_2_1_SUBSTATION_SCREENING_PWL,"[[0,0],[1,0.02],[2,0.04],[3,0.06],[4,0.07],[5,0.08],[6,0.09],[7,0.10],[8,0.12],[9,0.14],[10,0.15]]",curve_fit_shape,T3_engineering_proxy_or_adjacent_empirical,FW-S011,"Exact FEMA Hazus-MH 2.1 Table 7.9 percent-damage values divided by 100.",adopt_proposed,"Source-table correction or failed independent transcription."
curve_form,flood_inundation_contact,FW_HAZUS_2_1_SUBSTATION_SCREENING_PWL,piecewise_linear,curve_form,T3_engineering_proxy_or_adjacent_empirical,"FW-S006;FW-S011","Preserves the source knots without imposing a fitted logistic or local tail.",adopt_proposed,"A governed alternative source-native representation is approved."
interpolation_policy,flood_inundation_contact,FW_HAZUS_2_1_SUBSTATION_SCREENING_PWL,linear_between_source_knots,interpolation,T2_public_lab_standard_or_physics,"FW-S006;FW-S011","Transparent interpolation between adjacent source-table points.",adopt_proposed,"Source or schema requires a different interpolation rule."
extrapolation_policy,flood_inundation_contact,FW_HAZUS_2_1_SUBSTATION_SCREENING_PWL,"negative rejects; above 10 ft withholds; no endpoint clamp",domain_behavior,T4_placeholder_or_expert_judgment,"FW-S011;GOVERNANCE_CONTRACT","No source ordinates exist outside the tabulated range and fail-closed behavior avoids invented tails.",adopt_proposed,"Qualified tail evidence is reviewed."
hazard_axis_id,flood_inundation_contact,FW_HAZUS_2_1_SUBSTATION_SCREENING_PWL,FLOOD_DEPTH_ABOVE_SUBSTATION_GRADE_FT_HAZUS,axis_identity,T3_engineering_proxy_or_adjacent_empirical,"FW-S005;FW-S011","The source atom is indexed by flood depth above facility substation grade, not a component contact datum.",adopt_proposed,"A reviewed source adapter changes the axis contract."
direct_axis_input_field,flood_inundation_contact,FW_HAZUS_2_1_SUBSTATION_SCREENING_PWL,flood_depth_above_substation_grade_ft,axis_input,T3_engineering_proxy_or_adjacent_empirical,"FW-S011;GOVERNANCE_CONTRACT","Exact preferred input field for source-native feet depth.",adopt_proposed,"Artifact/evaluator contract changes."
axis_payload_modes,flood_inundation_contact,FW_HAZUS_2_1_SUBSTATION_SCREENING_PWL,direct_depth_ft|same_datum_wse_grade_m,axis_input,T4_placeholder_or_expert_judgment,GOVERNANCE_CONTRACT,"Exactly one payload mode is accepted; direct and bridge fields are mutually exclusive.",adopt_proposed,"A governed adapter adds another mode."
wse_grade_bridge,flood_inundation_contact,FW_HAZUS_2_1_SUBSTATION_SCREENING_PWL,"(water_surface_elevation_m-substation_grade_elevation_m)*3.280839895013123",axis_bridge,T2_public_lab_standard_or_physics,"FW-S005;FW-S011","Converts same-datum metre elevations to the source-native feet depth.",adopt_proposed,"Conversion or axis convention changes."
wse_bridge_required_fields,flood_inundation_contact,FW_HAZUS_2_1_SUBSTATION_SCREENING_PWL,"water_surface_elevation_m|substation_grade_elevation_m|water_surface_vertical_datum_id|substation_grade_vertical_datum_id",axis_bridge,T4_placeholder_or_expert_judgment,GOVERNANCE_CONTRACT,"All bridge fields are required together and datum IDs must match exactly.",adopt_proposed,"Governed axis adapter changes."
runtime_axis_valid_range_ft,flood_inundation_contact,FW_HAZUS_2_1_SUBSTATION_SCREENING_PWL,"[0,10]",axis_domain,T2_public_lab_standard_or_physics,"FW-S011;FW-S012","Exact source-table domain, inclusive; the current manual also identifies ten feet as the utility-function maximum depth.",adopt_proposed,"Qualified source extension is reviewed."
maximum_source_damage_ratio,flood_inundation_contact,FW_HAZUS_2_1_SUBSTATION_SCREENING_PWL,0.15,ordinate,T3_engineering_proxy_or_adjacent_empirical,FW-S011,"Exact Table 7.9 ratio at 10 ft; not a component or project-TIV cap.",adopt_proposed,"Source-table correction."
numeric_failure_unit_id,flood_inundation_contact,FW_HAZUS_2_1_SUBSTATION_SCREENING_PWL,FW_HAZUS_GSU_SUBSTATION_ASSEMBLY,failure_unit,T3_engineering_proxy_or_adjacent_empirical,FW-S011,"The published function is one whole-electric-substation source atom.",adopt_proposed,"A source-supported decomposition replaces the atom."
substation_hazus_class_allowed,flood_inundation_contact,FW_HAZUS_2_1_SUBSTATION_SCREENING_PWL,ESSL|ESSM|ESSH,selector,T3_engineering_proxy_or_adjacent_empirical,FW-S011,"All three explicit source classes publish identical ordinates; no default is allowed.",adopt_proposed,"Source taxonomy or class-specific evidence changes."
source_assumption_set_id,flood_inundation_contact,FW_HAZUS_2_1_SUBSTATION_SCREENING_PWL,FEMA_HAZUS_MH_2_1_TABLE_7_9_UNPROTECTED_SUBSTATION,selector,T3_engineering_proxy_or_adjacent_empirical,"FW-S011;FW-S012","Exact acknowledgement of the legacy whole-substation source atom and current-disabled limitation.",adopt_proposed,"A reviewed successor assumption set is released."
water_quality_class_allowed,flood_inundation_contact,FW_HAZUS_2_1_SUBSTATION_SCREENING_PWL,freshwater_non_contaminated|freshwater_contaminated|brackish|saltwater|chemically_contaminated|unknown,conditioner,T4_placeholder_or_expert_judgment,"FW-S002;FW-S011;FW-S013;GOVERNANCE_CONTRACT","The enum preserves known/unknown states without silently collapsing them; the 2016 equipment guide is historical pending review of its 2026 successor.",adopt_proposed,"NEMA CS 70006-2026 review or conditioner vocabulary changes."
water_quality_numeric_support,flood_inundation_contact,FW_HAZUS_2_1_SUBSTATION_SCREENING_PWL,freshwater_non_contaminated,conditioner,T4_placeholder_or_expert_judgment,"FW-S002;FW-S005;FW-S012;FW-S013","Hazus does not vary damage by flood type; historical equipment guidance indicates material contamination/salinity consequences, while the current NEMA successor remains unreviewed, so unsupported states conservatively withhold.",adopt_proposed,"NEMA CS 70006-2026 and qualified water-quality response evidence are acquired and reviewed."
delivered_depth_basis,flood_inundation_contact,FW_HAZUS_2_1_SUBSTATION_SCREENING_PWL,unprotected_or_internal_post_bypass_depth,conditioner,T3_engineering_proxy_or_adjacent_empirical,"FW-S005;FW-S011","Protection is resolved once upstream into delivered internal depth; the curve grants no second credit.",adopt_proposed,"A validated protection adapter is released."
contact_duration_hr,flood_inundation_contact,FW_HAZUS_2_1_SUBSTATION_SCREENING_PWL,"optional nonnegative; no numeric effect",conditioner,T4_placeholder_or_expert_judgment,GOVERNANCE_CONTRACT,"Duration is captured for future work but is not calibrated in model v1.",adopt_proposed,"Duration-response evidence is reviewed."
