parameter,pathway_id,curve_id,value,param_role,tier,source_ids,reasoning,status,update_trigger
runtime_curve_count,flood_inundation_contact,none,0,capability,T4_placeholder_or_expert_judgment,GOVERNANCE_CONTRACT,"No economic DR record passed the audit.",adopt,"Reviewed model v1.0 release."
local_depth_formula,flood_inundation_contact,none,"h_i=max(0,WSE-z_i_crit)",axis_bridge,T2_public_lab_standard_or_physics,"FW-S005;FW-S006;FW-S007;FW-S010","Component elevation and critical-depth method are source-supported.",adopt,"A stronger equipment-specific demand measure is validated."
runtime_axis_valid_range_m,flood_inundation_contact,none,WITHHELD_NO_RUNTIME_CURVE,axis,T3_engineering_proxy_or_adjacent_empirical,GOVERNANCE_CONTRACT,"The candidate solar grid spans 0-2 m but flood_wind has no approved response domain.",withhold,"A numeric record is qualified."
FS_SWG_candidate_points_m_dr,flood_inundation_contact,FS_SWG_CANDIDATE_ONLY,"[[0,0],[0.02,0.10],[0.05,0.40],[0.15,0.85],[0.30,1],[0.60,1],[1,1],[1.5,1],[2,1]]",curve_fit_shape,T3_engineering_proxy_or_adjacent_empirical,FW-S010,"Pinned canonical flood_solar engineering proxy; compatibility and economic validation remain open.",audit_only,"Exact switchgear applicability and validation pass."
FS_XFMR_candidate_status,flood_inundation_contact,FS_XFMR_CANDIDATE_ONLY,REJECT_DIRECT_REUSE,curve_fit_shape,T3_engineering_proxy_or_adjacent_empirical,FW-S010,"Main value and control/terminal datum are not dependency-safe.",reject,"Transformer main/auxiliary state model passes."
FS_SCADA_candidate_status,flood_inundation_contact,FS_SCADA_CANDIDATE_ONLY,PARTIAL_SEMANTIC_MATCH,curve_fit_shape,T3_engineering_proxy_or_adjacent_empirical,FW-S010,"Plant monitoring does not equal substation protection/control.",audit_only,"Equipment crosswalk and cost evidence pass."
FS_CABLE_candidate_status,flood_inundation_contact,FS_CABLE_CANDIDATE_ONLY,MECHANISM_ONLY,curve_fit_shape,T3_engineering_proxy_or_adjacent_empirical,"FW-S007;FW-S010","Wind MV cable/terminations and solar AC/DC rollup differ.",audit_only,"Construction-specific disposition/value evidence passes."
reference_external_electrical_value_usd_per_kw,all_shared,none,72,value_rollup,T2_public_lab_standard_or_physics,FW-S008,"CWER 2024 mixed collection/substation row.",adopt_with_limits,"New value vintage or site split."
reference_foundation_value_usd_per_kw,all_shared,none,120,value_rollup,T2_public_lab_standard_or_physics,FW-S008,"CWER 2024 foundation row; no flood DR inferred.",adopt_with_limits,"New value vintage or site appraisal."
reference_civil_value_usd_per_kw,all_shared,none,47,value_rollup,T2_public_lab_standard_or_physics,FW-S008,"CWER 2024 mixed civil row; split required.",adopt_with_limits,"New value vintage or site split."
reference_support_value_usd_per_kw,all_shared,none,294,support_rollup,T2_public_lab_standard_or_physics,FW-S008,"Fieldwork 100 plus transport 194; allocate once.",adopt_with_limits,"Claims-backed allocation or value vintage."
unknown_ownership_baseline_inclusion,all_shared,none,WITHHOLD,governance_rule,T4_placeholder_or_expert_judgment,"FW-S009;GOVERNANCE_CONTRACT","Functional association is not ownership/value proof.",adopt,"Executed agreement and value schedule resolve boundary."
missing_component_datum_behavior,flood_inundation_contact,none,WITHHOLD_NOT_DRY,governance_rule,T4_placeholder_or_expert_judgment,GOVERNANCE_CONTRACT,"Unknown exposure cannot become zero depth.",adopt,"A validated uncertainty/default policy is approved."
