value_source_id,source_location,row_or_bucket_id,row_or_bucket_label,value,unit,financial_class,failure_unit_id,applicable_pathway_ids,role_in_loss,include_in_direct_denominator,allocation_rule,double_count_guardrail,status,notes
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!2",WIND_VALUE_002_BLADE,Blades,282,2023_USD_per_kW,direct_hardware,WT_TURBINE_EQUIPMENT_ASSEMBLY,tropical_cyclone_wind,direct_vulnerable_value,true,"Candidate assembly denominator only; runtime DR withheld.","Do not add a blade curve to a terminal assembly state.",mapped_no_curve,"Direct CWER component row."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!3",WIND_VALUE_003_PITCH,Pitch assembly,13,2023_USD_per_kW,direct_hardware,WT_TURBINE_EQUIPMENT_ASSEMBLY,tropical_cyclone_wind,direct_vulnerable_value,true,"Candidate assembly denominator; pitch availability remains a conditioner.","Do not count pitch impairment as both state modifier and default physical loss.",mapped_no_curve,"CWER reports within rotor module."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!4",WIND_VALUE_004_HUB,Hub assembly,42,2023_USD_per_kW,direct_hardware,WT_TURBINE_EQUIPMENT_ASSEMBLY,tropical_cyclone_wind,direct_vulnerable_value,true,"Candidate assembly denominator only; runtime DR withheld.","No hub fragility is inferred from blade or tower evidence.",mapped_no_curve,"Direct CWER component row."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!5",WIND_VALUE_005_NACELLE_STRUCTURE,Nacelle structural assembly,76,2023_USD_per_kW,direct_hardware,WT_TURBINE_EQUIPMENT_ASSEMBLY,tropical_cyclone_wind,direct_vulnerable_value,true,"Candidate assembly denominator only; runtime DR withheld.","No nacelle curve is inferred from cover-loss narratives or tower collapse.",mapped_no_curve,"Direct CWER component row."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!6",WIND_VALUE_006_DRIVETRAIN,Drivetrain assembly,236,2023_USD_per_kW,direct_hardware,WT_TURBINE_EQUIPMENT_ASSEMBLY,tropical_cyclone_wind,direct_vulnerable_value,true,"Candidate assembly denominator only; runtime DR withheld.","Grid loss and shutdown do not imply drivetrain replacement.",mapped_no_curve,"Gearbox and generator remain a public rollup."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!7",WIND_VALUE_007_POWER_ELECTRONICS,Nacelle electrical assembly,137,2023_USD_per_kW,direct_hardware,WT_TURBINE_EQUIPMENT_ASSEMBLY,tropical_cyclone_wind,direct_vulnerable_value,true,"Candidate assembly denominator only; runtime DR withheld.","Do not treat curtailment or grid outage as destruction.",mapped_no_curve,"Direct CWER component row."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!8",WIND_VALUE_008_YAW,Yaw assembly,28,2023_USD_per_kW,direct_hardware,WT_TURBINE_EQUIPMENT_ASSEMBLY,tropical_cyclone_wind,direct_vulnerable_value,true,"Candidate assembly denominator; yaw availability is separately an event conditioner.","Do not reduce exposure/value after applying a future state-specific response.",mapped_no_curve,"Direct CWER component row."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!9",WIND_VALUE_009_TOWER,Tower module,276,2023_USD_per_kW,direct_hardware,WT_TURBINE_EQUIPMENT_ASSEMBLY,tropical_cyclone_wind,direct_vulnerable_value,true,"Candidate assembly denominator; source tower-collapse probabilities remain audit-only.","Do not count tower value and consequential equipment replacement twice.",mapped_no_curve,"Direct CWER subsystem row."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!10",WIND_VALUE_010_FOUNDATION,Foundation,120,2023_USD_per_kW,direct_hardware,WT_FOUNDATION,tropical_cyclone_wind,direct_vulnerable_value,false,"Separate failure unit; wind-only capacity and post-collapse disposition required.","Do not inherit turbine-equipment DR or include surge/scour in this pathway.",withheld,"Plant row allocated by capacity in source ledger."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!11",WIND_VALUE_011_CIVIL,"Site access, staging, and facilities",47,2023_USD_per_kW,mixed_civil,WT_CIVIL_INFRA,tropical_cyclone_wind,split_required,false,"Split roads, crane pads, buildings, fences, and facilities before damage modeling.","Do not scale by exposed turbine fraction or turbine DR.",withheld,"Mixed plant-level physical rollup."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!12",WIND_VALUE_012_ELECTRICAL,Electrical infrastructure,72,2023_USD_per_kW,mixed_direct_hardware,WT_EXTERNAL_ELECTRICAL,tropical_cyclone_wind,split_required,false,"Split pad equipment, collection lines, substation, and control building.","Do not use one turbine gust/point exposure for line and shared-point assets.",withheld,"CWER does not split collection versus substation."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!13",WIND_VALUE_013_FIELDWORK,Assembly and installation,100,2023_USD_per_kW,support_logistics,SUPPORT_FIELDWORK,tropical_cyclone_wind,support_once,false,"Allocate once after qualified direct repair scope with a site/claims rule.","No independent fragility and no automatic linear DR scaling.",mapped_support_rule_open,"Recurring replacement support, not owned vulnerable hardware."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!14",WIND_VALUE_014_TRANSPORT,Wind turbine transport,194,2023_USD_per_kW,support_logistics,SUPPORT_TRANSPORT_LOGISTICS,tropical_cyclone_wind,support_once,false,"Allocate once when replacement scope and logistics require it.","Do not include in the intrinsic denominator and add again downstream.",mapped_support_rule_open,"Reference only; site distance, crane, and access can dominate."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!15",WIND_VALUE_015_ENGINEERING_DEVELOPMENT,Engineering and development,36,2023_USD_per_kW,excluded_soft_sunk_nonphysical,OUTSIDE_PHYSICAL_CELL,all_shared,excluded,false,"Exclude from physical destruction by default.","Do not reintroduce without an explicit insured-value boundary.",excluded,"Source soft-cost row."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!16",WIND_VALUE_016_PROJECT_MANAGEMENT,Project management,14,2023_USD_per_kW,excluded_soft_sunk_nonphysical,OUTSIDE_PHYSICAL_CELL,all_shared,excluded,false,"Exclude from physical destruction by default.","Do not reintroduce without an explicit insured-value boundary.",excluded,"Source soft-cost row."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!17",WIND_VALUE_017_FINANCE,Construction finance,111,2023_USD_per_kW,excluded_soft_sunk_nonphysical,OUTSIDE_PHYSICAL_CELL,all_shared,excluded,false,"Exclude from physical destruction.","Financial cost is not physical repair value.",excluded,"Source soft-cost row."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!18",WIND_VALUE_018_CONTINGENCY,Contingency,54,2023_USD_per_kW,excluded_soft_sunk_nonphysical,OUTSIDE_PHYSICAL_CELL,all_shared,excluded,false,"Exclude; any claims contingency needs a separate valuation rule.","Do not use as curve uncertainty or support automatically.",excluded,"Includes insurance, permitting, bonding, and markup."
NREL_CWER_2024,"docs/method/value_basis/solar_wind_value_breakdown.xlsx::Wind_Map!19",WIND_VALUE_019_WARRANTY,Wind turbine warranty,130,2023_USD_per_kW,excluded_soft_sunk_nonphysical,OUTSIDE_PHYSICAL_CELL,all_shared,excluded,false,"Exclude from physical destruction.","Warranty value is not replacement damage.",excluded,"Source soft-cost row."
