failure_unit_id,source_row,direct_value_usd_per_kwdc,share_direct_and_civil_base,share_physical_base,share_installed_capex,value_tier,allocation_rule
WSV1_MODULE_THERMAL,Solar_Map!2,291.21485143992487,0.4231467504047819,0.3317569801903719,0.2600132602142186,T2_public_lab_standard_or_physics,Apply module state-table DR to module direct replacement value
WSV1_RACKING_THERMAL,Solar_Map!3,109.98972602739727,0.1598196564309119,0.12530219244791235,0.09820511252446185,T2_public_lab_standard_or_physics,Apply racking state-table DR to tracker/racking direct replacement value
WSV1_FOUNDATION_THERMAL,Solar_Map!4,31.12448715327472,0.04522558937793223,0.03545755244585994,0.027789720672566714,T2_public_lab_standard_or_physics,Apply foundation state-table DR to foundation/pad direct replacement value
WSV1_INVERTER_THERMAL,Solar_Map!5,32.306366410372384,0.04694438543032749,0.03680396967473965,0.02884500572354677,T2_public_lab_standard_or_physics,Apply inverter state-table DR to inverter direct replacement value
WSV1_COMBINER_THERMAL,Solar_Map!6,6.82625,0.009919788469416405,0.007776581705317682,0.006094866071428572,T2_public_lab_standard_or_physics,Apply combiner state-table DR to combiner direct replacement value
WSV1_CABLE_EXPOSED,Solar_Map!7,69.3201119402985,0.10072447192749895,0.07897066681201233,0.06189295708955223,T2_public_lab_standard_or_physics,Reference profile treats the row as exposed; site profiles must separate buried/conduit/protected value
WSV1_MV_EQUIPMENT_THERMAL,Solar_Map!8,106.50466417910448,0.15476147760204454,0.12133194989726824,0.09509345015991472,T2_public_lab_standard_or_physics,Apply MV state-table DR to transformer/switchgear direct replacement value
WSV1_GROUNDING_THERMAL,Solar_Map!9,8.385,0.012183867740040968,0.009552336582909908,0.007486607142857143,T2_public_lab_standard_or_physics,Apply low-response grounding state table to grounding/lightning direct replacement value
WSV1_SCADA_THERMAL,Solar_Map!10,1.31,0.0019035025407659877,0.0014923745883854479,0.0011696428571428572,T2_public_lab_standard_or_physics,Apply SCADA state-table DR to monitoring direct replacement value
WSV1_CIVIL_DIRECT,Solar_Map!14,31.223744292237445,0.04537051007627977,0.035570627890061324,0.02787834311806915,T4_placeholder_or_expert_judgment,Reference profile temporarily treats the mixed row as a direct civil bucket; site schedules should split it
SUPPORT_ALLOCATION,Solar_Map!12+13+15,189.59050092005714,,0.21598476776516118,0.16927723296433674,T4_placeholder_or_expert_judgment,Allocate once in proportion to aggregate direct-and-civil damage; never evaluate as an independent curve
SUMMARY_DIRECT_AND_CIVIL,Solar_Map!2:10+14,688.2052014426097,1,0.7840152322348388,0.614468929859473,T2_public_lab_standard_or_physics,Denominator for reference weighted direct DR
SUMMARY_PHYSICAL,Solar_Map!2:10+12:15,877.7957023626668,,1,0.7837461628238097,T2_public_lab_standard_or_physics,Physical replaceable reference basis
SUMMARY_INSTALLED,Solar_Map total,1120,,,1,T2_public_lab_standard_or_physics,Installed CAPEX denominator; physical plus excluded soft/nonphysical value
