claim_id,claim_text,claim_type,source_ids,exact_locator,evidence_tier,parameter_or_rule,adoption_status,permitted_inference,prohibited_inference,reasoning,update_trigger
"WTW2-C001","The cell contains two first-class causal pathways: straight_line_convective and tornado_direct_hit.","governance_decision","SLC-S001;SLC-S002;SLC-S003;TOR-S001;TOR-S009","Decision D-WTW2-02 and pathway evidence","T2_public_lab_standard_or_physics","required pathway_id","adopt","Route to independent axes, records, evidence and capabilities.","Boolean tornado shift or automatic pathway inference.","The two wind fields and turbine demands are physically distinct while sharing asset anatomy.","New evidence demonstrates one evaluator/axis is equivalent across mechanisms."
"WTW2-C002","pathway_id is not a selector, conditioner, exposure field, Boolean, or hazard-intensity inference.","governance_decision","GOVERNANCE_CONTRACT","Contract standard 22 §2","T4_placeholder_or_expert_judgment","pathway routing rule","adopt","Require exact pathway routing at artifact, record and emit levels.","Default, alias-only, or inferred routing.","Silent routing was the load-bearing v1 seam.","Contract redesign approved through a later schema version."
"WTW2-C003","straight_line_convective includes local downburst, microburst, macroburst, gust-front and derecho-outflow loading.","source_interpretation","SLC-S002;SLC-S003;SLC-S016","NOAA definitions and turbine-load studies","T2_public_lab_standard_or_physics","pathway hazard scope","adopt","Use local convective outflow demand after Hazard resolves event identity/footprint.","Use whole derecho duration/intensity at every turbine.","Derecho is the parent event/footprint; local outflow is the turbine loading mechanism.","NOAA/ASCE taxonomy or new mechanism evidence changes scope."
"WTW2-C004","Nonconvective synoptic, downslope, and tropical-cyclone wind are excluded from straight_line_convective.","governance_decision","SLC-S010;ADJ-S001;ADJ-S002","Boundary memo","T3_engineering_proxy_or_adjacent_empirical","neighboring pathway boundary","adopt","Share value/anatomy only through explicit future review.","Reuse the convective numeric curve because units are both m/s.","Duration/profile/control environments differ materially.","A documented equivalence study passes."
"WTW2-C005","Peak gust alone is insufficient to characterize convective turbine demand.","direct_observation","SLC-S002;SLC-S003;SLC-S004;SLC-S008","Lu Table 3/Fig.21; NREL §5.2","T2_public_lab_standard_or_physics","conditioner/input contract","adopt","Require/record ramp, direction, vertical flow, duration, turbulence and control state or unresolved flags.","Claim one gust maps uniquely to load or DR.","Experiments/simulations show state and transient structure are load-bearing.","Validated reduced-order demand model identifies a sufficient smaller input set."
"WTW2-C006","The preferred straight-line intensity is rotor-effective 3-second horizontal gust; a hub-point 3-second gust is a lower-fidelity proxy.","engineering_inference","SLC-S003;SLC-S004;SLC-S008;SLC-S011","Dossier axis section","T3_engineering_proxy_or_adjacent_empirical","straight-line hazard axis","adopt","Use rotor-area RMS pressure-equivalent speed and flag hub proxy.","Treat 10 m ASCE gust as rotor/hub gust.","Rotor-scale nonuniformity and V-squared pressure motivate an area-effective measure.","Validated alternative demand measure or field study."
"WTW2-C007","A 10 m ASCE gust requires a named convective profile bridge and cannot use an ordinary ABL power law by default.","source_interpretation","SLC-S008;SLC-S011","NREL §5.2; Dang §2.1","T2_public_lab_standard_or_physics","straight-line axis bridge","adopt","Fail closed or use explicit T4 proxy scenarios.","Silent 10 m-to-hub substitution.","Downburst profiles are transient and nose shaped.","Validated site/event downburst profile adapter."
"WTW2-C008","Convective studies support a load-evidence region around 28-55 m/s but do not directly support DR ordinates.","source_interpretation","SLC-S003;SLC-S004;SLC-S005","Lu Table 3; experiment/model domains","T2_public_lab_standard_or_physics","straight-line evidence domain","adopt","Flag 55-70 m/s as high extrapolation and withhold above 70 m/s.","Call the entire curve evidence fitted.","Available studies provide demand, not capacity/cost.","Modern turbine capacity plus repair data extend domain."
"WTW2-C009","Convective physical destruction above 70 m/s is withheld in the proposed screening evaluator.","governance_decision","SLC-S003;BOUNDED_REVIEW","Evidence-domain review","T4_placeholder_or_expert_judgment","straight-line upper domain","adopt","Return a structural reason code rather than extrapolated DR.","Clamp to total loss or silently extend.","Prevents a T4 curve from becoming an unbounded severe-wind model.","Qualified modern-turbine high-wind capacity evidence."
"WTW2-C010","The straight-line capacity scenarios are Tier-4 engineering bounds, not a statistical fragility fit.","governance_decision","SLC-S001;SLC-S003;SLC-S005;BOUNDED_REVIEW","Parameter tier table","T4_placeholder_or_expert_judgment","straight-line state medians/beta","adopt","Use for screening sensitivity with explicit scenario IDs.","Describe bounds as confidence intervals or underwriting calibration.","No matched intensity-damage-cost population exists.","Claims/SCADA/inspection or capacity-calibrated model."
