source_id,citation,url,accessed_on,exact_locator,source_type,source_role,pathway_ids,evidence_tier,target_asset_match,target_failure_unit_match,measured_or_modeled_endpoint,permitted_inference,prohibited_inference,decision,status,notes
"TCWS-S023","Visual Crossing. Weather Data Documentation.","https://www.visualcrossing.com/resources/documentation/weather-data/weather-data-documentation/","2026-07-29","Wind section; windgust field; daily aggregation description","weather-provider technical documentation","axis_semantics_constraint","tropical_cyclone_wind","T3_engineering_proxy_or_adjacent_empirical","none","none","current provider definition of wind gust and daily maximum aggregation","Constrain what can and cannot be inferred from a Visual Crossing windgust field.","Assert that every historical Perry row is an exact 3-second gust at a fixed height/exposure or reconstruct the original query.","adopt_with_limits","reviewed","Vendor method evidence is not calibration authority."
"TCWS-S024","Visual Crossing. How Historical Weather Data Records Are Created from Local Weather Station Observations.","https://www.visualcrossing.com/resources/documentation/weather-data/how-historical-weather-data-records-are-created-from-local-weather-station-observations/","2026-07-29","query-time station selection and hourly blending description","weather-provider technical documentation","axis_query_lineage_constraint","tropical_cyclone_wind","T3_engineering_proxy_or_adjacent_empirical","none","none","query-time construction from nearby station observations","Require archived station contributors and query settings before a source-to-Hazard bridge.","Treat a current vendor query as a reproducible copy of the Perry historical source field.","adopt_with_limits","reviewed","Perry's released rows omit contributor and query lineage."
"TCWS-S025","Walker, H. et al. Solar Photovoltaic System and Energy Storage System Field Assessments in Typhoon Mawar. NLR/TP-7A40-89629 (2024). DOI 10.2172/2479116.","https://www.nlr.gov/docs/fy25osti/89629.pdf","2026-07-29","Executive summary PDF pp. 4-6; report pp. 9-12, 18, 53, 78, 95-97; Tables 1-2 and 7; Figures 8 and A-2","government field investigation","severe_fixed_tilt_audit_and_tracker_boundary","tropical_cyclone_wind","T1_claims_or_field_calibrated","direct","partial","post-event inspected PV damage with estimated regional/site wind context","Use as a severe fixed-ground audit, installation-quality lesson, and explicit no-tracker boundary.","Pool with Perry, fit a tail, infer economic DR, or treat estimated wind as the Perry or Hazard axis.","audit_only","reviewed","Ground-module counts and some site wind summaries conflict within the report; author clarification is required before numerical ingestion."
"TCWS-S026","Li, A.; Wu, J. Quantitative assessment method of typhoon-induced photovoltaic damage and energy production losses: a case study of the 2024 Typhoon Yagi. Geomatics, Natural Hazards and Risk (2025). DOI 10.1080/19475705.2025.2569795.","https://doi.org/10.1080/19475705.2025.2569795","2026-07-29","Methods Sections 2.1.2, 2.2.3-2.2.4; Eq. 8; Results and limitations","peer-reviewed regional remote-sensing study","regional_severe_event_audit","tropical_cyclone_wind","T3_engineering_proxy_or_adjacent_empirical","partial","none","satellite-observed PV-area disappearance joined to modeled 10 m wind-scale fields and generic unit area cost","Use as an external regional severity and data-design audit.","Transfer its wind scale, area loss, linear relation, or generic cost estimate into failure-unit economic DR.","audit_only","reviewed","Architecture, component state, disposition, and same-unit replacement value are unresolved."
"TCWS-S027","Li, Anqi; Wu, Jidong. Mapping results of photovoltaic solar panels in Hainan Island before and after Typhoon Yagi in 2024. Zenodo. DOI 10.5281/zenodo.15114346.","https://doi.org/10.5281/zenodo.15114346","2026-07-29","dataset landing record and mapped before/after PV data","research data repository","regional_audit_data_lineage","tropical_cyclone_wind","T3_engineering_proxy_or_adjacent_empirical","partial","none","regional mapped PV extent used by the Yagi study","Preserve source lineage for the regional audit.","Treat mapped area disappearance as inspected module disposition or same-unit cost.","audit_only","reviewed","No row enters the Perry fit."
"TCWS-S028","Florida Power & Light Company. Direct Testimony of Michael A. Jarro, Docket 20240149-EI (2025).","https://www.psc.state.fl.us/library/FILINGS/2025/15505-2025/15505-2025.pdf","2026-07-29","PDF pp. 40-41 and footnote 9","owner testimony filed with state regulator","field_occurrence_and_repair_actions","tropical_cyclone_wind","T1_claims_or_field_calibrated","direct","partial","solar panel replacement, erosion/civil repair, aerial inspection, and fleet-level Milton panel damage fraction","Use as a censored occurrence bound and repair/inspection field-design evidence.","Convert the fleet panel fraction or pooled restoration total to site or failure-unit economic DR.","adopt_with_limits","reviewed","The exposed-site denominator, local intensity, architecture, and cause allocation are absent."
"TCWS-S029","Florida Power & Light Company. Direct Testimony of Amin Mohomed and Exhibit AM-3, Docket 20240149-EI (2025).","https://www.psc.state.fl.us/library/FILINGS/2025/15506-2025/15506-2025.pdf","2026-07-29","PDF pp. 19 and 29-30","owner regulatory cost testimony","restoration_cost_scope_boundary","tropical_cyclone_wind","T3_engineering_proxy_or_adjacent_empirical","direct","none","mixed generation restoration cost by contractor, logistics, material, labor, vehicle, and capitalization category","Demonstrate that support and restoration scope can be material and must be allocated once.","Treat a mixed PGD restoration bucket, capitalization share, or insurance position as solar economic DR.","adopt_with_limits","reviewed","The schedule spans preparation, inspection, logistics, civil work, and multiple generation facilities."
"TCWS-S030","Florida Power & Light Company. Hurricanes Ian and Nicole Final Actual Storm Amount Filing, Docket 20230017-EI (2023).","https://www.psc.state.fl.us/library/filings/2023/06108-2023/06108-2023.pdf","2026-07-29","Jarro testimony PDF pp. 45-47; Exhibit KF-1 PDF p. 106","owner testimony and actual-cost filing with state regulator","field_occurrence_repair_and_cost_boundary","tropical_cyclone_wind","T1_claims_or_field_calibrated","direct","partial","module, inverter, electrical-field, erosion, infrastructure, inspection actions and fleet panel-damage bound; pooled costs","Use physical actions and panel count bound for occurrence and acquisition design.","Allocate pooled generation costs to solar failure units or call panel fraction economic DR.","adopt_with_limits","reviewed","Under 0.04 percent of FPL panels were reported damaged by Ian; exact exposed subset and local wind are absent."
"TCWS-S031","Florida Power & Light Company. Prepared Testimony of Brandon J. Stankiewicz Supporting the 2027 Solar Base Rate Adjustment, Docket 20260001-EI (2026).","https://www.psc.state.fl.us/library/filings/2026/02016-2026/02016-2026.pdf","2026-07-29","PDF pp. 5-6; solar anatomy pp. 7-14","owner testimony filed with state regulator","fleet_exposure_and_replacement_bound","tropical_cyclone_wind","T1_claims_or_field_calibrated","direct","partial","66 of 89 utility-scale sites exposed and fewer than 0.07 percent of panels required replacement across stated events","Use as a fleet-level censored replacement-count observation and asset-anatomy input.","Infer site-level vulnerability, event-specific DR, architecture effect, or direct cost.","adopt_with_limits","reviewed","Two-event scope and panel denominator wording remain ambiguous."
"TCWS-S032","FEMA. Mitigation Assessment Team Report: Hurricanes Irma and Maria in the U.S. Virgin Islands (2018).","https://www.fema.gov/sites/default/files/documents/fema_mat-report_hurricane-irma-maria_virgin-islands.pdf","2026-07-29","Section 7.1.2 pp. 7-5-7-7; Section 7.1.3 pp. 7-7-7-9","government forensic field investigation","fixed_tilt_failure_unit_occurrence","tropical_cyclone_wind","T1_claims_or_field_calibrated","direct","partial","site wind estimates and observed module, post, purlin, connector, rack, and facility states","Use as architecture-specific physical mechanism and inspected-state evidence.","Convert module/post fractions, qualitative total damage, or estimated wind into same-unit economic DR.","adopt_with_limits","reviewed","No repair invoice and matching pre-event replacement-value schedule are supplied."
