comparison_id,request_case,flood_depth_above_substation_grade_ft,substation_hazus_class,water_quality_class,delivered_depth_basis,source_assumption_set_id,model_v0_1_runtime_assembly_dr,model_v1_runtime_status,model_v1_runtime_assembly_dr,legacy_hazard_substation_bucket_curve_dr,legacy_hazard_full_tiv_contribution_at_9pct,axis_and_denominator_comparability,comparison_disposition
FW-CMP-000,source_knot_0_ft,0,ESSL,freshwater_non_contaminated,unprotected_or_internal_post_bypass_depth,FEMA_HAZUS_MH_2_1_TABLE_7_9_UNPROTECTED_SUBSTATION,,conditional,0.000000000000,0.000000000000,0.000000000000,"Depth is illustratively alignable in feet, but v1 is a whole-substation source atom and the legacy value is a fixed project-TIV bucket.","v0.1 null is the behavioral baseline; exact v1 knot is a KAT; legacy output is audit-only."
FW-CMP-001,source_knot_1_ft,1,ESSL,freshwater_non_contaminated,unprotected_or_internal_post_bypass_depth,FEMA_HAZUS_MH_2_1_TABLE_7_9_UNPROTECTED_SUBSTATION,,conditional,0.020000000000,0.189736630470,0.017076296742,"Same illustrative depth unit; response grain, formula, and denominator differ.","Do not calibrate v1 to the legacy curve or compare numerical magnitude as regression equality."
FW-CMP-002,source_knot_2_ft,2,ESSL,freshwater_non_contaminated,unprotected_or_internal_post_bypass_depth,FEMA_HAZUS_MH_2_1_TABLE_7_9_UNPROTECTED_SUBSTATION,,conditional,0.040000000000,0.716606366701,0.064494573003,"Same illustrative depth unit; response grain, formula, and denominator differ.","Exact v1 source knot; legacy output is audit-only."
FW-CMP-003,source_knot_3_ft,3,ESSM,freshwater_non_contaminated,unprotected_or_internal_post_bypass_depth,FEMA_HAZUS_MH_2_1_TABLE_7_9_UNPROTECTED_SUBSTATION,,conditional,0.060000000000,0.906342997171,0.081570869745,"Same illustrative depth unit; response grain, formula, and denominator differ.","ESSM equals the other Hazus classes only within Table 7.9; legacy output is not a class-specific comparator."
FW-CMP-004,source_knot_4_ft,4,ESSM,freshwater_non_contaminated,unprotected_or_internal_post_bypass_depth,FEMA_HAZUS_MH_2_1_TABLE_7_9_UNPROTECTED_SUBSTATION,,conditional,0.070000000000,0.926341100655,0.083370699059,"Same illustrative depth unit; v1 direct physical substation DR is not the legacy functionality threshold or full-TIV bucket.","Four-foot source functionality context does not alter the v1 direct-cost curve."
FW-CMP-005,source_knot_5_ft,5,ESSM,freshwater_non_contaminated,unprotected_or_internal_post_bypass_depth,FEMA_HAZUS_MH_2_1_TABLE_7_9_UNPROTECTED_SUBSTATION,,conditional,0.080000000000,0.928020984177,0.083521888576,"Same illustrative depth unit; response grain, formula, and denominator differ.","Exact v1 source knot; legacy saturation behavior is not a target."
FW-CMP-006,source_knot_6_ft,6,ESSH,freshwater_non_contaminated,unprotected_or_internal_post_bypass_depth,FEMA_HAZUS_MH_2_1_TABLE_7_9_UNPROTECTED_SUBSTATION,,conditional,0.090000000000,0.928159141813,0.083534322763,"Same illustrative depth unit; response grain, formula, and denominator differ.","Exact v1 source knot; legacy output is audit-only."
FW-CMP-007,source_knot_7_ft,7,ESSH,freshwater_non_contaminated,unprotected_or_internal_post_bypass_depth,FEMA_HAZUS_MH_2_1_TABLE_7_9_UNPROTECTED_SUBSTATION,,conditional,0.100000000000,0.928170484268,0.083535343584,"Same illustrative depth unit; response grain, formula, and denominator differ.","Exact v1 source knot; legacy output is audit-only."
FW-CMP-008,source_knot_8_ft,8,ESSL,freshwater_non_contaminated,unprotected_or_internal_post_bypass_depth,FEMA_HAZUS_MH_2_1_TABLE_7_9_UNPROTECTED_SUBSTATION,,conditional,0.120000000000,0.928171415325,0.083535427379,"Same illustrative depth unit; response grain, formula, and denominator differ.","Exact v1 source knot; legacy output is audit-only."
FW-CMP-009,source_knot_9_ft,9,ESSM,freshwater_non_contaminated,unprotected_or_internal_post_bypass_depth,FEMA_HAZUS_MH_2_1_TABLE_7_9_UNPROTECTED_SUBSTATION,,conditional,0.140000000000,0.928171491751,0.083535434258,"Same illustrative depth unit; response grain, formula, and denominator differ.","Exact v1 source knot; legacy output is audit-only."
