source_row,subsystem,component,source_cost_item,physical_usd_per_kwdc,reference_value_100_mwdc_usd,value_class,failure_unit_or_treatment,at_risk_status,exposure_status,guardrail
"Solar_Map!2","PV_ARRAY","PV_MODULE","Module hardware + manufacturing allocation","291.21485143992487","29121485.143992487","direct_hardware","WS_MODULE_THERMAL; open J-box/frame/lead sub-split","site/BOM required","zone required","No whole-module population DR from a material specimen."
"Solar_Map!3","MOUNTING","TRACKER + RACKING_STRUCTURE","Tracker/racking hardware","109.98972602739727","10998972.602739727","direct_hardware","WS_RACKING_THERMAL; tracker-drive split required","material/member/load required","zone required","Steel and aluminum cannot share one thermal response without a selector/model."
"Solar_Map!4","FOUNDATION","FOUNDATION_BASE","Driven piers + inverter pad","31.12448715327472","3112448.715327472","direct_hardware","WS_FOUNDATION_REVIEW","exception state required","zone required","No assumed zero or nonzero curve without prolonged/contact exposure review."
"Solar_Map!5","INVERTER_SYSTEM","INVERTER","Central inverter hardware","32.306366410372384","3230636.6410372384","direct_hardware","WS_INVERTER_CONTROL_DIRECT","enclosure/configuration required","zone required","Ingress/IP rating is not fire resistance."
"Solar_Map!6","INVERTER_SYSTEM","COMBINER_BOX","Combiner boxes","6.82625","682625","direct_hardware","WS_COMBINER_CONNECTOR","enclosure/J-box split required","zone required","Do not pool with cables or inverter response."
"Solar_Map!7","ELECTRICAL_COLLECTION","CABLE_AC + CABLE_DC","Conductors + project electrical line + shipping","69.3201119402985","6932011.19402985","direct_hardware","WS_DC_CABLE_EXPOSED plus buried/conduit/AC/MV/termination splits","as-built routing required","segment/zone required","Only exposed matching construction may use future exposed-cable response."
"Solar_Map!8","SUBSTATION","TRANSFORMER_MAIN + SWITCHGEAR","Transformer/switches/breakers/substation","106.50466417910448","10650466.417910447","direct_hardware","WS_MV_EQUIPMENT_SPLIT_REQUIRED","fluid/equipment/enclosure split required","zone required","Transformer, switchgear and breaker cannot share a curve."
"Solar_Map!9","GROUNDING_LIGHTNING","GROUNDING_GRID + LIGHTNING_PROTECTION","Grounding and lightning protection","8.385","838500","direct_hardware","WS_GROUNDING_LIGHTNING_REVIEW","construction required","zone required","Retain for reconciliation; no forced wildfire DR."
"Solar_Map!10","SCADA","MONITORING_SYSTEM","System monitor","1.31","131000","direct_hardware","WS_SCADA_CONTROL_DIRECT","location/enclosure required","zone required","Separate from inverter and tracker drives."
"Solar_Map!11","ELECTRICAL_COLLECTION","NETWORK_UPGRADE","Grid network upgrade","0.000000","0.00","excluded_nonphysical","outside cell physical base","not applicable","not applicable","Never reintroduce through wildfire loss."
"Solar_Map!12","MOUNTING","TRACKER + RACKING_STRUCTURE","SBOS field labor","43.273972602739725","4327397.2602739725","replacement_support_cost","allocate once to damaged units","not independent","follows damaged units","No independent DR curve."
"Solar_Map!13","ELECTRICAL_COLLECTION","CABLE_AC + CABLE_DC + SCADA","EBOS field labor","39.447761194029844","3944776.1194029846","replacement_support_cost","allocate once to damaged units","not independent","follows damaged units","No independent DR curve."
"Solar_Map!14","CIVIL_INFRA","SITE_PREP","Grading, fencing, roads, maintenance buildings","31.223744292237445","3122374.4292237447","mixed_civil_replacement_bucket","WS_CIVIL_INFRA_SPLIT_REQUIRED","asset-type split required","zone/pathway required","Direct-fire and post-fire geotechnical consequences must split."
"Solar_Map!15","REPLACEMENT_FIELDWORK","SITE_MANAGEMENT + EQUIPMENT_RENTAL + INSPECTION","Site management, rental and inspection","106.86876712328767","10686876.712328767","replacement_support_cost","allocate once to damaged units","not independent","follows damaged units","No independent DR curve; claim-stage allocation required."
"Solar_Map!16","SUNK_SOFT_NONPHYSICAL","OFFICEWORK","Officework total","0.000000","0.00","excluded_nonphysical","outside cell physical base","not applicable","not applicable","Never reintroduce through wildfire loss."
"Solar_Map!17","SUNK_SOFT_NONPHYSICAL","OTHER","Tax, contingency, management, developer profit/residual","0.000000","0.00","excluded_nonphysical","outside cell physical base","not applicable","not applicable","Never reintroduce through wildfire loss."
"SUMMARY","DIRECT_HARDWARE_ROWS_2_TO_10","","Direct hardware subtotal","656.9814571503722","65698145.71503722","reconciliation","no pooled DR","fail closed","fail closed","Separate from $220.81424521229468/kWdc replacement/civil/support rows."
"SUMMARY","PHYSICAL_ROWS_2_TO_10_AND_12_TO_15","","Physical replaceable reference basis","877.7957023626668","87779570.23626669","reconciliation","reference denominator only","site override required","zone required","Installed = physical 877.7957023626668 + excluded 242.20429763733296 = 1120.000000 USD/kWdc."
