comparison_id,input_mps,input_or_request,model_v0_1_output,model_v1_0_status,model_v1_0_proxy_dr,numeric_delta,interpretation,regression_rule
"TCWS-CMP-001","17.3","exact selectors; source unit","withheld_NO_RUNTIME_CURVE","withheld_AXIS_OUTSIDE_VALID_RANGE","","not_applicable","Below the source-bounded range remains numeric-null; v1 does not create a low-wind zero branch.","Require withholding; no v0.1 or neighboring-curve fallback."
"TCWS-CMP-002","17.4","exact selectors; source unit","withheld_NO_RUNTIME_CURVE","conditional_noncanonical","0.000000000000000","not_comparable_null_to_numeric","Lower observed knot is zero only at/inside the governed range.","Exact boundary KAT."
"TCWS-CMP-003","19.5","exact selectors; source unit","withheld_NO_RUNTIME_CURVE","conditional_noncanonical","0.000136383280000","not_comparable_null_to_numeric","Linear interpolation between analyst-derived PAVA block-edge knots.","Exact interpolation KAT; carry all limitation flags."
"TCWS-CMP-004","24.6","exact selectors; source unit","withheld_NO_RUNTIME_CURVE","conditional_noncanonical","0.000272766560000","not_comparable_null_to_numeric","PAVA block edge.","Exact knot KAT."
"TCWS-CMP-005","24.7","exact selectors; source unit","withheld_NO_RUNTIME_CURVE","conditional_noncanonical","0.000613971197500","not_comparable_null_to_numeric","Short linear ramp between adjacent governed block edges.","Exact interpolation KAT."
"TCWS-CMP-006","29.5","exact selectors; source unit","withheld_NO_RUNTIME_CURVE","conditional_noncanonical","0.001853190692857","not_comparable_null_to_numeric","PAVA block edge with serialized 15-decimal ordinate.","Exact knot KAT."
"TCWS-CMP-007","30.75","exact selectors; source unit","withheld_NO_RUNTIME_CURVE","conditional_noncanonical","0.004234661977500","not_comparable_null_to_numeric","Linear interpolation between 29.8 and 31.7 m/s knots.","Exact interpolation KAT."
"TCWS-CMP-008","38.4","exact selectors; source unit","withheld_NO_RUNTIME_CURVE","conditional_noncanonical","0.011343742841250","not_comparable_null_to_numeric","High retained-range interpolation is event-sensitive.","Exact interpolation KAT; EVENT_CLUSTERED_SAMPLE required."
"TCWS-CMP-009","39.1","exact selectors; source unit","withheld_NO_RUNTIME_CURVE","conditional_noncanonical","0.018272937632500","not_comparable_null_to_numeric","Upper retained knot; not hurricane-tail coverage.","Exact boundary KAT; SPARSE_SEVERE_TAIL_WITHHELD required."
"TCWS-CMP-010","39.2","exact selectors; source unit","withheld_NO_RUNTIME_CURVE","withheld_AXIS_OUTSIDE_VALID_RANGE","","not_applicable","Just above the retained fit range fails closed.","Require withholding and no endpoint clamp."
"TCWS-CMP-011","48.2","exact selectors; source unit","withheld_NO_RUNTIME_CURVE","withheld_AXIS_OUTSIDE_VALID_RANGE","","not_applicable","The 0.4142383192 source observation is audit-only and excluded from runtime.","Require withholding; never use the source row as a runtime knot."
"TCWS-CMP-012","24.7","tracker selector","withheld_NO_RUNTIME_CURVE","rejected_SELECTOR_MISMATCH","","not_applicable","Model v1 does not transfer ground nontracking response to trackers.","Negative selector KAT."
"TCWS-CMP-013","24.7","generic PV_FIXED_TILT_MODULE_FIELD","withheld_NO_RUNTIME_CURVE","withheld_SOURCE_SPECIFIC_ATOM_NOT_GENERIC_MODULE_FIELD","","not_applicable","The source-specific proxy is not a generic all-damage fixed-tilt module curve.","Withheld-unit KAT."
"TCWS-CMP-014","24.7","exact selectors plus direct_replacement_value_usd","withheld_NO_RUNTIME_CURVE","rejected_SCENARIO_LOSS_WITHHELD_NONCANONICAL_PROPOSAL","","not_applicable","Scalar proxy DR does not enable dollar loss.","Negative value-input KAT."
"TCWS-CMP-015","24.7","NHC_MAX_SUSTAINED_WIND product selector","withheld_NO_RUNTIME_CURVE","rejected_SELECTOR_MISMATCH","","not_applicable","NHC sustained wind is not the dataset-reported gust axis.","Negative axis/product KAT."
"TCWS-CMP-016","24.7","PV_GSU_SUBSTATION","withheld_NO_RUNTIME_CURVE","withheld_FACILITY_LEVEL_SHARED_SUBASSET_REQUIRES_CELL_LOCAL_BINDING","","not_applicable","GSU remains a separate facility-level point/yard subject.","Withheld-unit KAT; no module proxy fallback."
