claim_id,pathway_id,claim_text,claim_type,source_ids,exact_locator,evidence_tier,parameter_or_rule,adoption_status,permitted_inference,prohibited_inference,reasoning,update_trigger
"HW-C001","hail_impact","Hail impact is a separate pathway and cannot fall back to solar hail, convective wind, tornado, lightning, rain erosion, ice, or flood response.","governance_decision","GOVERNANCE_CONTRACT;HW-S017","pathway and Hazard boundary records","T4_placeholder_or_expert_judgment","pathway_id=hail_impact","adopt","Reuse only shared asset/value anatomy after transfer review.","Reuse neighboring numerical response because the event is one thunderstorm.","Mechanisms, axes, failure units, and endpoints differ.","A governed pathway redesign and exact equivalence review pass."
"HW-C002","hail_impact","Observed hail size is reported as diameter and MRMS MESH is a radar-estimated maximum-size product.","direct_observation","HW-S001;HW-S002","NWS glossary; NSSL MESH description and tables","T2_public_lab_standard_or_physics","source_hail_semantics","adopt","Capture source product, time, units, and observation-versus-estimate basis.","Treat observed diameter and MESH as interchangeable or as blade demand.","Source-native semantics precede any component bridge.","NOAA product definition changes or a new governed product enters."
"HW-C003","hail_impact","Blade hail demand depends on diameter, relative velocity, impact angle, count/history, material, and blade section.","source_interpretation","HW-S003;HW-S004;HW-S005;HW-S008","lab/simulation and review methods/results","T2_public_lab_standard_or_physics","delivered_demand_bridge_inputs","adopt","Require these variables or a validated reduced-order representation.","Use diameter alone as a generic blade-response axis.","Independent sources identify multiple load-bearing variables.","A validated simpler bridge proves sufficiency."
"HW-C004","hail_impact","Rotor/tip speed and event operating state affect relative impact velocity and therefore belong in the demand bridge/conditioner contract.","source_interpretation","HW-S004;HW-S005;HW-S006","impact/erosion methods and blade-lifetime workflow","T3_engineering_proxy_or_adjacent_empirical","rotor_state_and_kinematics","adopt","Capture measured/reconstructed rotor, pitch, azimuth, and operating state.","Give unknown shutdown or parked state automatic resilience credit.","Commanded state can differ from attained state and blade motion changes demand.","Product-specific experiments quantify a reviewed effect."
"HW-C005","hail_impact","Repeated simulated hail can cause microscopic/material damage at larger diameters and higher velocities while smaller prevalent stones show little notable mass/optical damage in the tested coupons.","direct_observation","HW-S003","abstract; results; Table 1/Figure 10; conclusions","T2_public_lab_standard_or_physics","candidate_material_response","retain_candidate_only","Constrain plausible mechanisms and research test design.","Transfer coupon thresholds to field turbines or economic DR.","Tested material, impact count, and endpoint do not match a representative blade loss state.","Matched product-specific field/lab and cost evidence becomes available."
"HW-C006","hail_impact","Fiore et al. find blade-section impact/delamination sensitivity for one legacy blade/material simulation.","source_interpretation","HW-S005","sections III.B-III.C; results; Table 6","T3_engineering_proxy_or_adjacent_empirical","candidate_geometry_bridge","retain_candidate_only","Use radial position/material/angle as candidate bridge requirements.","Use the paper's particle damage ratio as economic DR or a generic field curve.","The endpoint and configuration are non-economic and narrow.","Independent field validation and same-unit cost mapping pass."
"HW-C007","hail_impact","Recent public ADF research predicts cumulative coating life from mixed rain and hail, not one-event direct replacement-cost ratio.","source_interpretation","HW-S006;HW-S007;HW-S009","workflow, coating lifetime results, data/code, and limitations","T3_engineering_proxy_or_adjacent_empirical","chronic_pathway_boundary","adopt","Retain as adjacent degradation evidence and future pathway input.","Collapse lifetime ADF to occurrence DR or attribute mixed degradation to one hail event.","Temporal grain and endpoint differ from current repository scope.","A governed degradation capability or event-attribution model is approved."
"HW-C008","hail_impact","Leading-edge classification provides candidate condition dimensions but no hail-conditioned state probabilities or costs.","source_interpretation","HW-S010","classification dimensions","T3_engineering_proxy_or_adjacent_empirical","candidate_state_vocabulary","adopt_with_limits","Design inspected state definitions and evidence collection.","Populate probability or economic ordinates directly.","A taxonomy is not a fragility/cost model.","Matched hail-event state and cost data are published."
"HW-C009","hail_impact","DNV's public rain-erosion practice explicitly excludes hail damage sources.","direct_observation","HW-S011","public scope and exclusions","T2_public_lab_standard_or_physics","rain_to_hail_transfer_guardrail","adopt","Prevent silent rain-method transfer.","Use DNV rain durability as hail response.","The authoritative method declares the boundary.","A hail-specific DNV method is issued and reviewed."
"HW-C010","hail_impact","Generic blade repair literature provides cost anatomy but not hail-conditioned disposition or same-unit cost calibration.","source_interpretation","HW-S014","repair taxonomy and cost equation","T3_engineering_proxy_or_adjacent_empirical","cost_anatomy_only","adopt_with_limits","Separate materials, labor, access, transport, and excluded downtime in future evidence.","Use mixed-cause or offshore costs as default hail state ratios.","Repair method/cost is not event-conditioned probability and often includes excluded consequences.","Matched onshore hail work orders and SOVs become available."
"HW-C011","hail_impact","The NREL blade manufacturing model may cross-check a declared denominator but is not a hail repair-cost source.","source_interpretation","HW-S013","executive summary and blade cost tables","T2_public_lab_standard_or_physics","blade_value_crosscheck","adopt_with_limits","Audit blade hardware value for a declared archetype.","Use manufacturing cost as installed replacement cost or hail loss.","Transport, crane, installation, repair disposition, and site terms are absent.","A site/OEM replacement schedule is supplied."
"HW-C012","hail_impact","The CWER ledger reconciles installed, physical, support, and excluded value but supplies no vulnerability or exposure.","direct_observation","HW-S015;NREL_CWER_2024","Wind_Map rows 2:19 and reference report","T2_public_lab_standard_or_physics","value_reference","adopt_with_limits","Use the row ledger for anatomy and denominator reconciliation.","Treat value shares as DR caps, exposure fractions, or site appraisals.","Value and vulnerability are separate objects.","The reference ledger is revised or a site ledger replaces it."
"HW-C013","hail_impact","Blade hardware is 282 of 1623 physical and 1968 installed 2023 USD/kW in the reference ledger.","derived_calculation","HW-S015;NREL_CWER_2024","Wind_Map row 2 and summary rows","T2_public_lab_standard_or_physics","blade_value_share_reference","adopt_with_limits","Reconcile reference denominator shares.","Use 17.375% physical or 14.329% installed as a hail cap/default loss.","These are denominator relationships only.","Reference values change or site values are supplied."
"HW-C014","hail_impact","A wind farm is repeated turbine point/rotor subjects plus separately located BOP assets, not one damageable lease polygon.","governance_decision","HW-S017","Hazard plan/discussion geometry sections","T4_placeholder_or_expert_judgment","exposure_geometry_rule","adopt","Use actual per-turbine and BOP geometry for coupling/value allocation.","Apply blade DR or hail exposure to all lease value.","Sparse point-cloud geometry changes which subjects are touched.","A different exact asset geometry is supplied."
"HW-C015","hail_impact","Unknown BOP geometry, ownership, value, or protection cannot be modeled as one extra turbine or defaulted fully exposed.","governance_decision","HW-S017;GOVERNANCE_CONTRACT","Hazard BOP guidance and site-condition rules","T4_placeholder_or_expert_judgment","BOP_missing_state_rule","adopt","Withhold BOP loss until exact subject bindings exist.","Impute turbine vulnerability/geometry to GSU, collection, controls, or civil.","Failure unit and spatial grain must match.","Site inventory and matched evidence arrive."
"HW-C016","hail_impact","Coating repair, structural repair, and blade replacement require dependency-safe mutually exclusive or nested states.","engineering_inference","HW-S010;HW-S014;GOVERNANCE_CONTRACT","condition classes; repair taxonomy; failure-unit rules","T3_engineering_proxy_or_adjacent_empirical","blade_state_dependency_rule","adopt","Design one blade assembly state system and charge direct value once.","Add surface-repair and terminal replacement ratios independently for one blade.","The physical scopes overlap and terminal replacement subsumes prior repair.","A finer source-backed denominator/state split is approved."
"HW-C017","hail_impact","No public matched occurrence hail-demand to inspected blade disposition to same-blade direct-cost chain was located within the bounded review.","bounded_negative_evidence","BOUNDED_SEARCH_LOG;HW-S016","search surfaces and results by missing link","T3_engineering_proxy_or_adjacent_empirical","NO_RUNTIME_CURVE","adopt_with_limits","Support fail-closed v0.1 and prioritize data acquisition.","Claim universal absence or convert adjacency into calibration.","The statement is limited to the recorded search scope/cutoff.","A qualifying dataset or governed elicitation is reviewed."
"HW-C018","hail_impact","No hail-specific public disposition/cost chain was located for nacelle, tower fixtures, pad electrical, collection, GSU, control/met, or civil subjects.","bounded_negative_evidence","BOUNDED_SEARCH_LOG;HW-S016","BOP result row and query families","T3_engineering_proxy_or_adjacent_empirical","BOP_response_withheld","adopt_with_limits","Keep units explicit and withheld.","Assign numeric zero or borrow blade/solar/building curves.","Missing evidence does not prove immunity or transferable response.","Unit-specific evidence qualifies treatment."
