claim_id,pathway_id,claim_text,claim_type,source_ids,exact_locator,evidence_tier,parameter_or_rule,adoption_status,permitted_inference,prohibited_inference,reasoning,update_trigger
TCWS-C001,tropical_cyclone_wind,Tropical-cyclone wind requires its own solar pathway and cannot fall back to the straight-line-convective solar model.,governance_decision,TCWS-S015;GOVERNANCE_CONTRACT,strong_wind_solar neighboring-wind boundary; pathway and event-identity standards,T3_engineering_proxy_or_adjacent_empirical,pathway_id=tropical_cyclone_wind,adopt,"Reuse governed solar anatomy, terminology, and value lineage after a new transfer review.","Reuse a convective curve, axis, downburst profile, or numeric parameter because both pathways involve wind.","Storm duration, direction history, profile, turbulence, debris environment, and control opportunity differ and remain load-bearing.",A reviewed equivalence study passes all pathway and endpoint gates.
TCWS-C002,tropical_cyclone_wind,NHC maximum sustained surface wind is the highest one-minute average wind at 10 m in unobstructed exposure.,direct_observation,TCWS-S001,NHC glossary entry: Maximum Sustained Surface Wind,T2_public_lab_standard_or_physics,source_native_axis_semantics,adopt,"Label the upstream storm-field quantity and retain its source product, valid time, height, averaging period, and exposure convention.","Treat it as array-height 3-second gust, tracker-normal wind, net pressure, or damage demand.",The official source defines the storm quantity but supplies no universal site or array bridge.,NHC changes the definition or a governed upstream product supplies a different exact convention.
TCWS-C003,tropical_cyclone_wind,The runtime damage axis is withheld at scaffold stage.,governance_decision,TCWS-S001;TCWS-S002;TCWS-S005;TCWS-S010;TCWS-S011;GOVERNANCE_CONTRACT,native-axis definitions and transfer limits; runtime gate,T3_engineering_proxy_or_adjacent_empirical,runtime_axis_status,historical_scope_only,Preserve source-native axes and document architecture-specific bridge requirements.,"Publish a silent one-minute-to-three-second, height, terrain, direction, pressure, or Ucrit conversion.","Available sources use different storm, local gust, pressure, and exact-system instability quantities. Consolidated v2 register: prior-version conclusion is scoped/superseded by TCWS2-C002/008/009; the underlying evidence limitation is retained.",A qualified event-to-local-demand bridge and matching damage evidence pass review.
TCWS-C004,tropical_cyclone_wind,"Height, averaging period, terrain/exposure, topography, direction history, duration, array zone, and windborne-debris context are load-bearing tropical-cyclone wind descriptors.",source_interpretation,TCWS-S001;TCWS-S004;TCWS-S005;TCWS-S006;TCWS-S010;TCWS-S012,NHC definition; St. Croix mechanisms; design and experimental source scopes,T2_public_lab_standard_or_physics,event_to_local_demand_fields,adopt,Require or preserve the descriptors in a future bridge and keep unsupported effects explicit.,Collapse the descriptors to storm category or apply universal modifiers.,"The source evidence changes demand and failure mechanisms with site, direction, duration, row, geometry, and debris conditions without calibrating one transferable modifier.",A validated reduced-order TC demand model supersedes individual fields.
TCWS-C005,tropical_cyclone_wind,Ground-mounted fixed-tilt and single-axis-tracker arrays require separate architecture routes.,source_interpretation,TCWS-S005;TCWS-S006;TCWS-S007;TCWS-S010;TCWS-S011;TCWS-S012,ASCE fixed-tilt provisions; FM §§2.1.2.1–2.1.2.4; tracker qualification and aeroelastic studies,T2_public_lab_standard_or_physics,array_architecture_selector,adopt,Require an explicit architecture and develop architecture-specific demand and failure-unit evidence.,"Use one generic ground-mount curve or transfer fixed-tilt coefficients, tracker Ucrit, or stow behavior across architectures.",Rigid pressure response and tracker aeroelastic/control behavior are distinct mechanisms.,A formal equivalence study supports a shared record.
TCWS-C006,tropical_cyclone_wind,Ceferino et al. analyze 14 large Caribbean ground-mounted sites and define extensive failure as clip or racking failure in more than 50 percent of panels.,direct_observation,TCWS-S002,§2.1 and Table 1 pp. 2–3; Eq. 1 and §3.1 p. 4,T1_claims_or_field_calibrated,ceferino_source_native_endpoint,adopt_audit_only,Describe and reproduce the source-native site-level extensive-structural-failure probability candidate.,"Call the endpoint module DR, rack DR, whole-site DR, total loss, or repair-cost ratio.","The paper's atom and endpoint are a composite site limit state, not a failure-unit economic consequence.",Authors release a failure-unit disposition and same-unit cost crosswalk.
TCWS-C007,tropical_cyclone_wind,Five of the 14 Ceferino ground-mounted sites had significant failure; failures began at reconstructed gusts near 83 m/s and the mean reconstructed gust among failed sites was about 91 m/s.,direct_observation,TCWS-S002,§2.1 pp. 2–3 and §2.2 pp. 3–4,T1_claims_or_field_calibrated,ceferino_field_observations,adopt_audit_only,Use as a small-sample source-native consistency check.,Treat 83 m/s as a universal onset or 91 m/s as a capacity threshold.,"The observations are sparse, site-composite, and based on reconstructed rather than instrumented local gusts.",A larger architecture-labeled field dataset with local demand becomes available.
TCWS-C008,tropical_cyclone_wind,"Ceferino's ground-mounted posterior summaries have median v about 90 m/s and median beta about 0.15; reported posterior standard deviations are about 6 m/s and 0.07, and the mean posterior fragility rises from 10 to 90 percent over about 73 to 116 m/s.",direct_observation,TCWS-S002,§4.2 and Figs. 5c/5d/6b p. 7,T1_claims_or_field_calibrated,ceferino_posterior_candidate,defer_candidate_only,Preserve the summaries in the numerical candidate audit on the paper's reconstructed 3-second-gust axis.,"Promote the numbers into a runtime DR curve, reinterpret beta as economic severity spread, or transfer them to a named fixed-tilt or tracker design.",The posterior characterizes site-level extensive structural failure probability for the source population only.,A transfer-qualified failure-unit and consequence bridge passes review.
TCWS-C009,tropical_cyclone_wind,A deterministic lognormal curve built from Ceferino's posterior medians is not the paper's posterior-mean fragility curve.,source_interpretation,TCWS-S002,Bayesian method and §4.2 posterior integration,T1_claims_or_field_calibrated,posterior_uncertainty_rule,adopt,Retain posterior uncertainty and distinguish parameter-summary diagnostics from posterior integration.,Label a median-parameter plug-in curve as the published posterior mean or ignore uncertainty from the 14-site sample.,The paper integrates fragility over posterior parameter samples; nonlinear averaging does not equal plugging in marginal medians.,Authors publish an authoritative deterministic reduction or full posterior artifact.
TCWS-C010,tropical_cyclone_wind,Ceferino does not support a fixed-tilt-versus-tracker split or component-level curve decomposition.,source_interpretation,TCWS-S002,Table 1 fields and §3.1 limit-state definition,T1_claims_or_field_calibrated,ceferino_transfer_limit,adopt,Keep the source candidate at generic large ground-mounted site grain.,"Assign separate fixed-tilt, tracker, module, support, foundation, or electrical parameters from this study.",The reported site table lacks the architecture and component-disposition fields needed for those splits.,Architecture and component records for the 14 sites are released and validated.
