pathway_id,wind_speed_mps,iec_ve50_mps,speed_ratio_to_iec,v1_blade_dr,v1_tower_dr,v1_nacelle_dr,v1_foundation_dr,v1_default_aggregate_dr_physical_base,hazard_legacy_whole_tiv_dr,v2_lower_resistance_dr_turbine_equipment,v2_central_dr_turbine_equipment,v2_upper_resistance_dr_turbine_equipment,v2_central_contribution_physical_reference,v2_central_contribution_installed_reference,v2_status_or_flag,comparability_note
straight_line_convective,25,59.5,0.420168067,0.000009949,0.000008648,0.000031647,0.000013279,0.000014924,0.000013808,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,below_28_load_anchor,different_denominators_do_not_treat_as_regression_target
straight_line_convective,28,59.5,0.470588235,0.000018221,0.000015059,0.000052395,0.000020905,0.000025070,0.000033010,0.000000019,0.000000000,0.000000000,0.000000000,0.000000000,within_load_anchor,different_denominators_do_not_treat_as_regression_target
straight_line_convective,36,59.5,0.605042017,0.000091462,0.000066083,0.000200974,0.000070105,0.000100673,0.000338579,0.000199874,0.000000432,0.000000000,0.000000290,0.000000239,within_load_anchor,different_denominators_do_not_treat_as_regression_target
straight_line_convective,45,59.5,0.756302521,0.000561482,0.000348797,0.000911366,0.000273426,0.000487456,0.004644436,0.018548999,0.000642375,0.000006748,0.000431416,0.000355787,within_load_anchor,different_denominators_do_not_treat_as_regression_target
straight_line_convective,51,59.5,0.857142857,0.001880593,0.001056825,0.002493599,0.000677203,0.001406224,0.025732474,0.104961505,0.010045640,0.000366871,0.006746610,0.005563896,within_load_anchor,different_denominators_do_not_treat_as_regression_target
straight_line_convective,55,59.5,0.924369748,0.004203761,0.002211362,0.004870455,0.001239108,0.002858103,0.074472147,0.201644752,0.037546976,0.002557228,0.025216392,0.020795835,within_load_anchor,different_denominators_do_not_treat_as_regression_target
straight_line_convective,59.5,59.5,1.000000000,0.010353738,0.005066629,0.010309170,0.002442951,0.006355583,0.199300104,0.321778142,0.106171843,0.013947433,0.071304565,0.058804527,above_55_high_extrapolation,different_denominators_do_not_treat_as_regression_target
straight_line_convective,65,59.5,1.092436975,0.030746313,0.013881859,0.025511589,0.005586059,0.016812980,0.417085686,0.511218083,0.234323265,0.061073459,0.157370523,0.129782703,above_55_high_extrapolation,different_denominators_do_not_treat_as_regression_target
straight_line_convective,67,59.5,1.126050420,0.045330074,0.019968173,0.035281098,0.007536544,0.023855969,0.486297953,0.593288820,0.289144302,0.090984309,0.194188102,0.160145980,above_55_high_extrapolation,different_denominators_do_not_treat_as_regression_target
straight_line_convective,69,59.5,1.159663866,0.066357698,0.028645435,0.048571384,0.010157345,0.033707843,0.541389138,0.675951370,0.348968438,0.127664349,0.234365741,0.193280283,above_55_high_extrapolation,different_denominators_do_not_treat_as_regression_target
straight_line_convective,70,59.5,1.176470588,0.079999565,0.034263065,0.056866024,0.011785960,0.039979890,0.563208912,0.715669965,0.381030897,0.148331439,0.255898754,0.211038454,above_55_high_extrapolation,different_denominators_do_not_treat_as_regression_target
straight_line_convective,80,59.5,1.344537815,0.395190353,0.183909115,0.236262839,0.050265891,0.184075736,0.643684084,,,,,,withheld_above_70_mps,different_denominators_do_not_treat_as_regression_target
tornado_direct_hit,25,59.5,0.420168067,0.000033033,0.000032373,0.000086019,0.000027281,0.000042554,0.000560287,0.000012108,0.000000031,0.000000000,0.000000021,0.000000017,below_numeric_transition,different_denominators_do_not_treat_as_regression_target
tornado_direct_hit,28,59.5,0.470588235,0.000060492,0.000056369,0.000142409,0.000042947,0.000071785,0.001163717,0.000567046,0.000010026,0.000000049,0.000006733,0.000005553,below_numeric_transition,different_denominators_do_not_treat_as_regression_target
tornado_direct_hit,36,59.5,0.605042017,0.000303600,0.000247330,0.000546082,0.000144010,0.000291649,0.008120595,0.011871196,0.005965291,0.001120131,0.004006264,0.003303947,screening_range,different_denominators_do_not_treat_as_regression_target
tornado_direct_hit,45,59.5,0.756302521,0.001861760,0.001304445,0.002472793,0.000561486,0.001430461,0.065968486,0.161072807,0.029387017,0.012017147,0.019736197,0.016276346,screening_range,different_denominators_do_not_treat_as_regression_target
tornado_direct_hit,51,59.5,0.857142857,0.006216664,0.003944705,0.006744307,0.001389741,0.004155088,0.208892114,0.328951679,0.160774081,0.047934782,0.107975199,0.089046620,screening_range,different_denominators_do_not_treat_as_regression_target
tornado_direct_hit,55,59.5,0.924369748,0.013822168,0.008228143,0.013110191,0.002540558,0.008462322,0.361565240,0.482417189,0.262568405,0.134066151,0.176339841,0.145426607,screening_range,different_denominators_do_not_treat_as_regression_target
tornado_direct_hit,59.5,59.5,1.000000000,0.033569223,0.018706510,0.027451145,0.004999069,0.018749463,0.541478610,0.741006977,0.348754695,0.242580977,0.234222192,0.193161899,screening_range,different_denominators_do_not_treat_as_regression_target
